K,basis,n_placements,sd_min,sd_nested,sd_max,sd_spread
1,SEQ,16,0.06237452582192053,0.06740095464900238,0.08130806637661915,0.01893354055469862
1,FIXED,16,0.06450093551393013,0.0689669840462801,0.08362756322342971,0.019126627709499577
1,RAW,16,0.06450093551393013,0.0689669840462801,0.08362756322342971,0.019126627709499577
2,SEQ,8,0.05131190013705077,0.0541989279716865,0.05531614078264868,0.004004240645597915
2,FIXED,8,0.06814405132765528,0.07635334365426083,0.07736110057743739,0.009217049249782117
2,RAW,8,0.06528029412994703,0.0779953333571827,0.07898273920504756,0.01370244507510053
4,SEQ,4,0.0370824980523028,0.03914102480199556,0.03914102480199556,0.0020585267496927573
4,FIXED,4,0.07170185276202773,0.07621645177983408,0.07621645177983408,0.004514599017806348
4,RAW,4,0.07303747241615363,0.0786051065925581,0.07573378807963073,0.0026963156634770974
8,SEQ,2,0.026542301119553913,0.027559150251030444,0.027559150251030444,0.0010168491314765313
8,FIXED,2,0.07309415860120175,0.07423328884672367,0.07423328884672367,0.0011391302455219243
8,RAW,2,0.07385863593902345,0.07756361678992313,0.07437916885169842,0.0005205329126749675
16,SEQ,1,0.018972196281928703,0.018972196281928703,0.018972196281928703,0.0
16,FIXED,1,0.0736517727402272,0.0736517727402272,0.0736517727402272,0.0
16,RAW,1,0.07385863593902345,0.07742711465922869,0.07385863593902345,0.0
