panel,IS_argmax_band,OOS_argmax_band,OOS_Sharpe_at_IS_pick,OOS_Sharpe_best_band,n_bands_passing_4b_full_and_oos
U56,0.08,0.02,1.1625197276472643,1.2783977144506264,5
B136,0.08,0.02,1.0920752045528088,1.1210690026396035,1
