panel,pick,leg,window,B,conf,point,lo,hi,resolvable
U56,MOM/5/g1.00,L1_H1,H1,10,0.9,0.28020551202115207,-0.17972873858094623,0.7226929472829231,False
U56,MOM/5/g1.00,L1_H1,H1,10,0.95,0.28020551202115207,-0.2613757968389867,0.8190166572673235,False
U56,MOM/5/g1.00,L2_H2,H2,10,0.9,0.01773021277684872,-0.4099001406330832,0.42858119544885337,False
U56,MOM/5/g1.00,L2_H2,H2,10,0.95,0.01773021277684872,-0.49283625043635526,0.49916991916383874,False
U56,MOM/5/g1.00,L3_OOS,OOS,10,0.9,-0.030433996927766827,-0.4576680398522473,0.35338273547493526,False
U56,MOM/5/g1.00,L3_OOS,OOS,10,0.95,-0.030433996927766827,-0.5323619641378616,0.44168651100927914,False
U56,MOM/5/g1.00,L4_DD_FULL,FULL,10,0.9,-0.14376346545354796,-0.3165703991751832,-0.08344578275927392,False
U56,MOM/5/g1.00,L4_DD_FULL,FULL,10,0.95,-0.14376346545354796,-0.3458508403784928,-0.06350709766036633,False
U56,MOM/5/g1.00,L5_CAGR_FULL,FULL,10,0.9,0.14334856752777103,0.06123790428799905,0.2327114239568299,True
U56,MOM/5/g1.00,L5_CAGR_FULL,FULL,10,0.95,0.14334856752777103,0.04871881550375314,0.25079181650533544,True
U56,MOM/5/g1.00,L4_DD_OOS,OOS,10,0.9,-0.1437634654535483,-0.3445820673565358,-0.09694669393384286,False
U56,MOM/5/g1.00,L4_DD_OOS,OOS,10,0.95,-0.1437634654535483,-0.3775486904435351,-0.08046858630626687,False
U56,MOM/5/g1.00,L5_CAGR_OOS,OOS,10,0.9,0.10223523708124307,-0.010669508067459846,0.22471867864919937,False
U56,MOM/5/g1.00,L5_CAGR_OOS,OOS,10,0.95,0.10223523708124307,-0.028259512163896744,0.26109742618059806,False
U56,MOM/5/g1.00,L1_H1,H1,21,0.9,0.28020551202115207,-0.17670378672451414,0.7250171841306825,False
U56,MOM/5/g1.00,L1_H1,H1,21,0.95,0.28020551202115207,-0.2673475235890958,0.8088992532291527,False
U56,MOM/5/g1.00,L2_H2,H2,21,0.9,0.01773021277684872,-0.42979774888898237,0.4080727593737367,False
U56,MOM/5/g1.00,L2_H2,H2,21,0.95,0.01773021277684872,-0.5092853291471385,0.4770566227265394,False
U56,MOM/5/g1.00,L3_OOS,OOS,21,0.9,-0.030433996927766827,-0.46834627000816287,0.35060516794029584,False
U56,MOM/5/g1.00,L3_OOS,OOS,21,0.95,-0.030433996927766827,-0.5400319618753011,0.42142640031136014,False
U56,MOM/5/g1.00,L4_DD_FULL,FULL,21,0.9,-0.14376346545354796,-0.3069204459564116,-0.07998692843742464,False
U56,MOM/5/g1.00,L4_DD_FULL,FULL,21,0.95,-0.14376346545354796,-0.32915482413046254,-0.06148422765273217,False
U56,MOM/5/g1.00,L5_CAGR_FULL,FULL,21,0.9,0.14334856752777103,0.06449237820711588,0.23410085749756332,True
U56,MOM/5/g1.00,L5_CAGR_FULL,FULL,21,0.95,0.14334856752777103,0.04736657212511743,0.25066902273737623,True
U56,MOM/5/g1.00,L4_DD_OOS,OOS,21,0.9,-0.1437634654535483,-0.3325993022918592,-0.09368688286836997,False
U56,MOM/5/g1.00,L4_DD_OOS,OOS,21,0.95,-0.1437634654535483,-0.3596231965492012,-0.07743767299874567,False
U56,MOM/5/g1.00,L5_CAGR_OOS,OOS,21,0.9,0.10223523708124307,-0.006682616966439088,0.2251055026328368,False
U56,MOM/5/g1.00,L5_CAGR_OOS,OOS,21,0.95,0.10223523708124307,-0.024891552854947055,0.25183604674850757,False
U56,MOM/5/g1.00,L1_H1,H1,63,0.9,0.28020551202115207,-0.17997864458534338,0.6801149575300978,False
U56,MOM/5/g1.00,L1_H1,H1,63,0.95,0.28020551202115207,-0.26385144092377316,0.7594343046933599,False
U56,MOM/5/g1.00,L2_H2,H2,63,0.9,0.01773021277684872,-0.41254222337258994,0.38455582052651455,False
U56,MOM/5/g1.00,L2_H2,H2,63,0.95,0.01773021277684872,-0.49499023172546,0.4599330321475234,False
U56,MOM/5/g1.00,L3_OOS,OOS,63,0.9,-0.030433996927766827,-0.44951255416439534,0.31978004821531747,False
U56,MOM/5/g1.00,L3_OOS,OOS,63,0.95,-0.030433996927766827,-0.5231741025520599,0.3836252401274529,False
U56,MOM/5/g1.00,L4_DD_FULL,FULL,63,0.9,-0.14376346545354796,-0.27544472638727047,-0.0897972121159054,False
U56,MOM/5/g1.00,L4_DD_FULL,FULL,63,0.95,-0.14376346545354796,-0.3125278035318969,-0.07250292950812702,False
U56,MOM/5/g1.00,L5_CAGR_FULL,FULL,63,0.9,0.14334856752777103,0.06264902288350584,0.22669428763039762,True
U56,MOM/5/g1.00,L5_CAGR_FULL,FULL,63,0.95,0.14334856752777103,0.045889121313096005,0.24305477771544984,True
U56,MOM/5/g1.00,L4_DD_OOS,OOS,63,0.9,-0.1437634654535483,-0.3052326782111503,-0.09956603517935302,False
U56,MOM/5/g1.00,L4_DD_OOS,OOS,63,0.95,-0.1437634654535483,-0.34074514303801023,-0.08284268134167112,False
U56,MOM/5/g1.00,L5_CAGR_OOS,OOS,63,0.9,0.10223523708124307,-0.003980502600167504,0.22415955108573096,False
U56,MOM/5/g1.00,L5_CAGR_OOS,OOS,63,0.95,0.10223523708124307,-0.021408223777960308,0.24722851450013233,False
B136,MOM/20/g1.00,L1_H1,H1,10,0.9,0.37823600690787773,0.057462164700020815,0.7054676442907335,True
B136,MOM/20/g1.00,L1_H1,H1,10,0.95,0.37823600690787773,-0.020446118910624384,0.7738356023852797,False
B136,MOM/20/g1.00,L2_H2,H2,10,0.9,0.08993207317932528,-0.20566687011579898,0.37437428468850714,False
B136,MOM/20/g1.00,L2_H2,H2,10,0.95,0.08993207317932528,-0.2768116039941801,0.43928540207517175,False
