panel,gate,value,verdict
u56,G1_cost_reconstruction,0.0,EXACT
u56,G2_pure_scalar_targets,3.469446951953614e-18,EXACT
u56,G5a_daily_exact,6.938893903907228e-18,EXACT
u56,G5b_drift_W,0.0034907894519731336,nonzero
u56,G5b_drift_M,0.004940071697290244,nonzero
broad,G1_cost_reconstruction,0.0,EXACT
broad,G2_pure_scalar_targets,1.734723475976807e-18,EXACT
broad,G5a_daily_exact,6.938893903907228e-18,EXACT
broad,G5b_drift_W,0.003661737587955599,nonzero
broad,G5b_drift_M,0.006336380622377555,nonzero
small,G1_cost_reconstruction,0.0,EXACT
small,G2_pure_scalar_targets,8.673617379884035e-19,EXACT
small,G5a_daily_exact,6.938893903907228e-18,EXACT
small,G5b_drift_W,0.0012182207611994775,nonzero
small,G5b_drift_M,0.0032015465812877536,nonzero
-,G4_cells_published,1056.0,ALL
broad,G3a_live_book_OOS,2.7163944487304525e-05,PASS
u56,G3b_both_paths_M,3.6013548667002127e-05,PASS
u56,G3c_both_paths_W,0.00037522663322997474,PASS
-,G6_rulesv2_is_ewall_band3dg,0.0,IDENTICAL
u56,G7_live_turnover,0.0035559161867937394,PASS
