set,bar,n_E,pass_min,pass_max,pass_at_REC,r_spy_OOS_Sharpe,r_OOS_years,monotone,n_sign_changes
SHELF,REC_FULL,16,9,9,9,,,True,0
SHELF,WIN,16,9,9,9,,,True,0
GRID,REC_FULL,16,17,20,19,0.7594927966515539,0.08059887749923064,False,1
GRID,WIN,16,17,19,19,0.4868917019183577,0.7217734316960986,False,0
ALL,REC_FULL,16,26,29,28,0.7594927966515539,0.08059887749923064,False,1
ALL,WIN,16,26,28,28,0.4868917019183577,0.7217734316960986,False,0
