ladder,committer,axis,k,argmax_OPEN,argmax_ELIG,peak_OPEN,peak_ELIG,spearman,argmax_moved
A/U56/H=21/N,1082/1086,N,9,12,12,7.662377033621581,6.558009210475612,0.9500000000000001,False
A/U56/H=63/N,1082/1086,N,9,8,8,8.070153909061917,9.352650771813288,0.9666666666666667,False
A/U56/H=126/N,1082/1086,N,9,12,5,6.820183166175642,7.386262942903343,0.9333333333333332,True
A/U56/N=5/H,1086,H,3,63,63,6.636925450497233,8.583759527868306,0.5,False
A/U56/N=8/H,1086,H,3,63,63,8.070153909061917,9.352650771813288,0.5,False
A/U56/N=10/H,1086,H,3,21,63,7.353143982413057,7.9249872100997765,-0.5,True
A/U56/N=12/H,1086,H,3,21,126,7.662377033621581,6.889349147029355,0.5,True
A/U56/N=15/H,1086,H,3,21,126,5.25779726586868,5.838976752770597,-0.5,True
A/U56/N=20/H,1086,H,3,126,126,5.1181233929647245,5.1454366707920585,1.0,False
A/U56/N=25/H,1086,H,3,126,126,2.9526013388686767,3.4986968542283337,1.0,False
A/U56/N=30/H,1086,H,3,63,63,2.0749572096866453,2.2570908191775874,1.0,False
A/U56/N=40/H,1086,H,3,21,21,1.3432855901294616,1.207383040247123,1.0,False
B/U56/N=20/cap,1071,cap,5,INF,1.50,5.071880741435864,5.3476852381871165,-0.7999999999999999,True
B/U56/N=25/cap,1071,cap,5,1.50,1.00,3.5473108529818997,3.7003908301276645,-0.6,True
B/U56/N=30/cap,1071,cap,5,INF,1.25,1.5836879698968853,2.1703687456318455,-0.6,True
B/U56/N=40/cap,1071,cap,5,INF,INF,0.491736489695882,1.0630087805268307,0.39999999999999997,False
B/U56/cap=INF/N,1071,N,4,20,20,5.071880741435864,4.800762551094917,1.0,False
A/B136/H=21/N,1082/1086,N,9,5,5,8.074180556042931,10.317350817920467,0.9500000000000001,False
A/B136/H=63/N,1082/1086,N,9,5,5,11.268996037496814,12.474434344798713,1.0,False
A/B136/H=126/N,1082/1086,N,9,10,10,8.323841215910088,8.631087733228727,0.8666666666666667,False
A/B136/N=5/H,1086,H,3,63,63,11.268996037496814,12.474434344798713,1.0,False
A/B136/N=8/H,1086,H,3,63,63,8.822181541275986,10.993586425527525,0.5,False
A/B136/N=10/H,1086,H,3,126,63,8.323841215910088,9.666575663272358,0.5,True
A/B136/N=12/H,1086,H,3,126,63,6.519566190615922,7.669221129974824,0.5,True
A/B136/N=15/H,1086,H,3,126,126,6.8337512656864385,6.7104895890111145,1.0,False
A/B136/N=20/H,1086,H,3,126,21,4.932357200086979,5.739946949114783,0.5,True
A/B136/N=25/H,1086,H,3,126,126,4.269149812565876,5.144031846783004,1.0,False
A/B136/N=30/H,1086,H,3,126,126,2.810899508839926,3.7879473215192028,1.0,False
A/B136/N=40/H,1086,H,3,126,21,1.8532321794052287,3.0018863510250293,0.5,True
B/B136/N=20/cap,1071,cap,5,1.00,1.25,6.28537740820585,6.501885977155153,0.7999999999999999,True
B/B136/N=25/cap,1071,cap,5,1.00,1.00,5.772773173921175,6.472258944856579,0.8999999999999998,False
B/B136/N=30/cap,1071,cap,5,1.00,1.00,4.3998880486666,5.016456988187246,0.9999999999999999,False
B/B136/N=40/cap,1071,cap,5,1.00,1.50,2.8837755300612056,3.5382785071394363,0.19999999999999998,True
B/B136/cap=INF/N,1071,N,4,20,20,4.872453544099608,5.187257477633745,1.0,False
