panel,B,L,point_argmin,point_slope_126,best_rival,point_slope_rival,point_gap,boot_gap,boot_gap_se,t_gap,p_argmin_126,frac_126_steeper
U56,126,21,142,-0.9006410952464751,142,-1.390862546088216,0.49022145084174096,0.883440196400933,6.426099815522074,0.13747688672171052,0.08,0.2
U56,252,21,142,-0.8699300436470597,142,-1.3290078052215073,0.4590777615744476,0.40819686870557986,7.255653662653688,0.056259144618030964,0.085,0.24
U56,126,63,142,-0.9006410952464751,142,-1.390862546088216,0.49022145084174096,1.2572410340796167,6.385068596089447,0.19690329323158995,0.0525,0.145
U56,252,63,142,-0.8699300436470597,142,-1.3290078052215073,0.4590777615744476,0.7972455811383508,4.599645641965333,0.17332760894982863,0.045,0.1925
U56,126,126,142,-0.9006410952464751,142,-1.390862546088216,0.49022145084174096,1.2881928506231162,8.68951596946054,0.14824679017225967,0.0375,0.09
U56,252,126,142,-0.8699300436470597,142,-1.3290078052215073,0.4590777615744476,0.7210408249072529,1.3289176675157963,0.542577499368434,0.0275,0.0975
B136,126,21,160,-1.0467599844377113,160,-1.04986444394936,0.0031044595116487272,-0.4275018550842965,9.036065014593524,-0.04731062186846463,0.33,0.3975
B136,252,21,126,-0.9786113641470445,160,-0.702611286023848,-0.2760000781231965,-0.35413779456201866,6.758036381092506,-0.05240246938486719,0.4425,0.5275
B136,126,63,160,-1.0467599844377113,160,-1.04986444394936,0.0031044595116487272,-0.7909794762970782,8.681233065428165,-0.09111372432184166,0.3325,0.425
B136,252,63,126,-0.9786113641470445,160,-0.702611286023848,-0.2760000781231965,0.08186562458456148,7.701327558415765,0.010630066564965327,0.455,0.545
B136,126,126,160,-1.0467599844377113,160,-1.04986444394936,0.0031044595116487272,-0.06465492646769386,6.904921776509443,-0.009363600133407743,0.3375,0.3875
B136,252,126,126,-0.9786113641470445,160,-0.702611286023848,-0.2760000781231965,0.12492268994368853,2.417190416636787,0.05168094705484666,0.4325,0.5025
SMALL,126,21,160,1.6853423955065066,160,-1.202249687396269,2.8875920829027755,0.2424114348853898,7.058190449379155,0.03434470019248525,0.07,0.395
SMALL,252,21,112,1.8460340394657768,112,-6.573701028610354,8.41973506807613,1.1095863109182873,9.22762735912264,0.12024611178314709,0.095,0.3975
SMALL,126,63,160,1.6853423955065066,160,-1.202249687396269,2.8875920829027755,2.2970159050237795,7.741400253761669,0.29671840102927416,0.055,0.285
SMALL,252,63,112,1.8460340394657768,112,-6.573701028610354,8.41973506807613,0.4994614906248572,9.767393677483195,0.051135595340675924,0.0875,0.4025
SMALL,126,126,160,1.6853423955065066,160,-1.202249687396269,2.8875920829027755,0.846713762347037,8.173595749160384,0.1035913431899313,0.065,0.2975
SMALL,252,126,112,1.8460340394657768,112,-6.573701028610354,8.41973506807613,0.8350639355407679,7.153641387842635,0.11673270859787996,0.08,0.3875
