panel,con,gate,pick_band,pick_cad,isSharpe,oCAGR,oSharpe,oMaxDD,regret,best_band,best_cad,vs_ctrl,vs_SPY,vs_LIVE
SMALL439,RESPREAD,MA,0.12,M,0.7176814304237993,0.10731465165416565,0.7163211715873475,-0.37622055419890255,-0.07225750045209545,0.08,Q,0.09283345521117958,-0.16568959559493668,-0.5687511916191345
SMALL439,RESPREAD,MAVOL,0.12,M,0.7295794927176722,0.06540483427067612,0.5083528348324959,-0.3840413406690907,0.0,0.12,M,-0.11513488154367202,-0.3736579323497883,-0.7767195283739861
SMALL439,DEGROSS,MA,0.05,M,0.7522420351631188,0.046868512782883176,0.654316082781826,-0.1670216550038619,0.0,0.05,M,0.030828366405658003,-0.22769468440045826,-0.630756280424656
SMALL439,DEGROSS,MAVOL,0.05,M,0.7196924376830534,0.020452530061105367,0.41038820464090464,-0.14720903811890373,-0.05268978187499057,0.12,M,-0.21309951173526331,-0.4716225625413796,-0.8746841585655774
U56,RESPREAD,MA,0.02,Q,1.2429046878992893,0.12874762459962574,1.0843274435606205,-0.21781922125294295,-0.18795079425922312,0.12,W,-0.08646311758342962,0.20231667637833628,-0.2007449196458615
U56,RESPREAD,MAVOL,0.02,Q,1.1605224724129897,0.11904013190175067,1.0670520935032524,-0.2178192212529425,-0.1828540625620343,0.12,W,-0.10373846764079775,0.18504132632096815,-0.21802026970322963
U56,DEGROSS,MA,0.0,M,1.1367053673446528,0.09525336534908146,1.2815379797668451,-0.1187148215315943,-0.014880100954914433,0.02,W,0.12362730096133512,0.3995272125845609,-0.0035343834396368567
U56,DEGROSS,MAVOL,0.12,M,1.0621905537162244,0.08972377043444535,1.192562081113947,-0.13946844954623006,-0.11408558438342786,0.0,M,0.034651402308436996,0.3105513139316628,-0.09251028209253498
B136,RESPREAD,MA,0.12,W,1.1975006218096558,0.13772155971364186,1.1646479438304376,-0.21724870333320878,-0.012836136112999164,0.12,Q,0.06083079817613046,0.282624020233206,-0.12042441937604442
B136,RESPREAD,MAVOL,0.12,W,1.191980968158563,0.12122844901516516,1.1073957026493753,-0.1889486009567376,-0.014500819787769847,0.12,M,0.0035785569950681495,0.22537177905214367,-0.17767666055710674
B136,DEGROSS,MA,0.08,W,1.1434263530207136,0.0838487794148215,1.1138297407558024,-0.14771278701030988,-0.04094389776101037,0.0,M,0.010012595101495325,0.23180581715857085,-0.17124262245067956
B136,DEGROSS,MAVOL,0.12,M,1.1225032222882148,0.08351793099104565,1.0229545599017988,-0.19471573091480532,-0.1316048814299282,0.0,M,-0.08738799962324406,0.14093063630456726,-0.26211780330468315
