leg,panel,form,cadence,IS_lo,IS_hi,IS_pts,gstar,OOS_lo,OOS_hi,OOS_pts,gstar_in_OOS,book,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,IS_CAGR,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD
WF-A,B136,EWall,M,0.6,0.6,1.0,0.6000000000000001,,,0.0,False,,,,,,,,,,,,
WF-A,B136,EWall,W,0.55,0.6,2.0,0.55,,,0.0,False,,,,,,,,,,,,
WF-A,B136,MA-DG,M,0.95,1.0,2.0,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,
WF-A,B136,MA-DG,W,,,0.0,,,,0.0,False,,,,,,,,,,,,
WF-A,B136,MA-RS,M,0.7,0.9,5.0,0.8,0.65,0.65,1.0,False,,,,,,,,,,,,
WF-A,B136,MA-RS,W,0.7,0.85,4.0,0.75,0.7,0.75,2.0,True,,,,,,,,,,,,
WF-A,B136,MA20,M,0.45,0.8,8.0,0.6000000000000001,0.5,0.55,2.0,False,,,,,,,,,,,,
WF-A,B136,MA20,W,0.55,0.75,5.0,0.65,,,0.0,False,,,,,,,,,,,,
WF-A,B136,TOP10,M,0.4,0.6,5.0,0.5,0.45,0.5,2.0,True,,,,,,,,,,,,
WF-A,B136,TOP10,W,0.45,0.6,4.0,0.5,,,0.0,False,,,,,,,,,,,,
WF-A,B136,TOP20,M,0.45,0.8,8.0,0.6000000000000001,0.5,0.55,2.0,False,,,,,,,,,,,,
WF-A,B136,TOP20,W,0.55,0.75,5.0,0.65,,,0.0,False,,,,,,,,,,,,
WF-A,SMALL439,EWall,M,,,0.0,,,,0.0,False,,,,,,,,,,,,
WF-A,SMALL439,EWall,W,,,0.0,,,,0.0,False,,,,,,,,,,,,
WF-A,SMALL439,MA-DG,M,,,0.0,,,,0.0,False,,,,,,,,,,,,
WF-A,SMALL439,MA-DG,W,,,0.0,,,,0.0,False,,,,,,,,,,,,
WF-A,SMALL439,MA-RS,M,,,0.0,,,,0.0,False,,,,,,,,,,,,
WF-A,SMALL439,MA-RS,W,,,0.0,,,,0.0,False,,,,,,,,,,,,
WF-A,SMALL439,MA20,M,,,0.0,,,,0.0,False,,,,,,,,,,,,
WF-A,SMALL439,MA20,W,,,0.0,,,,0.0,False,,,,,,,,,,,,
WF-A,SMALL439,TOP10,M,,,0.0,,,,0.0,False,,,,,,,,,,,,
WF-A,SMALL439,TOP10,W,,,0.0,,,,0.0,False,,,,,,,,,,,,
WF-A,SMALL439,TOP20,M,,,0.0,,,,0.0,False,,,,,,,,,,,,
WF-A,SMALL439,TOP20,W,,,0.0,,,,0.0,False,,,,,,,,,,,,
WF-A,U56,EWall,M,0.65,0.75,3.0,0.7000000000000001,0.6,0.65,2.0,False,,,,,,,,,,,,
WF-A,U56,EWall,W,0.65,0.75,3.0,0.7000000000000001,0.6,0.65,2.0,False,,,,,,,,,,,,
WF-A,U56,MA-DG,M,0.95,1.0,2.0,1.0,0.9,1.0,3.0,True,,,,,,,,,,,,
WF-A,U56,MA-DG,W,,,0.0,,0.9,1.0,3.0,False,,,,,,,,,,,,
WF-A,U56,MA-RS,M,0.7,0.85,4.0,0.75,0.6,0.8,5.0,True,,,,,,,,,,,,
WF-A,U56,MA-RS,W,0.75,0.9,4.0,0.8,0.7,0.8,3.0,True,,,,,,,,,,,,
WF-A,U56,MA20,M,0.6,0.8,5.0,0.7000000000000001,0.5,0.7,5.0,True,,,,,,,,,,,,
WF-A,U56,MA20,W,,,0.0,,0.55,0.7,4.0,False,,,,,,,,,,,,
WF-A,U56,TOP10,M,0.45,0.6,4.0,0.5,0.45,0.55,3.0,True,,,,,,,,,,,,
WF-A,U56,TOP10,W,,,0.0,,0.5,0.6,3.0,False,,,,,,,,,,,,
WF-A,U56,TOP20,M,0.55,0.8,6.0,0.7000000000000001,0.45,0.7,6.0,True,,,,,,,,,,,,
WF-A,U56,TOP20,W,0.6,0.85,6.0,0.7000000000000001,0.55,0.65,3.0,False,,,,,,,,,,,,
WF-B,,,,,,,,,,,,WF-B TOP10 g=0.50,0.11613595937308885,0.9692866628383667,-0.1794552544208562,1.2658930051929338,0.764650147543877,1.1959999609643437,0.1262367117762766,-0.102750941523988,0.10786860892563488,0.8351162407202336,-0.1794552544208564
WF-B,,,,,,,,,,,,RULES v2 (B136),0.0803031894255104,1.1057901818007876,-0.12240793860208032,1.229067725847855,0.9843850631086558,1.0911618922065958,0.0808727653598118,-0.07897348036179963,0.07983337481604336,1.1185082795688426,-0.12240793860208021
WF-B,,,,,,,,,,,,SPY,0.15228333786002324,0.8890499106949826,-0.3371595330739301,0.9566383979356751,0.8340326918358352,0.8986643995365173,0.14959762001990007,-0.22058362096015105,0.1545044425578177,0.8820239235972316,-0.3371595330739301
