cash,gross,k,KEEP4b,cagr_margin_pp,dd_margin_pp,h1,h2,dd,cagr
ZERO,0.5,0,False,-0.8861622824411469,6.828305655432764,True,True,True,False
ZERO,0.5,1,False,-1.3336299010173165,5.684217799770397,True,True,True,False
ZERO,0.5,2,False,-0.9796432443030495,6.283455520957759,True,True,True,False
ZERO,0.5,3,False,-1.3902737281684314,6.314342863038059,True,True,True,False
ZERO,0.5,4,False,-1.1333214919475894,6.3620780781984525,True,True,True,False
ZERO,0.5,5,False,-1.3297553636371613,6.007677314856563,True,True,True,False
ZERO,0.5,6,False,-1.7058634639785715,7.747724928705313,True,True,True,False
ZERO,0.5,7,False,-0.7839865463231982,7.2077739151114155,True,True,True,False
ZERO,0.5,8,False,-1.2966262833250615,10.288636110093963,True,True,True,False
ZERO,0.5,9,False,-1.8605165730110147,7.633587960435784,True,True,True,False
ZERO,0.5,10,False,-1.375424373936704,6.9780798462261595,True,True,True,False
ZERO,0.5,11,False,-1.9096438488351049,5.369480541990024,True,True,True,False
ZERO,0.5,12,False,-1.9276793783595232,5.683694702214803,True,True,True,False
ZERO,0.5,13,False,-1.9352460785135057,6.348166500290042,True,True,True,False
ZERO,0.5,14,False,-1.54933277240564,5.6663425473769236,True,True,True,False
ZERO,0.5,15,False,-1.5654129183754724,5.21721303365652,True,True,True,False
ZERO,0.5,16,False,-1.9088380549891455,5.308302061809577,True,True,True,False
ZERO,0.5,17,False,-1.4551246948751513,5.867144560708559,True,True,True,False
ZERO,0.5,18,False,-1.46617486203747,5.894050182066223,True,True,True,False
ZERO,0.5,19,False,-1.1951038071048887,6.883699225229001,True,True,True,False
ZERO,0.5,20,False,-1.065631580650281,5.5063241269644125,True,True,True,False
ZERO,0.55,0,True,0.1039588135449604,5.577180850239561,True,True,True,True
ZERO,0.55,1,False,-0.3986061037124372,4.301889195297348,True,True,True,False
ZERO,0.55,2,False,-0.0037401830188826812,4.962110762982097,True,True,True,False
ZERO,0.55,3,False,-0.45726754283247073,4.9774829328731895,True,True,True,False
ZERO,0.55,4,False,-0.17368858540166288,5.03998704629216,True,True,True,False
ZERO,0.55,5,False,-0.3904891819394546,4.6576868160498215,True,True,True,False
ZERO,0.55,6,False,-0.8105739506965776,6.546398262376751,True,True,True,False
ZERO,0.55,7,True,0.21671791953733754,5.96524387357934,True,True,True,True
ZERO,0.55,8,False,-0.3537761243115195,9.31195787231558,True,True,True,False
ZERO,0.55,9,False,-0.9806866604051917,6.388707737528532,True,True,True,False
ZERO,0.55,10,False,-0.44015973600205205,5.663244513613552,True,True,True,False
ZERO,0.55,11,False,-1.0381031633726363,3.8976295308317366,True,True,True,False
ZERO,0.55,12,False,-1.0556335185666872,4.229407788381156,True,True,True,False
ZERO,0.55,13,False,-1.0641710163606795,4.968866481013013,True,True,True,False
ZERO,0.55,14,False,-0.63950963195257,4.235641040778216,True,True,True,False
ZERO,0.55,15,False,-0.6553862134063809,3.7786570862141655,True,True,True,False
ZERO,0.55,16,False,-1.0335496518654037,3.892898475707962,True,True,True,False
ZERO,0.55,17,False,-0.5292719641444371,4.5099310327222035,True,True,True,False
ZERO,0.55,18,False,-0.5397903787885822,4.5535698117458505,True,True,True,False
ZERO,0.55,19,False,-0.23789959426677443,5.633084667782972,True,True,True,False
ZERO,0.55,20,False,-0.0970350066442055,4.1101305319731,True,True,True,False
ZERO,0.6,0,True,1.09741519103356,4.341352087139983,True,True,True,True
ZERO,0.6,1,True,0.5377001504182438,2.9321716733873626,True,True,True,True
ZERO,0.6,2,True,0.9745273611341837,3.6536742761955288,True,True,True,True
ZERO,0.6,3,True,0.47777936853673764,3.650328642493861,True,True,True,True
ZERO,0.6,4,True,0.7881331655508111,3.729385159584453,True,True,True,True
ZERO,0.6,5,True,0.5508351862596156,3.3204923887877547,True,True,True,True
ZERO,0.6,6,True,0.08551843284731186,5.353458842555037,True,True,True,True
ZERO,0.6,7,True,1.2207880885257842,4.733398098552833,True,True,True,True
ZERO,0.6,8,True,0.5911422356427082,8.338422813995717,True,True,True,True
ZERO,0.6,9,False,-0.10008498368364316,5.146485260898337,True,True,True,False
ZERO,0.6,10,True,0.49726612427637706,4.350282616819157,True,True,True,True
ZERO,0.6,11,False,-0.16653474804909363,2.4283501920800976,True,True,True,False
ZERO,0.6,12,False,-0.18303641142870253,2.775189386910837,True,True,True,False
ZERO,0.6,13,False,-0.19260327351378892,3.591114914091864,True,True,True,False
ZERO,0.6,14,True,0.27080852116644627,2.809413566183616,True,True,True,True
ZERO,0.6,15,True,0.25549511375830003,2.3510359348093424,True,True,True,True
ZERO,0.6,16,False,-0.15740562376996559,2.4908186483648453,True,True,True,False
ZERO,0.6,17,True,0.3984580273750066,3.1662597218887645,True,True,True,True
