gate,cell,value,ok,note
G1_cost_reconstruction_exact,U56/W/g=0.25,0.0,True,
G1_cost_reconstruction_exact,U56/W/g=0.375,0.0,True,
G1_cost_reconstruction_exact,U56/W/g=0.5,0.0,True,
G1_cost_reconstruction_exact,U56/W/g=0.625,0.0,True,
G1_cost_reconstruction_exact,U56/W/g=0.75,0.0,True,
G1_cost_reconstruction_exact,U56/W/g=0.875,0.0,True,
G2_reproduce_2264,CAGR,1.9178623153107144e-05,True,"published 0.1153, got 0.1153"
G2_reproduce_2264,Sharpe,2.154589090697101e-05,True,"published 1.2009, got 1.2009"
G2_reproduce_2264,MaxDD,9.879178235944197e-06,True,"published -0.1591, got -0.1591"
G2_reproduce_2264,OOS_CAGR,1.4874891456628792e-06,True,"published 0.1267, got 0.1267"
G2_reproduce_2264,OOS_Sharpe,1.8541228124391296e-05,True,"published 1.276, got 1.2760"
G2_reproduce_2264,TO,0.0019482030399164962,True,"published 2.35, got 2.3519"
G2_reproduce_2264,v2_CAGR,1.119473686278516e-05,True,"published 0.0862, got 0.0862"
G2_reproduce_2264,v2_Sharpe,4.929602757486329e-05,True,"published 1.201, got 1.2010"
G2_reproduce_2264,v2_MaxDD,4.9419140438711207e-05,True,"published -0.1205, got -0.1205"
G2_reproduce_2264,spy_CAGR,1.2245856587239645e-05,True,"published 0.1514, got 0.1514"
G2_reproduce_2264,spy_Sharpe,3.506764233085491e-05,True,"published 0.8851, got 0.8851"
G2_reproduce_2264,spy_MaxDD,2.7432758146928027e-05,True,"published -0.3372, got -0.3372"
G3_50bps_FULL_CAGR_miss_pp,U56/W/g=1.00,-0.10946393954647249,True,2264 published a 0.11 pp miss (10.49% vs 10.60%); got 10.49% vs floor 10.60%
G4_4b_leg_margins_monotone_in_cost,ALL,0.0,True,"0 of 462 (book,leg) paths non-monotone"
