panel,stat,frac_ladder,repair,ratio,jack_se_log,n_pseudo
U56,CAGR,L3,R_ASIS,3.2043376643336035,0.578400577549359,4
U56,CAGR,L3,R_FROZEN,3.2043376643336035,0.578400577549359,4
U56,CAGR,L3,R_COUNT,4.806506496500406,0.6332335270969323,4
U56,CAGR,L3,R_BOTH,4.806506496500406,0.6332335270969323,4
U56,CAGR,L8,R_ASIS,2.7760814950063386,0.566007853597394,4
U56,CAGR,L8,R_FROZEN,3.2043376643336035,0.578400577549359,4
U56,CAGR,L8,R_COUNT,3.176591363067447,0.2952318224207407,4
U56,CAGR,L8,R_BOTH,4.806506496500406,0.6332335270969323,4
U56,VOL,L3,R_ASIS,3.2788029129456415,2.441939605848109,4
U56,VOL,L3,R_FROZEN,3.2788029129456415,2.441939605848109,4
U56,VOL,L3,R_COUNT,2.153551207364488,0.6591857063625076,4
U56,VOL,L3,R_BOTH,2.153551207364488,0.6591857063625076,4
U56,VOL,L8,R_ASIS,2.1349934863036193,1.8760909532598296,4
U56,VOL,L8,R_FROZEN,3.2788029129456415,2.441939605848109,4
U56,VOL,L8,R_COUNT,4.828193750803119,0.6519946343950225,4
U56,VOL,L8,R_BOTH,2.153551207364488,0.6591857063625076,4
U56,SHARPE,L3,R_ASIS,49.12043648776099,1.3903344785614151,4
U56,SHARPE,L3,R_FROZEN,49.12043648776099,1.3903344785614151,4
U56,SHARPE,L3,R_COUNT,73.6806547316415,1.5506145117044996,4
U56,SHARPE,L3,R_BOTH,73.6806547316415,1.5506145117044996,4
U56,SHARPE,L8,R_ASIS,6.790891198187124,0.20418023585829695,4
U56,SHARPE,L8,R_FROZEN,49.12043648776099,1.3903344785614151,4
U56,SHARPE,L8,R_COUNT,5.813049631065163,0.12473620014737792,4
U56,SHARPE,L8,R_BOTH,73.6806547316415,1.5506145117044996,4
U56,MAXDD,L3,R_ASIS,1.1495202632163464,0.26315916467149447,4
U56,MAXDD,L3,R_FROZEN,1.1495202632163464,0.26315916467149447,4
U56,MAXDD,L3,R_COUNT,1.6883490889640442,0.2955868488696385,4
U56,MAXDD,L3,R_BOTH,1.6883490889640442,0.2955868488696385,4
U56,MAXDD,L8,R_ASIS,0.6454469547169353,0.05642131879884742,4
U56,MAXDD,L8,R_FROZEN,1.1495202632163464,0.26315916467149447,4
U56,MAXDD,L8,R_COUNT,1.73218113055968,0.1290927775908581,4
U56,MAXDD,L8,R_BOTH,1.6883490889640442,0.2955868488696385,4
U56,ULCER,L3,R_ASIS,2.995138714662263,1.0580196711280616,4
U56,ULCER,L3,R_FROZEN,2.995138714662263,1.0580196711280616,4
U56,ULCER,L3,R_COUNT,2.201152871274268,0.5080571631725919,4
U56,ULCER,L3,R_BOTH,2.201152871274268,0.5080571631725919,4
U56,ULCER,L8,R_ASIS,1.9513789373950876,1.2011858190186318,4
U56,ULCER,L8,R_FROZEN,2.995138714662263,1.0580196711280616,4
U56,ULCER,L8,R_COUNT,2.999279640773039,0.8002401427169833,4
U56,ULCER,L8,R_BOTH,2.201152871274268,0.5080571631725919,4
U56,CALMAR,L3,R_ASIS,1.1585474543435863,0.1095884008757615,4
U56,CALMAR,L3,R_FROZEN,1.1585474543435863,0.1095884008757615,4
U56,CALMAR,L3,R_COUNT,1.7378211815153795,0.10958840087576137,4
U56,CALMAR,L3,R_BOTH,1.7378211815153795,0.10958840087576137,4
U56,CALMAR,L8,R_ASIS,0.9533433293985998,0.0820979688549507,4
U56,CALMAR,L8,R_FROZEN,1.1585474543435863,0.1095884008757615,4
U56,CALMAR,L8,R_COUNT,2.5558934948725165,0.11575734324428262,4
U56,CALMAR,L8,R_BOTH,1.7378211815153795,0.10958840087576137,4
B136,CAGR,L3,R_ASIS,3.360334886706321,1.3513624028293083,4
B136,CAGR,L3,R_FROZEN,3.360334886706321,1.3513624028293083,4
B136,CAGR,L3,R_COUNT,4.9501247686575836,0.7631395668622585,4
B136,CAGR,L3,R_BOTH,4.9501247686575836,0.7631395668622585,4
B136,CAGR,L8,R_ASIS,3.282003831993874,1.4082072006492794,4
B136,CAGR,L8,R_FROZEN,3.360334886706321,1.3513624028293083,4
B136,CAGR,L8,R_COUNT,3.845683652888669,0.17224571737180475,4
B136,CAGR,L8,R_BOTH,4.9501247686575836,0.7631395668622585,4
B136,VOL,L3,R_ASIS,3.454624144069891,0.7662499633938337,4
B136,VOL,L3,R_FROZEN,3.454624144069891,0.7662499633938337,4
B136,VOL,L3,R_COUNT,2.6255790665782555,0.3580227080542323,4
B136,VOL,L3,R_BOTH,2.6255790665782555,0.3580227080542323,4
B136,VOL,L8,R_ASIS,2.492469380964435,0.7214189840391199,4
B136,VOL,L8,R_FROZEN,3.454624144069891,0.7662499633938337,4
B136,VOL,L8,R_COUNT,5.59544224129002,0.5166100770666311,4
B136,VOL,L8,R_BOTH,2.6255790665782555,0.3580227080542323,4
B136,SHARPE,L3,R_ASIS,4.3770420158334336,1.9555644619537607,4
B136,SHARPE,L3,R_FROZEN,4.3770420158334336,1.9555644619537607,4
B136,SHARPE,L3,R_COUNT,5.963343809227958,1.482821492770065,4
B136,SHARPE,L3,R_BOTH,5.963343809227958,1.482821492770065,4
