panel,L,f,stride,n_win,realised_overlap,span,fits,verdict
U56,400,0.0,400,6,0.0,2400,True,PASS
B136,400,0.0,400,6,0.0,2400,True,PASS
U56,400,0.25,300,6,0.25,1900,True,PASS
B136,400,0.25,300,6,0.25,1900,True,PASS
U56,400,0.5,200,6,0.5,1400,True,PASS
B136,400,0.5,200,6,0.5,1400,True,PASS
U56,400,0.75,100,6,0.75,900,True,PASS
B136,400,0.75,100,6,0.75,900,True,PASS
U56,400,0.9,40,6,0.9,600,True,PASS
B136,400,0.9,40,6,0.9,600,True,PASS
U56,550,0.0,550,6,0.0,3300,True,PASS
B136,550,0.0,550,6,0.0,3300,True,PASS
U56,550,0.25,412,6,0.2509090909090909,2610,True,PASS
B136,550,0.25,412,6,0.2509090909090909,2610,True,PASS
U56,550,0.5,275,6,0.5,1925,True,PASS
B136,550,0.5,275,6,0.5,1925,True,PASS
U56,550,0.75,138,6,0.7490909090909091,1240,True,PASS
B136,550,0.75,138,6,0.7490909090909091,1240,True,PASS
U56,550,0.9,55,6,0.9,825,True,PASS
B136,550,0.9,55,6,0.9,825,True,PASS
U56,700,0.0,700,6,0.0,4200,True,PASS
B136,700,0.0,700,6,0.0,4200,True,PASS
U56,700,0.25,525,6,0.25,3325,True,PASS
B136,700,0.25,525,6,0.25,3325,True,PASS
U56,700,0.5,350,6,0.5,2450,True,PASS
B136,700,0.5,350,6,0.5,2450,True,PASS
U56,700,0.75,175,6,0.75,1575,True,PASS
B136,700,0.75,175,6,0.75,1575,True,PASS
U56,700,0.9,70,6,0.9,1050,True,PASS
B136,700,0.9,70,6,0.9,1050,True,PASS
