slice,n,n_pass,rate,med_pass,med_fail,delta,inverted,spearman_turn_pass,rung,stratum,gstar
0 bps | ALL rows (no gross needed),4014,1220,0.3039362232187344,9.547803277775166,9.296496226774636,0.25130705100053063,True,0.033316729090660815,0 bps,pooled-allrows,
"0 bps | rows WITH gross, pooled",1621,472,0.2911782850092535,9.330958856515622,7.735828208757425,1.5951306477581966,True,0.09018659325156765,0 bps,pooled,
0 bps | gross < 0.50,136,4,,,,,,,0 bps,low,0.5
0 bps | gross >= 0.50,1485,468,0.3151515151515151,9.330958856515622,8.266497294317862,1.06446156219776,True,0.06139530074840705,0 bps,high,0.5
0 bps | gross < 0.60,325,14,0.043076923076923075,12.420917999471818,3.354427430549135,9.066490568922683,True,0.24230450484090976,0 bps,low,0.6
0 bps | gross >= 0.60,1296,458,0.3533950617283951,9.330958856515622,10.161916916728478,-0.8309580602128559,False,-0.02210581751463921,0 bps,high,0.6
0 bps | gross < 0.70,503,67,0.13320079522862824,9.81320585504389,3.9675043090638766,5.845701545980013,True,0.20010184875232725,0 bps,low,0.7
0 bps | gross >= 0.70,1118,405,0.3622540250447227,9.330958856515622,10.773973335739724,-1.443014479224102,False,-0.04092613240733132,0 bps,high,0.7
0 bps | gross < 0.75,733,153,0.208731241473397,9.630697203129404,4.723511494572133,4.907185708557272,True,0.15466400669403868,0 bps,low,0.75
0 bps | gross >= 0.75,888,319,0.35923423423423423,9.330958856515622,10.859235274164671,-1.5282764176490495,False,-0.07080917583025469,0 bps,high,0.75
0 bps | gross < 0.80,1210,320,0.2644628099173554,8.342946144091133,4.723511494572133,3.6194346495190004,True,0.19138092268011397,0 bps,low,0.8
0 bps | gross >= 0.80,411,152,0.36982968369829683,10.307003263117704,12.247532657896771,-1.9405293947790678,False,-0.4937363489545322,0 bps,high,0.8
0 bps | gross < 0.85,1217,321,0.2637633525061627,8.342946144091133,4.748089765474688,3.594856378616445,True,0.18645870097332196,0 bps,low,0.85
0 bps | gross >= 0.85,404,151,0.37376237623762376,10.307180831056828,12.10317130426959,-1.795990473212763,False,-0.4903477506627543,0 bps,high,0.85
0 bps | gross < 0.90,1338,384,0.28699551569506726,9.273408804009332,5.536987232753649,3.7364215712556827,True,0.16650296318503213,0 bps,low,0.9
0 bps | gross >= 0.90,283,88,0.31095406360424027,10.859235274164671,10.912639516118075,-0.05340424195340354,False,-0.28808545827820964,0 bps,high,0.9
0 bps | gross < 0.95,1341,384,0.28635346756152125,9.273408804009332,5.509011006265669,3.764397797743663,True,0.16803894610422218,0 bps,low,0.95
0 bps | gross >= 0.95,280,88,0.3142857142857143,10.859235274164671,10.912639516118075,-0.05340424195340354,False,-0.30608242369788824,0 bps,high,0.95
0 bps | gross < 1.00,1377,388,0.28177196804647786,9.273408804009332,5.774435659289297,3.4989731447200345,True,0.15199662651231008,0 bps,low,1.0
0 bps | gross >= 1.00,244,84,0.3442622950819672,10.859235274164671,11.517601960637263,-0.6583666864725917,False,-0.4277557486083276,0 bps,high,1.0
5 bps | ALL rows (no gross needed),1947,519,0.2665639445300462,9.01203476272935,8.65860847769071,0.3534262850386405,True,0.07328811781364482,5 bps,pooled-allrows,
"5 bps | rows WITH gross, pooled",392,125,0.31887755102040816,8.342946144091133,5.0688647470899,3.2740813970012335,True,0.1928371440735804,5 bps,pooled,
5 bps | gross < 0.50,0,0,,,,,,,5 bps,low,0.5
5 bps | gross >= 0.50,392,125,0.31887755102040816,8.342946144091133,5.0688647470899,3.2740813970012335,True,0.1928371440735804,5 bps,high,0.5
5 bps | gross < 0.60,41,0,,,,,,,5 bps,low,0.6
5 bps | gross >= 0.60,351,125,0.3561253561253561,8.342946144091133,4.537001419393047,3.8059447246980866,True,0.21379689423204432,5 bps,high,0.6
5 bps | gross < 0.70,80,10,0.125,7.26048490312572,7.260507592948379,-2.2689822658961134e-05,False,-0.011458073024436986,5 bps,low,0.7
5 bps | gross >= 0.70,312,115,0.3685897435897436,8.42827519287586,4.356841229109474,4.0714339637663866,True,0.2399275841821137,5 bps,high,0.7
5 bps | gross < 0.75,140,47,0.3357142857142857,9.630697203129404,6.301395600982906,3.329301602146498,True,0.2805390781905494,5 bps,low,0.75
5 bps | gross >= 0.75,252,78,0.30952380952380953,8.208759352934159,4.495732745821899,3.71302660711226,True,0.14749880769152748,5 bps,high,0.75
5 bps | gross < 0.80,320,108,0.3375,8.42827519287586,4.588075769051379,3.8401994238244814,True,0.27436877691293515,5 bps,low,0.8
5 bps | gross >= 0.80,72,17,0.2361111111111111,5.823792076002562,8.67752645110862,-2.8537343751060575,False,-0.09048633681426932,5 bps,high,0.8
5 bps | gross < 0.85,320,108,0.3375,8.42827519287586,4.588075769051379,3.8401994238244814,True,0.27436877691293515,5 bps,low,0.85
5 bps | gross >= 0.85,72,17,0.2361111111111111,5.823792076002562,8.67752645110862,-2.8537343751060575,False,-0.09048633681426932,5 bps,high,0.85
5 bps | gross < 0.90,320,108,0.3375,8.42827519287586,4.588075769051379,3.8401994238244814,True,0.27436877691293515,5 bps,low,0.9
5 bps | gross >= 0.90,72,17,0.2361111111111111,5.823792076002562,8.67752645110862,-2.8537343751060575,False,-0.09048633681426932,5 bps,high,0.9
5 bps | gross < 0.95,320,108,0.3375,8.42827519287586,4.588075769051379,3.8401994238244814,True,0.27436877691293515,5 bps,low,0.95
5 bps | gross >= 0.95,72,17,0.2361111111111111,5.823792076002562,8.67752645110862,-2.8537343751060575,False,-0.09048633681426932,5 bps,high,0.95
5 bps | gross < 1.00,341,108,0.31671554252199413,8.42827519287586,4.754392578195989,3.6738826146798713,True,0.2593633182547918,5 bps,low,1.0
5 bps | gross >= 1.00,51,17,0.3333333333333333,5.823792076002562,9.927978345704114,-4.104186269701552,False,-0.23457249339008845,5 bps,high,1.0
10 bps | ALL rows (no gross needed),26915,4495,0.16700724503065206,9.161498332662575,5.567477958272323,3.5940203743902517,True,0.07862381602248834,10 bps,pooled-allrows,
"10 bps | rows WITH gross, pooled",6893,1714,0.24865805890033368,8.266497294317862,9.330958856515622,-1.06446156219776,False,-0.09448818606572783,10 bps,pooled,
10 bps | gross < 0.50,432,65,0.15046296296296297,1.9009659102891086,3.754452477092885,-1.8534865668037763,False,-0.3290348333934664,10 bps,low,0.5
10 bps | gross >= 0.50,6461,1649,0.2552236495898468,8.279230459205131,10.259636892093656,-1.9804064328885254,False,-0.11049074780526365,10 bps,high,0.5
10 bps | gross < 0.60,947,109,0.11510031678986272,1.9927706518348185,3.8253891476564563,-1.8326184958216378,False,-0.2800486865974664,10 bps,low,0.6
10 bps | gross >= 0.60,5946,1605,0.26992936427850656,8.279230459205131,10.757665453588784,-2.478434994383653,False,-0.14728116020104395,10 bps,high,0.6
10 bps | gross < 0.70,1384,203,0.14667630057803469,2.549934510164306,4.792466624515232,-2.242532114350926,False,-0.1618044469340468,10 bps,low,0.7
10 bps | gross >= 0.70,5509,1511,0.27427845343982576,8.279230459205131,10.825417339668975,-2.5461868804638446,False,-0.1578851589848929,10 bps,high,0.7
10 bps | gross < 0.75,3281,926,0.2822310271258763,7.605146017565621,7.333094355092071,0.27205166247355006,True,-0.09272720981187084,10 bps,low,0.75
10 bps | gross >= 0.75,3612,788,0.21816168327796234,9.873547269056445,10.859235274164671,-0.9856880051082264,False,-0.0824360087171649,10 bps,high,0.75
10 bps | gross < 0.80,5283,1413,0.2674616695059625,7.849087475703151,7.8749502511308425,-0.025862775427691886,False,-0.06776186433198247,10 bps,low,0.8
10 bps | gross >= 0.80,1610,301,0.18695652173913044,10.41739477234515,10.95379125635781,-0.5363964840126609,False,-0.11338395368836,10 bps,high,0.8
10 bps | gross < 0.85,5323,1434,0.2693969566034191,7.843664828304625,7.877605585653764,-0.03394075734913837,False,-0.07175033236582118,10 bps,low,0.85
10 bps | gross >= 0.85,1570,280,0.17834394904458598,10.446073811941597,10.95379125635781,-0.5077174444162136,False,-0.0938572088852249,10 bps,high,0.85
10 bps | gross < 0.90,5515,1496,0.271260199456029,7.946416534812509,7.964932298408069,-0.018515763595559953,False,-0.06413366969515992,10 bps,low,0.9
10 bps | gross >= 0.90,1378,218,0.15820029027576196,10.859235274164671,11.178430240299608,-0.3191949661349369,False,-0.052181985968527134,10 bps,high,0.9
10 bps | gross < 0.95,5577,1501,0.26914111529496143,7.946416534812509,7.924130619267357,0.022285915545151802,True,-0.061337103726274454,10 bps,low,0.95
10 bps | gross >= 0.95,1316,213,0.16185410334346503,10.859235274164671,11.250235751917009,-0.39100047775233726,False,-0.05791881190902037,10 bps,high,0.95
10 bps | gross < 1.00,5919,1508,0.25477276566987667,7.946416534812509,8.266497294317862,-0.32008075950535275,False,-0.08191513288069728,10 bps,low,1.0
10 bps | gross >= 1.00,974,206,0.21149897330595482,10.859235274164671,11.208469147646134,-0.34923387348146306,False,-0.09812780515496725,10 bps,high,1.0
25 bps | ALL rows (no gross needed),19861,1794,0.09032777805749963,8.44571423693679,9.934177351523523,-1.4884631145867324,False,-0.12400424667138056,25 bps,pooled-allrows,
"25 bps | rows WITH gross, pooled",6604,833,0.12613567534827377,5.131870112061886,9.273408804009332,-4.141538691947446,False,-0.1473062465918591,25 bps,pooled,
25 bps | gross < 0.50,436,58,0.13302752293577982,1.6914140951358565,3.7640448739395143,-2.0726307788036578,False,-0.3986939378520755,25 bps,low,0.5
25 bps | gross >= 0.50,6168,775,0.1256485084306096,6.45998771353885,9.630697203129404,-3.1707094895905543,False,-0.1440599378345958,25 bps,high,0.5
25 bps | gross < 0.60,939,94,0.10010649627263046,1.7152265485208158,3.796925335648316,-2.0816987871275003,False,-0.3354277722843296,25 bps,low,0.6
25 bps | gross >= 0.60,5665,739,0.13045013239187997,7.2613137698566455,10.326486762685263,-3.065172992828618,False,-0.1592402293502517,25 bps,high,0.6
25 bps | gross < 0.70,1367,141,0.10314557425018288,1.8454445792142158,4.8907995779444535,-3.0453549987302377,False,-0.278537977791388,25 bps,low,0.7
25 bps | gross >= 0.70,5237,692,0.1321367194958946,7.893686807813777,10.421757352715256,-2.528070544901478,False,-0.15982703572987694,25 bps,high,0.7
25 bps | gross < 0.75,3158,515,0.16307789740341988,4.069549734081326,7.64566303586992,-3.5761133017885944,False,-0.16738210584841515,25 bps,low,0.75
25 bps | gross >= 0.75,3446,318,0.0922809053975624,9.873547269056445,10.76447174655717,-0.8909244775007252,False,-0.10462260442462935,25 bps,high,0.75
25 bps | gross < 0.80,5029,747,0.1485384768343607,4.616001935281694,8.208759352934159,-3.5927574176524653,False,-0.1312733827959219,25 bps,low,0.8
25 bps | gross >= 0.80,1575,86,0.054603174603174605,10.417380564778128,10.912639516118075,-0.495258951339947,False,-0.10026931705183222,25 bps,high,0.8
25 bps | gross < 0.85,5062,760,0.150138285262742,4.555727537942762,8.208759352934159,-3.6530318149913965,False,-0.13460192396270393,25 bps,low,0.85
25 bps | gross >= 0.85,1542,73,0.04734111543450065,10.41739477234515,10.912702632598476,-0.49530786025332674,False,-0.0747760604666685,25 bps,high,0.85
25 bps | gross < 0.90,5253,765,0.14563106796116504,4.572566498858066,8.208759352934159,-3.636192854076093,False,-0.13243043855601544,25 bps,low,0.9
25 bps | gross >= 0.90,1351,68,0.050333086602516654,10.427678500252172,11.178430240299608,-0.750751740047436,False,-0.09830752883430983,25 bps,high,0.9
25 bps | gross < 0.95,5315,766,0.14412041392285982,4.5842842993886,8.208759352934159,-3.6244750535455585,False,-0.1290358031319029,25 bps,low,0.95
