panel,window,ref,rung,keying,L,f,c,share
B136,WFULL,ABS63,f0.04,FRAC,80,0.0398604882909815,0,0.0
B136,WFULL,ABS63,f0.08,FRAC,161,0.0802192326856004,0,0.0
B136,WFULL,ABS63,f0.15,FRAC,301,0.1499750871948181,0,0.0
B136,WFULL,ABS63,f0.3,FRAC,602,0.2999501743896363,0,0.0
B136,WFULL,ABS63,f0.6,FRAC,1204,0.5999003487792726,4,0.16666666666666666
B136,WFULL,ABS63,f1,FRAC,2007,1.0,17,0.7083333333333334
B136,WFULL,FRACf0.04,1,ABS,1,0.0004982561036372,3,0.125
B136,WFULL,FRACf0.04,10,ABS,10,0.0049825610363726,1,0.041666666666666664
B136,WFULL,FRACf0.04,1008,ABS,1008,0.5022421524663677,3,0.125
B136,WFULL,FRACf0.04,126,ABS,126,0.0627802690582959,0,0.0
B136,WFULL,FRACf0.04,2,ABS,2,0.0009965122072745,2,0.08333333333333333
B136,WFULL,FRACf0.04,21,ABS,21,0.0104633781763826,1,0.041666666666666664
B136,WFULL,FRACf0.04,252,ABS,252,0.1255605381165919,0,0.0
B136,WFULL,FRACf0.04,42,ABS,42,0.0209267563527653,0,0.0
B136,WFULL,FRACf0.04,5,ABS,5,0.0024912805181863,1,0.041666666666666664
B136,WFULL,FRACf0.04,504,ABS,504,0.2511210762331838,1,0.041666666666666664
B136,WFULL,FRACf0.04,63,ABS,63,0.0313901345291479,0,0.0
B136,WFULL,FRACf0.04,T,ABS,2007,1.0,17,0.7083333333333334
B136,WFULL,FRACf0.04,f0.0006,FRAC,1,0.0004982561036372,3,0.125
B136,WFULL,FRACf0.04,f0.002,FRAC,4,0.001993024414549,1,0.041666666666666664
B136,WFULL,FRACf0.04,f0.005,FRAC,10,0.0049825610363726,1,0.041666666666666664
B136,WFULL,FRACf0.04,f0.01,FRAC,20,0.0099651220727453,1,0.041666666666666664
B136,WFULL,FRACf0.04,f0.02,FRAC,40,0.0199302441454907,0,0.0
B136,WFULL,FRACf0.04,f0.08,FRAC,161,0.0802192326856004,0,0.0
B136,WFULL,FRACf0.04,f0.15,FRAC,301,0.1499750871948181,0,0.0
B136,WFULL,FRACf0.04,f0.3,FRAC,602,0.2999501743896363,0,0.0
B136,WFULL,FRACf0.04,f0.6,FRAC,1204,0.5999003487792726,4,0.16666666666666666
B136,WFULL,FRACf0.04,f1,FRAC,2007,1.0,17,0.7083333333333334
SMALL,W252,ABS63,1,ABS,1,0.0039682539682539,3,0.125
SMALL,W252,ABS63,10,ABS,10,0.0396825396825396,1,0.041666666666666664
SMALL,W252,ABS63,1008,ABS,252,1.0,21,0.875
SMALL,W252,ABS63,126,ABS,126,0.5,4,0.16666666666666666
SMALL,W252,ABS63,2,ABS,2,0.0079365079365079,2,0.08333333333333333
SMALL,W252,ABS63,21,ABS,21,0.0833333333333333,1,0.041666666666666664
SMALL,W252,ABS63,252,ABS,252,1.0,21,0.875
SMALL,W252,ABS63,42,ABS,42,0.1666666666666666,1,0.041666666666666664
SMALL,W252,ABS63,5,ABS,5,0.0198412698412698,2,0.08333333333333333
SMALL,W252,ABS63,504,ABS,252,1.0,21,0.875
SMALL,W252,ABS63,T,ABS,252,1.0,21,0.875
SMALL,W252,ABS63,f0.0006,FRAC,1,0.0039682539682539,3,0.125
SMALL,W252,ABS63,f0.002,FRAC,1,0.0039682539682539,3,0.125
SMALL,W252,ABS63,f0.005,FRAC,1,0.0039682539682539,3,0.125
SMALL,W252,ABS63,f0.01,FRAC,3,0.0119047619047619,3,0.125
SMALL,W252,ABS63,f0.02,FRAC,5,0.0198412698412698,2,0.08333333333333333
SMALL,W252,ABS63,f0.04,FRAC,10,0.0396825396825396,1,0.041666666666666664
SMALL,W252,ABS63,f0.08,FRAC,20,0.0793650793650793,1,0.041666666666666664
SMALL,W252,ABS63,f0.15,FRAC,38,0.1507936507936507,0,0.0
SMALL,W252,ABS63,f0.3,FRAC,76,0.3015873015873015,1,0.041666666666666664
SMALL,W252,ABS63,f0.6,FRAC,151,0.5992063492063492,4,0.16666666666666666
SMALL,W252,ABS63,f1,FRAC,252,1.0,21,0.875
SMALL,W252,FRACf0.04,1,ABS,1,0.0039682539682539,2,0.08333333333333333
SMALL,W252,FRACf0.04,10,ABS,10,0.0396825396825396,0,0.0
SMALL,W252,FRACf0.04,1008,ABS,252,1.0,20,0.8333333333333334
SMALL,W252,FRACf0.04,126,ABS,126,0.5,5,0.20833333333333334
SMALL,W252,FRACf0.04,2,ABS,2,0.0079365079365079,1,0.041666666666666664
SMALL,W252,FRACf0.04,21,ABS,21,0.0833333333333333,0,0.0
SMALL,W252,FRACf0.04,252,ABS,252,1.0,20,0.8333333333333334
SMALL,W252,FRACf0.04,42,ABS,42,0.1666666666666666,2,0.08333333333333333
SMALL,W252,FRACf0.04,5,ABS,5,0.0198412698412698,1,0.041666666666666664
SMALL,W252,FRACf0.04,504,ABS,252,1.0,20,0.8333333333333334
SMALL,W252,FRACf0.04,63,ABS,63,0.25,1,0.041666666666666664
SMALL,W252,FRACf0.04,T,ABS,252,1.0,20,0.8333333333333334
SMALL,W252,FRACf0.04,f0.0006,FRAC,1,0.0039682539682539,2,0.08333333333333333
SMALL,W252,FRACf0.04,f0.002,FRAC,1,0.0039682539682539,2,0.08333333333333333
SMALL,W252,FRACf0.04,f0.005,FRAC,1,0.0039682539682539,2,0.08333333333333333
SMALL,W252,FRACf0.04,f0.01,FRAC,3,0.0119047619047619,2,0.08333333333333333
SMALL,W252,FRACf0.04,f0.02,FRAC,5,0.0198412698412698,1,0.041666666666666664
SMALL,W252,FRACf0.04,f0.08,FRAC,20,0.0793650793650793,0,0.0
SMALL,W252,FRACf0.04,f0.15,FRAC,38,0.1507936507936507,1,0.041666666666666664
SMALL,W252,FRACf0.04,f0.3,FRAC,76,0.3015873015873015,2,0.08333333333333333
SMALL,W252,FRACf0.04,f0.6,FRAC,151,0.5992063492063492,5,0.20833333333333334
SMALL,W252,FRACf0.04,f1,FRAC,252,1.0,20,0.8333333333333334
SMALL,W504,ABS63,1,ABS,1,0.0019841269841269,4,0.16666666666666666
SMALL,W504,ABS63,10,ABS,10,0.0198412698412698,4,0.16666666666666666
SMALL,W504,ABS63,1008,ABS,504,1.0,19,0.7916666666666666
SMALL,W504,ABS63,126,ABS,126,0.25,1,0.041666666666666664
SMALL,W504,ABS63,2,ABS,2,0.0039682539682539,3,0.125
SMALL,W504,ABS63,21,ABS,21,0.0416666666666666,3,0.125
