panel,ladder,citing,recovering,share
U56,N,793,341,0.4300126103404792
U56,H,793,151,0.19041614123581338
U56,GROSS,793,369,0.46532156368221944
U56,CADENCE,793,227,0.2862547288776797
B136,N,599,276,0.4607679465776294
B136,H,599,124,0.20701168614357263
B136,GROSS,599,294,0.49081803005008345
B136,CADENCE,599,180,0.3005008347245409
SMALL,N,487,221,0.4537987679671458
SMALL,H,487,101,0.20739219712525667
SMALL,GROSS,487,258,0.5297741273100616
SMALL,CADENCE,487,155,0.3182751540041068
