tau,null_kind,panel,rung_sets_counted,book_fires,book_pick,book_adv_matched,book_adv_oos_sharpe,null_fire_rate,n_fired,null_med_adv,null_p05,null_p95,book_percentile_in_null,book_pct_uncond,book_dd_ratio,null_med_dd_ratio,null_p95_dd_ratio,book_pct_dd_ratio,null_med_adv_sharpe,null_med_turnover
0.0,N_ROT,U56,2,True,0.3,0.11137235203817997,-0.0021154912506546886,1.0,40,0.0969178647026055,0.09048482673172815,0.10412328554547119,1.0,1.0,0.4177391146410955,0.41079070150969477,0.4144066025052033,1.0,-0.00023830741626468255,38.47244356698452
0.0,N_ROT,B136,2,True,0.3,0.12068205643708341,-0.004535882691720783,1.0,40,0.11170827097841063,0.10229291823947936,0.13002980233733522,0.8,0.8,0.41812778387440197,0.4157243683488227,0.42271444121241275,0.775,0.0005951926535948393,60.38171300143553
0.0,N_FIX,U56,2,True,0.3,0.11137235203817997,-0.0021154912506546886,1.0,40,0.1256883528108294,0.11527106726832148,0.13395161052617122,0.0,0.0,0.4177391146410955,0.42050565589019895,0.42251071963847087,0.0,-0.0017864500346262968,0.807796267119316
0.0,N_FIX,B136,2,True,0.3,0.12068205643708341,-0.004535882691720783,1.0,40,0.10985311063396896,0.10435033712751396,0.11551330115487524,1.0,1.0,0.41812778387440197,0.419874699280078,0.4210579019232459,0.05,0.0015565433896966852,0.8426337439866103
1.0,N_ROT,U56,2,True,0.3,0.11137235203817997,-0.0021154912506546886,1.0,40,0.0969178647026055,0.09048482673172815,0.10412328554547119,1.0,1.0,0.4177391146410955,0.41079070150969477,0.4144066025052033,1.0,-0.00023830741626468255,38.47244356698452
1.0,N_ROT,B136,2,True,0.3,0.12068205643708341,-0.004535882691720783,1.0,40,0.11170827097841063,0.10229291823947936,0.13002980233733522,0.8,0.8,0.41812778387440197,0.4157243683488227,0.42271444121241275,0.775,0.0005951926535948393,60.38171300143553
1.0,N_FIX,U56,2,True,0.3,0.11137235203817997,-0.0021154912506546886,1.0,40,0.1256883528108294,0.11527106726832148,0.13395161052617122,0.0,0.0,0.4177391146410955,0.42050565589019895,0.42251071963847087,0.0,-0.0017864500346262968,0.807796267119316
1.0,N_FIX,B136,2,True,0.3,0.12068205643708341,-0.004535882691720783,1.0,40,0.10985311063396896,0.10435033712751396,0.11551330115487524,1.0,1.0,0.41812778387440197,0.419874699280078,0.4210579019232459,0.05,0.0015565433896966852,0.8426337439866103
2.0,N_ROT,U56,2,True,0.3,0.11137235203817997,-0.0021154912506546886,1.0,40,0.0969178647026055,0.09048482673172815,0.10412328554547119,1.0,1.0,0.4177391146410955,0.41079070150969477,0.4144066025052033,1.0,-0.00023830741626468255,38.47244356698452
2.0,N_ROT,B136,2,True,0.3,0.12068205643708341,-0.004535882691720783,1.0,40,0.11170827097841063,0.10229291823947936,0.13002980233733522,0.8,0.8,0.41812778387440197,0.4157243683488227,0.42271444121241275,0.775,0.0005951926535948393,60.38171300143553
