panel,book,cost,n,keep4a_LIT,keep4a_NORM,keep4b_LIT,keep4b_NORM,flip4a,flip4b,dSharpe,dCAGR,dMaxDD,dOOS,dpremium,gross_LIT
B136,CAND,10,3,False,False,False,False,False,False,-0.003771499072743545,0.0008846816236216526,-0.017052750589191534,0.0179032939153837,-0.003771499072743545,0.7410617366270651
B136,CAND,10,5,False,False,False,False,False,False,-0.004269092078444947,0.00013049765606365504,-0.0062839542914162605,0.010464756765370398,-0.004269092078444947,0.7451397939019506
B136,CAND,10,10,False,False,False,False,False,False,0.0015616231939389325,0.0009223270744722623,-2.220446049250313e-16,-0.0024979257184268855,0.0015616231939389325,0.7447530637232809
B136,CAND,10,20,True,True,False,False,False,False,-0.013742563550309783,-0.0009328471906751012,-4.440892098500626e-16,-0.008314259155488335,-0.013742563550309783,0.739046801857727
B136,CAND,10,30,True,True,False,False,False,False,-0.019422499195887233,-0.0008061434653057198,-1.1102230246251565e-16,-0.008029804284594433,-0.019422499195887233,0.7345777026719016
B136,CAND,10,40,True,True,True,True,False,False,-0.014785747672045102,0.001117655034504672,-1.1102230246251565e-16,-0.007535214465901441,-0.014785747672045102,0.7281766538685175
B136,CAND,10,60,True,True,True,True,False,False,-0.01420836610989118,0.0050434020520397915,0.0033720326547340695,-0.021194438169160668,-0.01420836610989118,0.7093171772475619
B136,CAND,25,3,False,False,False,False,False,False,-0.007303213427930055,-0.0006227255428443712,-0.017782161976581223,0.012728682196872065,-0.007303213427930055,0.7410617366270651
B136,CAND,25,5,False,False,False,False,False,False,-0.007297215726153272,-0.000806627712110819,-0.006515635582093227,0.007091282096850504,-0.007297215726153272,0.7451397939019506
B136,CAND,25,10,False,False,False,False,False,False,-0.001360234332670851,0.00023571783097042776,0.0,-0.006332000233669199,-0.001360234332670851,0.7447530637232809
B136,CAND,25,20,True,True,False,False,False,False,-0.018193125111450326,-0.001809130069206244,0.0,-0.013783602777943549,-0.018193125111450326,0.739046801857727
B136,CAND,25,30,True,True,False,False,False,False,-0.025159320334129265,-0.0019085269026375418,-0.001534849956021378,-0.014932967060098057,-0.025159320334129265,0.7345777026719016
B136,CAND,25,40,True,True,False,False,False,False,-0.023443331811388246,-0.0004963084840994281,-0.0026541943119279265,-0.01701641974941026,-0.023443331811388246,0.7281766538685175
B136,CAND,25,60,True,True,False,False,False,False,-0.029710980035522527,0.002231888667081572,-0.0004201709305957646,-0.03728731459964818,-0.029710980035522527,0.7093171772475619
B136,V1,10,3,False,False,False,False,False,False,-0.00021948241067448748,-2.5123893043987877e-05,3.1086244689504383e-15,-0.0003741781286502044,-0.00021948241067448748,0.7498661117726937
B136,V1,10,5,False,False,False,False,False,False,-0.001892592259941095,-0.00020991166624995117,-1.9984014443252818e-15,-0.0033054449218652415,-0.001892592259941095,0.7498259228284826
B136,V1,10,10,False,False,False,False,False,False,-0.005330016231507639,-0.0003688293060732928,-0.012001717416754154,-0.011569196517560831,-0.005330016231507639,0.7474695025621978
B136,V1,10,20,True,True,False,False,False,False,-0.019749280108965817,-0.0012107056585570763,-0.0068429602297021,-0.012267492938085156,-0.019749280108965817,0.7416932933503578
B136,V1,10,30,True,True,False,False,False,False,-0.019656039399631897,-0.0004457698464945814,-0.0017631453015020115,-0.005369185905603313,-0.019656039399631897,0.7368376132095013
B136,V1,10,40,True,True,False,False,False,False,-0.016384500817705483,0.0012120436778966237,-0.002071353983358115,-0.009198606781715246,-0.016384500817705483,0.7292170693889469
B136,V1,10,60,True,True,False,False,False,False,-0.017369815064021576,0.004803334025068384,0.0027178821966499234,-0.025403975768507392,-0.017369815064021576,0.7099880273307078
B136,V1,25,3,False,False,False,False,False,False,-0.0005897040912193063,-6.691347638820844e-05,-0.0007864277178758483,-0.0010101514396033996,-0.0005897040912193896,0.7498661117726937
B136,V1,25,5,False,False,False,False,False,False,-0.002319686509511476,-0.00025126439267619816,8.881784197001252e-16,-0.004054568422609317,-0.0023196865095115315,0.7498259228284826
B136,V1,25,10,False,False,False,False,False,False,-0.006296840726054409,-0.0005809987234486336,0.0,-0.013138810508484283,-0.006296840726054409,0.7474695025621978
B136,V1,25,20,False,False,False,False,False,False,-0.02152498826029392,-0.0017134462376717785,-0.009947860941408648,-0.015049107396281791,-0.02152498826029392,0.7416932933503578
B136,V1,25,30,False,False,False,False,False,False,-0.023460925869031035,-0.0013124931965218245,-0.005016385914945576,-0.010427012674662617,-0.023460925869031035,0.7368376132095013
B136,V1,25,40,True,True,False,False,False,False,-0.02374529940411607,-0.00026991517491992134,-0.005349752327317714,-0.017366675198226433,-0.02374529940411607,0.7292170693889469
