panel,cost,dial,dial_class,fold,rho,q_tr_star,q_te_star,param_tr_star,param_te_star,test_Sharpe_pick,test_Sharpe_best,regret,inverted
U56,0,C1,composition,F1,-0.9999999999999999,0.0,1.0,0.0,1.0,0.38872966782514773,0.555425997805652,-0.16669632998050432,1
U56,0,C1,composition,F2,-0.3,0.5,1.0,0.5,1.0,1.1851438194324175,1.2563854662822187,-0.07124164684980117,1
U56,0,C1,composition,F3,-0.7,1.0,0.25,1.0,0.25,1.1139734970153465,1.1513546748476726,-0.037381177832326085,1
U56,0,C2,composition,F1,0.9999999999999999,0.75,0.75,0.75,0.75,0.573821135348327,0.573821135348327,0.0,0
U56,0,C2,composition,F2,0.7,0.75,1.0,0.75,1.0,1.1802451835699206,1.2563854662822187,-0.07614028271229811,0
U56,0,C2,composition,F3,0.9999999999999999,1.0,1.0,1.0,1.0,1.1139734970153465,1.1139734970153465,0.0,0
U56,0,C3,composition,F1,0.9999999999999999,1.0,1.0,1.0,1.0,0.38872966782514773,0.38872966782514773,0.0,0
U56,0,C3,composition,F2,0.9999999999999999,1.0,1.0,1.0,1.0,0.9575334649119973,0.9575334649119973,0.0,0
U56,0,C3,composition,F3,0.9999999999999999,1.0,1.0,1.0,1.0,1.1373303832577328,1.1373303832577328,0.0,0
U56,0,C4,composition,F1,0.0,0.25,0.0,0.25,0.0,0.6243511131364669,0.6924339989051568,-0.06808288576868993,0
U56,0,C4,composition,F2,0.9999999999999999,0.0,0.0,0.0,0.0,1.3019325401586685,1.3019325401586685,0.0,0
U56,0,C4,composition,F3,0.9999999999999999,0.0,0.0,0.0,0.0,1.22954231183635,1.22954231183635,0.0,0
U56,0,C5,composition,F1,0.9999999999999999,0.0,0.0,0.0,0.0,0.9215574467773595,0.9215574467773595,0.0,0
U56,0,C5,composition,F2,0.7,0.0,0.25,0.0,0.25,1.2309750848779648,1.2649331189036404,-0.03395803402567554,0
U56,0,C5,composition,F3,0.9999999999999999,0.0,0.0,0.0,0.0,1.3739230660730042,1.3739230660730042,0.0,0
U56,0,C6,composition,F1,0.9999999999999999,1.0,1.0,1.0,1.0,0.8521308092359833,0.8521308092359833,0.0,0
U56,0,C6,composition,F2,0.9999999999999999,1.0,1.0,1.0,1.0,1.1493741876230137,1.1493741876230137,0.0,0
U56,0,C6,composition,F3,-0.09999999999999999,1.0,0.5,1.0,0.25,0.8934216569454445,0.9794152929744737,-0.08599363602902921,1
U56,0,W1,control-width,F1,0.9999999999999999,0.75,0.75,12.0,12.0,1.0629708025340263,1.0629708025340263,0.0,0
U56,0,W1,control-width,F2,-0.3,0.75,0.5,12.0,8.0,1.079786257161605,1.130439852153357,-0.05065359499175193,1
U56,0,W1,control-width,F3,0.6,0.75,1.0,12.0,20.0,1.0420791674466106,1.2446843898992968,-0.2026052224526862,0
U56,0,W2,control-width,F1,-0.3,0.25,1.0,0.03,0.2,0.9215574467773595,1.1031315191306854,-0.1815740723533259,1
U56,0,W2,control-width,F2,-0.3,0.75,0.0,0.12,0.0,1.0574655266772688,1.2396494288209308,-0.18218390214366198,1
U56,0,W2,control-width,F3,0.7,0.25,0.25,0.03,0.03,1.3739230660730042,1.3739230660730042,0.0,0
U56,0,G1,control-gross,F1,-0.9999999999999999,0.0,1.0,0.2,1.0,0.9179151473638802,0.9232148243269712,-0.005299676963090971,1
U56,0,G1,control-gross,F2,-0.9999999999999999,1.0,0.0,1.0,0.2,1.2284845633619392,1.2362618249643909,-0.007777261602451624,1
U56,0,G1,control-gross,F3,-0.9999999999999999,0.0,1.0,0.2,1.0,1.372548270457546,1.374562396227567,-0.0020141257700210247,1
U56,10,C1,composition,F1,-0.9999999999999999,0.0,1.0,0.0,1.0,0.33676384847135105,0.5160388622760433,-0.1792750138046923,1
U56,10,C1,composition,F2,0.09999999999999999,0.5,1.0,0.5,1.0,1.158132998378679,1.236336687802081,-0.07820368942340195,0
U56,10,C1,composition,F3,-0.3,1.0,0.5,1.0,0.5,1.0901713896056517,1.1174855552026428,-0.02731416559699107,1
U56,10,C2,composition,F1,0.9999999999999999,0.75,0.75,0.75,0.75,0.5305600257798314,0.5305600257798314,0.0,0
U56,10,C2,composition,F2,0.7,0.75,1.0,0.75,1.0,1.1544471047651657,1.236336687802081,-0.08188958303691529,0
