pair,same_construction,added,shared,max_rel_px,max_dret,cells_1e9,cells_1e4,worst_ticker
v1->v2,True,1,6059,0.07160466772585328,0.07712734568629753,40161,60,PLTR
v2->v3,False,0,4698,0.00037119524870088405,0.00038538193167547696,40286,6,NVDA
v3->v4,True,1,4698,0.00021253985122204888,0.00022238969976928757,40722,6,NVDA
v4->v5,True,0,4699,0.0006542929630124483,0.0006352412184462697,44755,7,GOOGL
v5->v6,True,1,4699,5.094503031233266e-05,5.331191098689736e-05,40198,0,AVGO
v6->v7,True,1,4700,0.0003710575139148631,0.00038538193167547696,40473,4,NVDA
v7->v8,True,1,4701,0.00037119524870088405,0.00038538193167547696,40187,4,NVDA
