book,cadence,rate,n_max,n_cells
BAND03,M,0.3333333333333333,10,30
BAND03,Q,0.0,0,30
EWELIG,M,0.43333333333333335,13,30
EWELIG,Q,0.0,0,30
TOP05,M,0.3333333333333333,10,30
TOP05,Q,0.0,0,30
TOP10,M,0.0,0,30
TOP10,Q,0.0,0,30
TOP20,M,0.6666666666666666,20,30
TOP20,Q,0.0,0,30
