char,level,achieved_B,achieved_S,prem_B,prem_S,gap,sd_pair,t,leg,book,CAGR,Sharpe,MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4a,fail4b,keep4b
cvol,0.32,0.2732410757143387,0.4022490822354084,-0.047305758968048006,-0.30100081162832676,0.25369505266027875,0.07731854061253741,8.037185186930772,G1_kernel_repro,,,,,,,,,,
cvol,0.39,0.31032962977561107,0.43733659249636364,-0.0067088164660590805,-0.20637493909578133,0.19966612262972225,0.06880221954447543,7.10849333932664,G1_kernel_repro,,,,,,,,,,
breadth,0.58,0.6321848123254451,0.5353877825678994,0.0068178962282800515,-0.12799402819866687,0.13481192442694692,0.05949776198160628,5.5501318888390285,G1_kernel_repro,,,,,,,,,,
,,,,,,,,,WF-B,B-side (IS pick),0.1066692377617593,1.0170858200256938,-0.1991526367896479,0.11275456311933718,1.02583669141601,-0.199152636789648,False,-,True
,,,,,,,,,WF-B,S-side twin,0.07190131296246416,0.6146099902362129,-0.3007188027597074,0.06799154683915809,0.5585513483817092,-0.3007188027597082,False,"H1,H2,OOS,DD,CAGR",False
,,,,,,,,,WF-B,ORIGIN-BLIND control,0.09323258551991032,0.883210572070755,-0.22282753915010634,0.09626784180213432,0.8719214925852801,-0.22282753915010634,False,"H2,OOS,DD,CAGR",False
,,,,,,,,,WF-B,INCUMBENT B136 MA-RS g0.75 W,0.11200053373324415,1.0450277468603142,-0.2011670484693583,0.11971563331408408,1.0659505550392183,-0.20116704846935807,False,-,True
,,,,,,,,,WF-B,SMALL439 MA-RS g0.75 W,0.06478682046825734,0.5033872943946726,-0.38239943767382534,0.07382991597741184,0.535474046054103,-0.3823994376738248,False,"H1,H2,OOS,DD,CAGR",False
,,,,,,,,,WF-B,RULES v2 U56 (live book),0.0866006138307156,1.2056282272849141,-0.12054945176473186,0.09534821724270404,1.2850855590004044,-0.12054945176473153,False,CAGR,False
,,,,,,,,,WF-B,SPY,0.15228044986566625,0.8890291118649435,-0.3371725677562024,0.15450723909089636,0.8820106885412021,-0.33717256775620263,False,"H1,H2,OOS,DD",False
