panel,episode,pick,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,v2_OOS_CAGR,v2_OOS_Sharpe,v2_OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,vs_v2,vs_spy
U56,NONE,CAND-20,0.9885574643796253,0.1447881879835391,1.133125294837859,-0.1809167039253563,0.09466182089103858,1.2816942206688668,-0.11916468035909678,0.15237187725667578,0.872122672456382,-0.33717256775620263,-0.1485689258310079,0.261002622381477
U56,drop2020,CAND-20,0.9885574643796253,0.14225101135203322,1.189181173180524,-0.15260816116535492,0.08897825809528515,1.3128295690014389,-0.07242554027521564,0.14892531101250173,0.9750632038819783,-0.24496419803486846,-0.12364839582091491,0.21411796929854565
U56,drop2022,CAND-20,0.9885574643796253,0.17533626134925084,1.3498398215783358,-0.1809167039253563,0.11192537824007354,1.4516902235049247,-0.11916468035909678,0.1987348464147496,1.1338813311124165,-0.33717256775620263,-0.1018504019265889,0.2159584904659193
U56,dropBOTH,CAND-20,0.9885574643796253,0.176445390953327,1.465551676346218,-0.1362124417083136,0.10767253271485777,1.521246224934005,-0.07242554027521597,0.20087450333314627,1.3854856134038671,-0.19348946290800506,-0.05569454858778711,0.08006606294235086
B136,NONE,RULES v2,1.093124006540268,0.07983508528458483,1.1206044691812698,-0.12178128651163989,0.07983508528458483,1.1206044691812698,-0.12178128651163989,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.0,0.23858054558403818
B136,drop2020,RULES v2,1.093124006540268,0.07917358116622286,1.203487777799595,-0.09246683772333464,0.07917358116622286,1.203487777799595,-0.09246683772333464,0.1512943742597479,0.9880560038985371,-0.24496651760884525,0.0,0.21543177390105783
B136,drop2022,RULES v2,1.093124006540268,0.09850552009987479,1.3291389398022513,-0.12178128651163989,0.09850552009987479,1.3291389398022513,-0.12178128651163989,0.20127558095859865,1.1457101885583023,-0.3371595330739301,0.0,0.18342875124394897
B136,dropBOTH,RULES v2,1.093124006540268,0.10021713928594456,1.4665109237878176,-0.07237813074630894,0.10021713928594456,1.4665109237878176,-0.07237813074630894,0.20375810621116153,1.4022935659364695,-0.19347516639095141,0.0,0.06421735785134808
SMALL439,NONE,CAND-20-INV,0.7698490594350538,0.030216123170629716,0.28666881025182117,-0.3563007429640662,0.03837588361212907,0.5664863714962136,-0.1470362580000888,0.15450723909089636,0.8820106885412021,-0.33717256775620263,-0.27981756124439244,-0.5953418782893809
SMALL439,drop2020,CAND-20-INV,0.7698490594350538,0.02544763377797432,0.26369607867921757,-0.2884972999641945,0.027667934427644036,0.4278187812604464,-0.11407044932620702,0.15129698565801886,0.9880477675839507,-0.24496419803486846,-0.16412270258122885,-0.7243516889047332
SMALL439,drop2022,CAND-20-INV,0.7698490594350538,0.05301324214373504,0.4464851512412178,-0.3563007429640662,0.050774671157641116,0.7154168792222387,-0.1470362580000888,0.20127719346634576,1.1456705797171718,-0.33717256775620263,-0.26893172798102094,-0.699185428475954
SMALL439,dropBOTH,CAND-20-INV,0.7698490594350538,0.05051926038102805,0.46044566989718005,-0.21199992223028696,0.040155322720927256,0.5857412669592861,-0.09416680566284119,0.20375934187721234,1.4022476229539567,-0.19348946290800506,-0.12529559706210602,-0.9418019530567766
