panel,excision,window,floor,n_books,n_ddsub,n_undefined,share_ddsub
U56,NONE,FULL,10,112,112,0,1.0
U56,NONE,FULL,20,112,64,48,0.5714285714285714
U56,NONE,FULL,40,112,8,104,0.07142857142857142
U56,NONE,FULL,60,112,4,108,0.03571428571428571
U56,NONE,IS,10,112,112,0,1.0
U56,NONE,IS,20,112,100,12,0.8928571428571429
U56,NONE,IS,40,112,80,32,0.7142857142857143
U56,NONE,IS,60,112,56,56,0.5
U56,NONE,OOS,10,112,112,0,1.0
U56,NONE,OOS,20,112,64,48,0.5714285714285714
U56,NONE,OOS,40,112,8,104,0.07142857142857142
U56,NONE,OOS,60,112,4,108,0.03571428571428571
U56,SPYDD,FULL,10,112,112,0,1.0
U56,SPYDD,FULL,20,112,112,0,1.0
U56,SPYDD,FULL,40,112,104,8,0.9285714285714286
U56,SPYDD,FULL,60,112,91,21,0.8125
U56,SPYDD,IS,10,112,112,0,1.0
U56,SPYDD,IS,20,112,100,12,0.8928571428571429
U56,SPYDD,IS,40,112,80,32,0.7142857142857143
U56,SPYDD,IS,60,112,56,56,0.5
U56,SPYDD,OOS,10,112,112,0,1.0
U56,SPYDD,OOS,20,112,112,0,1.0
U56,SPYDD,OOS,40,112,96,16,0.8571428571428571
U56,SPYDD,OOS,60,112,79,33,0.7053571428571429
U56,CRASH,FULL,10,112,112,0,1.0
U56,CRASH,FULL,20,112,112,0,1.0
U56,CRASH,FULL,40,112,104,8,0.9285714285714286
U56,CRASH,FULL,60,112,91,21,0.8125
U56,CRASH,IS,10,112,112,0,1.0
U56,CRASH,IS,20,112,100,12,0.8928571428571429
U56,CRASH,IS,40,112,80,32,0.7142857142857143
U56,CRASH,IS,60,112,56,56,0.5
U56,CRASH,OOS,10,112,112,0,1.0
U56,CRASH,OOS,20,112,112,0,1.0
U56,CRASH,OOS,40,112,96,16,0.8571428571428571
U56,CRASH,OOS,60,112,79,33,0.7053571428571429
U56,CAL20,FULL,10,112,112,0,1.0
U56,CAL20,FULL,20,112,112,0,1.0
U56,CAL20,FULL,40,112,104,8,0.9285714285714286
U56,CAL20,FULL,60,112,91,21,0.8125
U56,CAL20,IS,10,112,112,0,1.0
U56,CAL20,IS,20,112,100,12,0.8928571428571429
U56,CAL20,IS,40,112,80,32,0.7142857142857143
U56,CAL20,IS,60,112,56,56,0.5
U56,CAL20,OOS,10,112,112,0,1.0
U56,CAL20,OOS,20,112,112,0,1.0
U56,CAL20,OOS,40,112,96,16,0.8571428571428571
U56,CAL20,OOS,60,112,79,33,0.7053571428571429
B136,NONE,FULL,10,112,112,0,1.0
B136,NONE,FULL,20,112,60,52,0.5357142857142857
B136,NONE,FULL,40,112,12,100,0.10714285714285714
B136,NONE,FULL,60,112,12,100,0.10714285714285714
B136,NONE,IS,10,112,112,0,1.0
B136,NONE,IS,20,112,108,4,0.9642857142857143
B136,NONE,IS,40,112,52,60,0.4642857142857143
B136,NONE,IS,60,112,44,68,0.39285714285714285
B136,NONE,OOS,10,112,112,0,1.0
B136,NONE,OOS,20,112,60,52,0.5357142857142857
B136,NONE,OOS,40,112,12,100,0.10714285714285714
B136,NONE,OOS,60,112,12,100,0.10714285714285714
B136,SPYDD,FULL,10,112,112,0,1.0
B136,SPYDD,FULL,20,112,112,0,1.0
B136,SPYDD,FULL,40,112,64,48,0.5714285714285714
B136,SPYDD,FULL,60,112,64,48,0.5714285714285714
B136,SPYDD,IS,10,112,112,0,1.0
B136,SPYDD,IS,20,112,108,4,0.9642857142857143
B136,SPYDD,IS,40,112,52,60,0.4642857142857143
B136,SPYDD,IS,60,112,44,68,0.39285714285714285
B136,SPYDD,OOS,10,112,112,0,1.0
B136,SPYDD,OOS,20,112,112,0,1.0
B136,SPYDD,OOS,40,112,112,0,1.0
B136,SPYDD,OOS,60,112,112,0,1.0
B136,CRASH,FULL,10,112,112,0,1.0
B136,CRASH,FULL,20,112,112,0,1.0
B136,CRASH,FULL,40,112,64,48,0.5714285714285714
B136,CRASH,FULL,60,112,64,48,0.5714285714285714
B136,CRASH,IS,10,112,112,0,1.0
B136,CRASH,IS,20,112,108,4,0.9642857142857143
B136,CRASH,IS,40,112,52,60,0.4642857142857143
B136,CRASH,IS,60,112,44,68,0.39285714285714285
B136,CRASH,OOS,10,112,112,0,1.0
B136,CRASH,OOS,20,112,112,0,1.0
B136,CRASH,OOS,40,112,112,0,1.0
B136,CRASH,OOS,60,112,112,0,1.0
B136,CAL20,FULL,10,112,112,0,1.0
B136,CAL20,FULL,20,112,112,0,1.0
B136,CAL20,FULL,40,112,64,48,0.5714285714285714
B136,CAL20,FULL,60,112,64,48,0.5714285714285714
B136,CAL20,IS,10,112,112,0,1.0
B136,CAL20,IS,20,112,108,4,0.9642857142857143
B136,CAL20,IS,40,112,52,60,0.4642857142857143
B136,CAL20,IS,60,112,44,68,0.39285714285714285
B136,CAL20,OOS,10,112,112,0,1.0
B136,CAL20,OOS,20,112,112,0,1.0
B136,CAL20,OOS,40,112,112,0,1.0
B136,CAL20,OOS,60,112,112,0,1.0
SMALL,NONE,FULL,10,112,112,0,1.0
SMALL,NONE,FULL,20,112,112,0,1.0
SMALL,NONE,FULL,40,112,100,12,0.8928571428571429
SMALL,NONE,FULL,60,112,72,40,0.6428571428571429
SMALL,NONE,IS,10,112,112,0,1.0
SMALL,NONE,IS,20,112,112,0,1.0
SMALL,NONE,IS,40,112,112,0,1.0
SMALL,NONE,IS,60,112,112,0,1.0
SMALL,NONE,OOS,10,112,112,0,1.0
SMALL,NONE,OOS,20,112,112,0,1.0
SMALL,NONE,OOS,40,112,100,12,0.8928571428571429
SMALL,NONE,OOS,60,112,70,42,0.625
SMALL,SPYDD,FULL,10,112,112,0,1.0
SMALL,SPYDD,FULL,20,112,112,0,1.0
SMALL,SPYDD,FULL,40,112,112,0,1.0
SMALL,SPYDD,FULL,60,112,112,0,1.0
SMALL,SPYDD,IS,10,112,112,0,1.0
SMALL,SPYDD,IS,20,112,112,0,1.0
SMALL,SPYDD,IS,40,112,112,0,1.0
SMALL,SPYDD,IS,60,112,112,0,1.0
SMALL,SPYDD,OOS,10,112,112,0,1.0
SMALL,SPYDD,OOS,20,112,112,0,1.0
SMALL,SPYDD,OOS,40,112,112,0,1.0
SMALL,SPYDD,OOS,60,112,110,2,0.9821428571428571
SMALL,CRASH,FULL,10,112,112,0,1.0
SMALL,CRASH,FULL,20,112,112,0,1.0
SMALL,CRASH,FULL,40,112,112,0,1.0
SMALL,CRASH,FULL,60,112,112,0,1.0
SMALL,CRASH,IS,10,112,112,0,1.0
SMALL,CRASH,IS,20,112,112,0,1.0
SMALL,CRASH,IS,40,112,112,0,1.0
SMALL,CRASH,IS,60,112,112,0,1.0
SMALL,CRASH,OOS,10,112,112,0,1.0
SMALL,CRASH,OOS,20,112,112,0,1.0
SMALL,CRASH,OOS,40,112,112,0,1.0
SMALL,CRASH,OOS,60,112,110,2,0.9821428571428571
SMALL,CAL20,FULL,10,112,112,0,1.0
SMALL,CAL20,FULL,20,112,112,0,1.0
SMALL,CAL20,FULL,40,112,112,0,1.0
SMALL,CAL20,FULL,60,112,112,0,1.0
SMALL,CAL20,IS,10,112,112,0,1.0
SMALL,CAL20,IS,20,112,112,0,1.0
SMALL,CAL20,IS,40,112,112,0,1.0
SMALL,CAL20,IS,60,112,112,0,1.0
SMALL,CAL20,OOS,10,112,112,0,1.0
SMALL,CAL20,OOS,20,112,112,0,1.0
SMALL,CAL20,OOS,40,112,112,0,1.0
SMALL,CAL20,OOS,60,112,110,2,0.9821428571428571
