metric,crash,n_cells,base,excised_own,total,bar_only,bar_effect,book_only,book_effect,interaction,abs_bar_effect,bar_share
keep4b_full,CRASH_PT,420,187,80,-107,9,-178,266,79,-8,79,0.6926070038910506
keep4b_full,CRASH_WIDE,420,187,89,-98,62,-125,254,67,-40,67,0.6510416666666666
keep4b_oos,CRASH_PT,420,225,80,-145,17,-208,268,43,20,43,0.8286852589641435
keep4b_oos,CRASH_WIDE,420,225,118,-107,65,-160,268,43,10,43,0.7881773399014779
keep4b,CRASH_PT,420,187,80,-107,3,-184,266,79,-2,79,0.6996197718631179
keep4b,CRASH_WIDE,420,187,89,-98,62,-125,254,67,-40,67,0.6510416666666666
keep4a,CRASH_PT,420,40,0,-40,0,-40,49,9,-9,43,0.8163265306122449
keep4a,CRASH_WIDE,420,40,0,-40,0,-40,41,1,-1,35,0.975609756097561
keep4a_oos,CRASH_PT,420,54,0,-54,0,-54,64,10,-10,25,0.84375
keep4a_oos,CRASH_WIDE,420,54,0,-54,0,-54,64,10,-10,25,0.84375
