rule,agree_with_4b,disagreements
B1_shH1 ALONE,0.44019607843137254,571
B2_shH2 ALONE,0.5735294117647058,435
B3_shOOS ALONE,0.5676470588235294,441
B4_dd ALONE,0.30196078431372547,712
B5_cagr ALONE,0.9215686274509803,80
DROP B1_shH1,1.0,0
DROP B2_shH2,1.0,0
DROP B3_shOOS,1.0,0
DROP B4_dd,0.9509803921568627,50
DROP B5_cagr,0.6392156862745098,368
