panel,constr,m,n,cost,argmax_CAGR,argmax_Sharpe,argmax_IS_Sharpe,argmax_OOS_Sharpe,sp_k_dCAGR,sp_k_dSharpe,sp_negk_dCAGR,sp_negk_dSharpe,live_minus_zero_CAGR,live_minus_zero_Sharpe,pos_minus_zero_CAGR
u56,lit,0.2,7,0.0,1.0,1.0,0.25,1.0,1.0,0.8499999999999999,0.9999999999999999,0.8999999999999998,-0.06754423063322856,-0.0787282527288814,0.029422959540070792
u56,lit,0.2,7,10.0,1.0,1.0,0.25,1.0,1.0,0.9166666666666666,0.9999999999999999,0.8999999999999998,-0.07123116117409034,-0.1769653957030669,0.028283218771581353
u56,lit,0.2,7,25.0,1.0,1.0,0.25,1.0,0.9833333333333333,0.9333333333333332,0.9999999999999999,0.9999999999999999,-0.07648737354044921,-0.3250711738179504,0.02662573526771328
u56,lit,0.53,20,0.0,1.0,0.25,-0.25,1.0,0.9833333333333333,0.7833333333333333,0.9999999999999999,0.8999999999999998,-0.026806154694505313,-0.0734191985206929,0.005171585620462382
u56,lit,0.53,20,10.0,1.0,0.25,-0.25,0.5,0.9500000000000001,0.7999999999999999,0.9999999999999999,0.9999999999999999,-0.02764073474917006,-0.09630785128202268,0.004903825537734496
u56,lit,0.53,20,25.0,1.0,0.25,0.0,0.5,0.9500000000000001,0.7999999999999999,0.9999999999999999,0.9999999999999999,-0.02885684187767068,-0.13076217390215017,0.004510627073816442
u56,lit,0.85,32,0.0,1.0,1.0,-0.5,0.25,0.9833333333333333,0.8333333333333333,0.9999999999999999,0.8999999999999998,-0.00805088104014895,-0.014540708555276227,0.001957364507862547
u56,lit,0.85,32,10.0,1.0,0.0,-0.5,0.25,0.9833333333333333,0.7333333333333334,0.9999999999999999,0.9999999999999999,-0.008274558246829322,-0.021253276973545843,0.0016652477555378908
u56,lit,0.85,32,25.0,1.0,0.0,-0.5,0.25,0.9833333333333333,0.7333333333333334,0.9999999999999999,0.9999999999999999,-0.008604032994593558,-0.03133926034534662,0.0012338862472141
u56,norm,0.2,7,0.0,1.0,1.0,0.25,1.0,1.0,0.8499999999999999,0.9999999999999999,0.8999999999999998,-0.06878202030117775,-0.07469369866512299,0.02869699453191621
