stat,c,tol,N_needed
frac_pos_full,0.10382761724902873,0.05,5
frac_pos_full,0.10382761724902873,0.025,18
frac_pos_full,0.10382761724902873,0.01,108
frac_pos_IS,0.2736818631093418,0.05,30
frac_pos_IS,0.2736818631093418,0.025,120
frac_pos_IS,0.2736818631093418,0.01,750
frac_pos_OOS,0.060913496711176345,0.05,2
frac_pos_OOS,0.060913496711176345,0.025,6
frac_pos_OOS,0.060913496711176345,0.01,38
