gate,value,target,pass_
G3_selection_frame_U56,"977 segments, mean n held 18.69","published, not asserted",True
G4_twin_cagr_match_U56_d0.0_c0,0.00e+00,< 1e-6,True
G4_twin_cagr_match_U56_d0.05_c0,1.19e-11,< 1e-6,True
G4_twin_cagr_match_U56_d0.075_c0,1.36e-10,< 1e-6,True
G4_twin_cagr_match_U56_d0.1_c0,6.37e-11,< 1e-6,True
G4_twin_cagr_match_U56_d0.125_c0,6.72e-10,< 1e-6,True
G4_twin_cagr_match_U56_d0.15_c0,6.91e-10,< 1e-6,True
G4_twin_cagr_match_U56_d0.2_c0,0.00e+00,< 1e-6,True
G4_twin_cagr_match_U56_d0.0_c10,0.00e+00,< 1e-6,True
G4_twin_cagr_match_U56_d0.05_c10,2.97e-10,< 1e-6,True
G4_twin_cagr_match_U56_d0.075_c10,4.47e-10,< 1e-6,True
G4_twin_cagr_match_U56_d0.1_c10,1.34e-10,< 1e-6,True
G4_twin_cagr_match_U56_d0.125_c10,2.72e-10,< 1e-6,True
G4_twin_cagr_match_U56_d0.15_c10,8.46e-11,< 1e-6,True
G4_twin_cagr_match_U56_d0.2_c10,0.00e+00,< 1e-6,True
G4_twin_cagr_match_U56_d0.0_c25,0.00e+00,< 1e-6,True
G4_twin_cagr_match_U56_d0.05_c25,9.61e-10,< 1e-6,True
G4_twin_cagr_match_U56_d0.075_c25,6.87e-10,< 1e-6,True
G4_twin_cagr_match_U56_d0.1_c25,1.99e-10,< 1e-6,True
G4_twin_cagr_match_U56_d0.125_c25,2.89e-10,< 1e-6,True
G4_twin_cagr_match_U56_d0.15_c25,6.44e-10,< 1e-6,True
G4_twin_cagr_match_U56_d0.2_c25,0.00e+00,< 1e-6,True
G4_twin_cagr_match_U56_d0.0_c50,0.00e+00,< 1e-6,True
G4_twin_cagr_match_U56_d0.05_c50,7.37e-10,< 1e-6,True
G4_twin_cagr_match_U56_d0.075_c50,6.93e-10,< 1e-6,True
G4_twin_cagr_match_U56_d0.1_c50,8.07e-10,< 1e-6,True
G4_twin_cagr_match_U56_d0.125_c50,3.95e-10,< 1e-6,True
G4_twin_cagr_match_U56_d0.15_c50,3.60e-10,< 1e-6,True
