panel,book,cadence,cost_bps,n_draw,n_phase,base_CANON,base_FPORT,lift_OOS,base_CANON_IS,base_FPORT_IS,lift_IS,med_OOS_Sharpe_C,med_OOS_Sharpe_F,med_OOS_MaxDD_C,med_OOS_MaxDD_F,base4a_CANON,base4a_FPORT,legC_L1_H1,legF_L1_H1,legC_L2_H2,legF_L2_H2,legC_L3_OOS,legF_L3_OOS,legC_L4_DD,legF_L4_DD,legC_L5_CAGR,legF_L5_CAGR,lift_OOS_d25,lift_OOS_d50,CORR_FULL,CORR_IS,CORR_OOS,K_IS
B136,BAND03,D,0.0,60,1,0.0,0.0,0.0,0.0,0.0,0.0,1.1940615776819539,1.1940615776819539,-0.13258296462483032,-0.13258296462483032,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,91.68111609367214
B136,BAND03,D,10.0,60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.23816896729945947,0.23816896729945947,-0.17805826235233424,-0.17805826235233424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,91.68111609367214
B136,BAND03,D,25.0,60,1,0.0,0.0,0.0,0.0,0.0,0.0,-1.1967378860839606,-1.1967378860839606,-0.5971383672578353,-0.5971383672578353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,91.68111609367214
B136,BAND03,M,0.0,60,21,0.0,0.0,0.0,0.0,0.0,0.0,1.1234535297596842,1.067672559404242,-0.17178156058856875,-0.18291505028998578,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9729493592148791,0.9867751630656406,0.9628204008602574,91.65464703425229
B136,BAND03,M,10.0,60,21,0.0,0.0,0.0,0.0,0.0,0.0,1.077143768515046,1.0223446842334636,-0.1720437376291727,-0.18324087961559576,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9729493592148791,0.9867751630656406,0.9628204008602574,91.65464703425229
B136,BAND03,M,25.0,60,21,0.0,0.0,0.0,0.0,0.0,0.0,1.0079661889100366,0.9543489906912643,-0.17243700319007826,-0.18372939288646944,0.0,0.0,1.0,1.0,0.9666666666666667,0.7166666666666667,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9729493592148791,0.9867751630656406,0.9628204008602574,91.65464703425229
B136,BAND03,Q,0.0,60,63,0.0,0.0,0.0,0.0,0.0,0.0,0.9533571814774511,1.0471706107797154,-0.22015786139330723,-0.20852280872352752,0.0,0.0,1.0,1.0,0.65,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9601176217706391,0.9693532871703094,0.9544667061971485,91.73758320532512
B136,BAND03,Q,10.0,60,63,0.0,0.0,0.0,0.0,0.0,0.0,0.9382870757470272,1.0316508739613623,-0.22015786139330734,-0.20864028957952335,0.0,0.0,1.0,1.0,0.4166666666666667,1.0,0.9833333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9601176217706391,0.9693532871703094,0.9544667061971485,91.73758320532512
B136,BAND03,Q,25.0,60,63,0.0,0.0,0.0,0.0,0.0,0.0,0.915315495884395,1.00837050985493,-0.22015786139330723,-0.20881647973961054,0.0,0.0,1.0,1.0,0.16666666666666666,1.0,0.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9601176217706391,0.9693532871703094,0.9544667061971485,91.73758320532512
B136,BAND03,W,0.0,60,5,0.0,0.0,0.0,0.0,0.0,0.0,1.1639511735755916,1.1761016593627986,-0.1375326439044775,-0.1328916553036708,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9934274355064906,0.9957833708325975,0.9913204170663465,91.64744439295643
