leg,char,flavour,slope_IS,r2_IS,slope_OOS,r2_OOS,slope_full,sign_hold,book,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,IS_CAGR,OOS_CAGR,OOS_Sharpe,OOS_MaxDD
WF-A,tpers,POOL,21.366554892838696,0.5181100924296236,39.08353723144195,0.7579268735620305,33.38118697033348,True,,,,,,,,,,,
WF-A,tpers,BONLY,23.631802490399497,0.5161395275623435,12.651624499504754,0.1667836534451692,16.431778162983626,True,,,,,,,,,,,
WF-A,tpers,SONLY,21.06665053476837,0.39166540383170056,36.020612609242036,0.778033410901867,30.94172271658338,True,,,,,,,,,,,
WF-A,mompers,POOL,30.851760694030308,0.6667612547414028,26.815348353766563,0.517270935961469,28.143083272705546,True,,,,,,,,,,,
WF-A,mompers,BONLY,17.66955134496587,0.12903925216478995,10.880872898133706,0.05861916577364101,13.241220359464718,True,,,,,,,,,,,
WF-A,mompers,SONLY,31.286279424525983,0.4960052053496383,28.032276840523238,0.5620849890493114,28.90169000033085,True,,,,,,,,,,,
WF-A,momsgn,POOL,25.1343326072021,0.42669815109986164,41.58881726963908,0.7730743182365372,36.225142493862876,True,,,,,,,,,,,
WF-A,momsgn,BONLY,1.4381677809415914,0.0027221697736156125,5.373951065160891,0.06603630331466825,4.177847721843174,True,,,,,,,,,,,
WF-A,momsgn,SONLY,34.022312851839295,0.578095094256575,36.54795705276088,0.56065083580492,35.73319060654081,True,,,,,,,,,,,
WF-A,momac,POOL,5.785480653605169,0.634808400049458,6.220919266006055,0.6123453622227923,6.070711559709635,True,,,,,,,,,,,
WF-A,momac,BONLY,7.293176551011601,0.6885375188562719,4.9135674262725955,0.6268662606157603,5.715473420316193,True,,,,,,,,,,,
WF-A,momac,SONLY,7.391650905024738,0.7447816029186269,6.41206367527377,0.7050847228451975,6.732346031857699,True,,,,,,,,,,,
WF-B,,,,,,,,,WF-B pick (seed-pooled),0.14529696817228577,1.1344263466318965,-0.23558467015525197,1.2596590616674024,1.0583877868280174,1.0324540636870365,0.11396665727707167,0.16508511784766133,1.1936665633916492,-0.23558467015525197
WF-B,,,,,,,,,RULES v2 (B136),0.07617124945758658,1.0820582813703945,-0.12240793860208032,1.1262098537824323,1.040002456077372,1.0212022906880909,0.07026794653075163,0.07983337481604336,1.1185082795688426,-0.12240793860208021
WF-B,,,,,,,,,SPY,0.14130109527377144,0.8615657442323101,-0.33715953307393,0.8907051771707777,0.8577251101701436,0.8316196634335646,0.12024200100827742,0.1545044425578177,0.8820239235972316,-0.3371595330739301
