rule,hold,book_conc,null_mean,null_sd,z_med,share_abs_z_gt2,nz
R_GATE,5,1.047262378665602,,,,,0
R_GATE,21,0.9071295614293846,,,,,0
R_GATE,63,1.013124517062332,,,,,0
R_GATE,126,0.9426299695536119,,,,,0
R_TOP2N,5,1.025370097133681,1.1002792072811698,0.4472378885728827,1.772697635691203,0.5,6
R_TOP2N,21,0.9152330659247052,1.0297191310510676,0.21382610426554163,-0.5202171985078343,0.4444444444444444,18
R_TOP2N,63,1.0162961713772587,0.9852777781927158,0.17112689747539267,0.31574861602622184,0.5,18
R_TOP2N,126,0.9256073208502754,0.9351361794656379,0.20003785305877309,-0.5344922715326653,0.5,24
R_TOPN,5,1.1357991480573237,1.0592989877179948,0.4487100100093763,-0.14377293796160615,0.36363636363636365,11
R_TOPN,21,0.9465402532092271,1.0347054288885307,0.15845933697210351,-0.855220481168353,0.5555555555555556,18
R_TOPN,63,1.0264998463474522,0.9946752856926022,0.20931418839691088,0.5164252218572002,0.3888888888888889,18
R_TOPN,126,0.9575526504105137,0.9423631460164933,0.13749570041325943,-0.48149359849369666,0.5416666666666666,24
