panel,comparand,cost_bps,window,CAGR,Sharpe,MaxDD
U56,BASE,0,FULL,0.08811645471909801,1.2260772909325255,-0.12029812214763835
U56,BASE,0,H1,0.08491603147970972,1.2528619330093715,-0.07741677613432474
U56,BASE,0,H2,0.09132631897384114,1.2055790425000439,-0.12029812214763835
U56,BASE,0,IS,0.07798753978657458,1.1299587672429432,-0.07741677613432474
U56,BASE,0,OOS,0.09651574458861623,1.3012453352065745,-0.12029812214763824
U56,BASE,5,FULL,0.08715221722313515,1.2135659757881787,-0.12042377450517217
U56,BASE,5,H1,0.08400411386001605,1.2402588255913463,-0.07811670542684135
U56,BASE,5,H2,0.09030946312977206,1.1931133121440216,-0.12042377450517205
U56,BASE,5,IS,0.07704080354175291,1.1171174962276558,-0.07811670542684135
U56,BASE,5,OOS,0.09553693392108098,1.2889815018993998,-0.12042377450517261
U56,BASE,10,FULL,0.08618880526313721,1.201049296027575,-0.12054941914043871
U56,BASE,10,H1,0.08309293535955065,1.227649981048117,-0.07887196637752447
U56,BASE,10,H2,0.08929352427851023,1.1806425080695122,-0.12054941914043837
U56,BASE,10,IS,0.07609486935133747,1.1042710247053533,-0.07887196637752447
U56,BASE,10,OOS,0.09455896847608769,1.2767122316543114,-0.12054941914043871
U56,BASE,25,FULL,0.08330351576993,1.1634688271693323,-0.12092630671374727
U56,BASE,25,H1,0.08036382879535342,1.189790934573022,-0.08184511356050517
U56,BASE,25,H2,0.08625120167901201,1.1432012948488115,-0.12092630671374749
U56,BASE,25,IS,0.07326187255099925,1.065702404318384,-0.08184511356050517
U56,BASE,25,OOS,0.09163013641609163,1.2398733886368856,-0.12092630671374771
U56,BASE,50,FULL,0.07851114701170414,1.1007438563030478,-0.1215542982343577
U56,BASE,50,H1,0.07583004637534141,1.126595636968293,-0.08805456646688659
U56,BASE,50,H2,0.08119892928021288,1.0807131422584972,-0.12155429823435815
U56,BASE,50,IS,0.06855619119780254,1.001336027169409,-0.08805456646688659
U56,BASE,50,OOS,0.08676558828999292,1.1783814389985978,-0.1215542982343576
U56,SPY,0,FULL,0.15138775414341277,0.8851350676423309,-0.33717256724185307
U56,SPY,0,H1,0.15457292550855706,0.9570474592489958,-0.22062001264433273
U56,SPY,0,H2,0.14821136985130767,0.8263998129294376,-0.33717256724185296
U56,SPY,0,IS,0.14958796071721925,0.8986378759173647,-0.22062001264433273
U56,SPY,0,OOS,0.15286966214114894,0.8750760816641813,-0.33717256724185307
U56,SPY,5,FULL,0.15138775414341277,0.8851350676423309,-0.33717256724185307
U56,SPY,5,H1,0.15457292550855706,0.9570474592489958,-0.22062001264433273
U56,SPY,5,H2,0.14821136985130767,0.8263998129294376,-0.33717256724185296
U56,SPY,5,IS,0.14958796071721925,0.8986378759173647,-0.22062001264433273
U56,SPY,5,OOS,0.15286966214114894,0.8750760816641813,-0.33717256724185307
U56,SPY,10,FULL,0.15138775414341277,0.8851350676423309,-0.33717256724185307
U56,SPY,10,H1,0.15457292550855706,0.9570474592489958,-0.22062001264433273
U56,SPY,10,H2,0.14821136985130767,0.8263998129294376,-0.33717256724185296
U56,SPY,10,IS,0.14958796071721925,0.8986378759173647,-0.22062001264433273
U56,SPY,10,OOS,0.15286966214114894,0.8750760816641813,-0.33717256724185307
U56,SPY,25,FULL,0.15138775414341277,0.8851350676423309,-0.33717256724185307
U56,SPY,25,H1,0.15457292550855706,0.9570474592489958,-0.22062001264433273
U56,SPY,25,H2,0.14821136985130767,0.8263998129294376,-0.33717256724185296
U56,SPY,25,IS,0.14958796071721925,0.8986378759173647,-0.22062001264433273
U56,SPY,25,OOS,0.15286966214114894,0.8750760816641813,-0.33717256724185307
U56,SPY,50,FULL,0.15138775414341277,0.8851350676423309,-0.33717256724185307
U56,SPY,50,H1,0.15457292550855706,0.9570474592489958,-0.22062001264433273
U56,SPY,50,H2,0.14821136985130767,0.8263998129294376,-0.33717256724185296
U56,SPY,50,IS,0.14958796071721925,0.8986378759173647,-0.22062001264433273
U56,SPY,50,OOS,0.15286966214114894,0.8750760816641813,-0.33717256724185307
B136,BASE,0,FULL,0.08176271031199778,1.1250683892442652,-0.12211674782076942
B136,BASE,0,H1,0.091204540806755,1.2551623368937423,-0.07827326972688042
