panel,ladder,rung,N,H,gross,freq,turnover,CAGR,Sharpe,MaxDD,H1,H2,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,pass_4b_full,pass_4b_oos,pass_4a,L_H1,L_H2,L_OOS,L_DD,L_CAGR,O_S,O_DD,O_CAGR,A_H1,A_H2,A_DD
U56,N,5,5,126,0.75,W,3.1273037437962694,0.17827666701103606,0.9859644343185225,-0.25853596305636206,1.1972157872354316,0.826898186545906,0.1876467906540611,1.116389710650534,-0.24238280544701685,0.1706185380438232,0.9002767132439443,-0.2585359630563616,False,False,False,True,True,True,False,True,True,False,True,False,False,False
U56,N,8,8,126,0.75,W,3.0512772736591596,0.16835370055023535,1.0543570177313728,-0.21430270860985456,1.148026355406319,0.9848459742701502,0.1506137872324902,1.0244324713438449,-0.20214933127901147,0.18316254663029707,1.0797492270780045,-0.21430270860985456,False,False,False,True,True,True,False,True,True,False,True,False,False,False
U56,N,10,10,126,0.75,W,3.029138541150788,0.17124124583736267,1.1125375130716837,-0.20771056362661844,1.2474787205448488,1.003384921412402,0.16412630251975568,1.1406207251011073,-0.18868968177667844,0.17713100107447066,1.095423418561058,-0.20771056362661866,False,False,False,True,True,True,False,True,True,False,True,True,False,False
U56,N,12,12,126,0.75,W,3.040640012738739,0.17705025292752952,1.1691854832139659,-0.20169232886405797,1.2752665933754002,1.088420497455344,0.1627932771262759,1.1661166936671203,-0.16104868771188452,0.18891790746327697,1.1758369919110914,-0.2016923288640583,True,True,False,True,True,True,True,True,True,True,True,True,False,False
U56,N,15,15,126,0.75,W,3.019941232779304,0.16995945257623468,1.1621168149681405,-0.20974140506046712,1.251133850158724,1.106266399269583,0.14691876816665372,1.1330672758349964,-0.14478212452215866,0.18927385810504593,1.1905670568487305,-0.20974140506046712,False,False,False,True,True,True,False,True,True,False,True,True,False,False
U56,N,20,20,126,0.75,W,2.8973943077144937,0.15578668168705812,1.139700973748421,-0.19127568902302328,1.203742907417884,1.0970651527689368,0.13911411272723173,1.111898434102762,-0.1395225553008913,0.1696947758085483,1.1643314948267134,-0.19127568902302317,True,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,N,25,25,126,0.75,W,2.7345152794852705,0.1489102187692648,1.1285133069631514,-0.21158700153786847,1.2022287079791567,1.0819406530423474,0.13051171690682306,1.0952962137355164,-0.14867717484226062,0.16428064522662233,1.1579290814235303,-0.21158700153786847,False,False,False,True,True,True,False,True,True,False,True,False,False,False
U56,N,30,30,126,0.75,W,2.6493013715765503,0.14008113065953998,1.100757855994325,-0.22068513612656904,1.1595575204035486,1.0676142517992833,0.12162384147871874,1.0639173598439982,-0.15324876569526646,0.1555031765030752,1.1329425107219153,-0.22068513612656881,False,False,False,True,True,True,False,True,True,False,True,False,False,False
U56,N,40,40,126,0.75,W,2.313864592272747,0.13457634739318403,1.126761290242574,-0.229841888535963,1.2715954869397383,1.0254030641968146,0.12806187458574558,1.1761943091849962,-0.12581425090959486,0.13996738679597365,1.0983460997969055,-0.2298418885359632,False,False,False,True,True,True,False,True,True,False,True,True,False,False
U56,H,21,20,21,0.75,W,6.143455840069608,0.14353247083583587,1.1152259223790748,-0.20241626421443515,1.2101188265399188,1.0492324872471719,0.13107945727078163,1.1218454285224877,-0.11825948556173882,0.15388681224346845,1.1166795464756156,-0.20241626421443537,False,False,False,True,True,True,False,True,True,False,True,False,False,False
U56,H,63,20,63,0.75,W,3.8712935732522777,0.1494838140635475,1.1013999201094504,-0.25692120073193647,1.199843377192747,1.0395983536662594,0.13381177540736666,1.109453248961746,-0.12805466109697528,0.16254771801486534,1.1046265416960457,-0.25692120073193647,False,False,False,True,True,True,False,True,True,False,True,False,False,False
U56,H,126,20,126,0.75,W,2.8973943077144937,0.15578668168705812,1.139700973748421,-0.19127568902302328,1.203742907417884,1.0970651527689368,0.13911411272723173,1.111898434102762,-0.1395225553008913,0.1696947758085483,1.1643314948267134,-0.19127568902302317,True,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,H,252,20,252,0.75,W,2.0843462030801896,0.15883666876073566,1.164779855465909,-0.2184352664199286,1.2236115234046798,1.1266487165054269,0.14177137805549256,1.13150083399436,-0.16074254181225323,0.1730763293628057,1.193101873569091,-0.2184352664199284,False,False,False,True,True,True,False,True,True,False,True,False,False,False
U56,GROSS,0.3,20,126,0.3,W,1.2051727745821044,0.06176977027085084,1.1379126985991532,-0.07990333698484353,1.2021189307239875,1.0949660199988558,0.05531821153462757,1.110503991712609,-0.056833440148314485,0.06711038275279413,1.1622160035760587,-0.0799033369848432,False,False,False,True,True,True,True,False,True,True,False,False,False,True
U56,GROSS,0.35,20,126,0.35,W,1.3978689562982787,0.07215046274232884,1.1381505359724737,-0.09276262767838162,1.2023408746572048,1.0952346035533385,0.06459304021063916,1.1106996395637374,-0.06617692972612133,0.07841209628705603,1.1624886125240645,-0.0927626276783815,False,False,False,True,True,True,True,False,True,True,False,False,False,True
U56,GROSS,0.4,20,126,0.4,W,1.5888028639315743,0.08255153516569935,1.1383792178318644,-0.10549268657570532,1.2025532702334782,1.0954947988576893,0.0738801463629315,1.110885661172411,-0.07548248209319064,0.08974248049723443,1.1627525138809713,-0.10549268657570587,False,False,False,True,True,True,True,False,True,True,False,False,False,True
U56,GROSS,0.45,20,126,0.45,W,1.7781630791995084,0.09297140530058834,1.1385991658513437,-0.11809417065750327,1.2027565738245591,1.0957470175710884,0.0831782234579812,1.111062753224024,-0.08474962569960465,0.10109971762891212,1.163007939867685,-0.11809417065750294,False,False,False,True,True,True,True,False,True,True,False,False,False,True
U56,GROSS,0.5,20,126,0.5,W,1.966199295146568,0.10340839437440397,1.1388099079139746,-0.13056767626411248,1.2029503990654125,1.0959907190282323,0.09248592870649408,1.11123105526673,-0.09397779767464365,0.11248184168878539,1.1632539800301382,-0.1305676762641127,False,True,False,True,True,True,True,False,True,True,True,False,False,False
U56,GROSS,0.55,20,126,0.55,W,2.1532583962178538,0.11386068330886356,1.1390100939583327,-0.14291447375060684,1.203133869600626,1.0962241843796319,0.10180176980907607,1.1113894436354554,-0.10316664358683714,0.12388675263616333,1.1634891279133808,-0.14291447375060629,True,True,False,True,True,True,True,True,True,True,True,False,False,False
U56,GROSS,0.6,20,126,0.6,W,2.33961941589723,0.12432649358303216,1.1391994587010634,-0.15513470953029718,1.2033044079020236,1.096449025633342,0.11112397852913714,1.1115347327346472,-0.11231605957596946,0.13531265582630647,1.163715194417186,-0.15513470953029718,True,True,False,True,True,True,True,True,True,True,True,False,False,False
