claim_set,source,n_claims,n_N2_gain_priced,n_N1_level_only,n_N0_no_null,share_gain_priced,share_any_null,n_own_para_gain,share_own_para_gain
STRICT,ALL,1487,165,688,634,0.1109616677874916,0.5736381977135171,131,0.08809683927370544
STRICT,MEMO,604,76,322,206,0.12582781456953643,0.6589403973509934,24,0.039735099337748346
STRICT,CHANGELOG,279,24,73,182,0.08602150537634409,0.34767025089605735,73,0.2616487455197133
STRICT,LEADERBOARD,604,65,293,246,0.1076158940397351,0.5927152317880795,34,0.056291390728476824
WIDE,ALL,2750,301,1355,1094,0.10945454545454546,0.6021818181818182,164,0.05963636363636363
WIDE,MEMO,1522,186,822,514,0.12220762155059132,0.6622864651773982,47,0.03088042049934297
WIDE,CHANGELOG,295,28,73,194,0.09491525423728814,0.3423728813559322,76,0.2576271186440678
WIDE,LEADERBOARD,933,87,460,386,0.0932475884244373,0.5862808145766345,41,0.04394426580921758
