universe,book,conv,sleeve,dS_fall,dS_rise,dC_fall,dC_rise,dDD_rise
u56,top20,natural,S4,0.06140364510133223,0.20504903454043588,-0.05218760762311403,-0.04207574532513547,0.04982887129467295
u56,top20,natural,noTLT,-0.009930804486360856,0.3297748122173325,-0.05298549446089007,-0.028833831181270142,0.04752243862451022
u56,top20,natural,noGLD,0.018208630396793435,0.04600621026564089,-0.05768233619367269,-0.05748619497912211,0.03967919889222471
u56,top20,natural,noDBC,0.10810603254679774,0.2724226712625184,-0.05169945127067033,-0.04132767863068487,0.05835969573735922
u56,top20,natural,noUUP,0.03650238316611287,0.0466740403255006,-0.04518087668127024,-0.03850978912733738,0.03194109789664734
u56,top20,natural,TLTonly,0.005925583709935012,-0.4777505898496377,-0.04689346851351295,-0.08970485942515172,0.04210064726423235
u56,top20,g1.00,S4,0.04039973591105084,0.2164963656871628,-0.05382485644032964,-0.050387347568354945,0.08912073615483873
u56,top20,g1.00,noTLT,-0.00942704872834721,0.3903629133952533,-0.05155263403075949,-0.03210769071009678,0.09769105315183635
u56,top20,g1.00,noGLD,-0.00638146776954418,0.10305363556443914,-0.0593814483755144,-0.06493525506310016,0.07363000618761872
u56,top20,g1.00,noDBC,0.05778911043412793,0.24148726692261535,-0.05523172123288811,-0.05418481038287837,0.10382312396609594
u56,top20,g1.00,noUUP,0.03419265363568513,-0.031431662076825906,-0.04493912568975844,-0.04532212054255247,-0.017862551951874472
u56,top20,g1.00,TLTonly,0.029284024858504232,-0.5982688002655383,-0.0441969708245733,-0.11999926791988136,-0.04385189404274614
u56,ewall,natural,S4,0.06453260383143355,0.25483663150599156,-0.042998925891869266,-0.024446273546167685,0.07705032688077762
u56,ewall,natural,noTLT,-0.015039061613468352,0.40925329419857226,-0.04377743253844435,-0.011380786257425557,0.07802765773856257
u56,ewall,natural,noGLD,0.016702996971523332,0.06446957712087809,-0.048476418148235556,-0.03960926870149506,0.07850870930727971
u56,ewall,natural,noDBC,0.11633035494564714,0.34483327586819557,-0.042541112798139435,-0.023738277749147496,0.08706797524340737
u56,ewall,natural,noUUP,0.02207021727647418,0.06518346647427364,-0.03604278177402631,-0.021001880808792395,0.03505934486810902
u56,ewall,natural,TLTonly,-0.0431183380179343,-0.5467121141848608,-0.037856507991609334,-0.07147541438536842,0.05251671578880268
u56,ewall,g1.00,S4,0.06212822371725801,0.2530936528821305,-0.04139409960218687,-0.02478049595383247,0.09067432660448882
u56,ewall,g1.00,noTLT,-0.008741093474100126,0.4567856013487127,-0.04036597319957247,-0.007237109580739087,0.10215987365739132
u56,ewall,g1.00,noGLD,0.03674465886096767,0.11836138524620321,-0.04507991536477385,-0.040973291035826254,0.09931559375668708
u56,ewall,g1.00,noDBC,0.1010495723123237,0.28659709094878216,-0.04218059707116928,-0.028500363968398057,0.10376677060228334
u56,ewall,g1.00,noUUP,0.016064344361775174,-0.004261423248735019,-0.03563845003373767,-0.01931351671867909,-0.004626390851688256
u56,ewall,g1.00,TLTonly,0.06340835723681071,-0.6595179623789496,-0.03201057779068672,-0.09667940271344322,-0.03912790381190223
broad,top20,natural,S4,0.09228861387478116,0.22073374756959752,-0.057097729659107976,-0.03463866785640146,0.0840777593290657
broad,top20,natural,noTLT,0.02969656914772889,0.3452495468134519,-0.05790235462591786,-0.021464353129657665,0.0818059464593206
broad,top20,natural,noGLD,0.041577214584645805,0.06395161374751401,-0.06261806269445414,-0.049952532041508846,0.07826823098217528
broad,top20,natural,noDBC,0.13259946396792865,0.263658466116495,-0.056577570253330434,-0.03390193786778051,0.09244986153102464
broad,top20,natural,noUUP,0.10148583197478334,0.13014231732061865,-0.05007982874796335,-0.03101798270764866,0.05381242189891999
broad,top20,natural,TLTonly,0.09899394171704246,-0.3766466090670837,-0.0517387971601726,-0.08199901213253202,0.054940903970102206
broad,top20,g1.00,S4,0.08612867435361649,0.21047056384424534,-0.05425112252760589,-0.040448489158910306,0.11323735490052678
broad,top20,g1.00,noTLT,0.0420467985613886,0.3784906672302427,-0.05196843040240329,-0.02222571418727015,0.1206649789692038
broad,top20,g1.00,noGLD,0.0402434965323728,0.08859941206103206,-0.058816604151945784,-0.05627908077613242,0.10548437950266643
broad,top20,g1.00,noDBC,0.0992579130786082,0.20962703413688322,-0.05571353109476185,-0.04477739566436667,0.12643000963498008
broad,top20,g1.00,noUUP,0.09881720714167219,0.06784629228733718,-0.04651748356787544,-0.03371534359801909,0.016303706222060788
broad,top20,g1.00,TLTonly,0.09772622937498188,-0.523363623161538,-0.04660944904051645,-0.11487237183743715,-0.04023638141358199
broad,ewall,natural,S4,0.11162594380983903,0.32284128311647264,-0.04707098720688485,-0.01860162353862682,0.09281554199449704
broad,ewall,natural,noTLT,0.019481086620995125,0.4985075480784573,-0.04784440371619558,-0.005588061704481229,0.0913042992939016
broad,ewall,natural,noGLD,0.05558634323571776,0.10492564076793387,-0.05256261851573485,-0.03371116084227754,0.08771591268609735
broad,ewall,natural,noDBC,0.171529122412041,0.39517335057809544,-0.04657785313317131,-0.017943758101191865,0.10205494300989904
