panel,gross,m,excess_cut,excess_CAGR,excess_Sharpe,seed_sd_Sharpe,seed_sd_CAGR,placebo_4b,n
B136,0.75,1,-0.025441824849240097,0.0001224065583181888,0.002399194546372163,0.00614978976583456,0.0006900424325017703,8,8
B136,0.75,2,-0.041665469480899595,-0.000412437552640893,0.0033196176792285037,0.017390083876224368,0.001423491841223034,7,8
B136,0.75,3,-0.06752773955633609,0.0003969559091389907,0.011708447456510562,0.029931577677121873,0.002386126650352387,6,8
B136,0.75,5,-0.11181066165938514,0.000189592211795514,0.016788984688894892,0.024454714918497263,0.0018085962633800727,5,8
B136,0.75,8,-0.14180024122898144,-0.00021022590709390832,0.022343541619758156,0.040283730447168854,0.0042196010304860615,3,8
B136,1.0,1,-0.024353782489564768,-0.00023068335922657446,0.004459982338965718,0.021847563209204564,0.0017742054212410625,0,8
B136,1.0,2,-0.04360938394736957,0.0009493938157228154,0.013960576506898859,0.02842789485242822,0.0030586178520684974,0,8
B136,1.0,3,-0.06543925970749236,-0.0005592838116253163,0.0046554976572448226,0.027119801482636253,0.0032893962442350506,0,8
B136,1.0,5,-0.11248326487535343,-0.0038569458923809474,0.0015940561252612007,0.03262159975466888,0.003388266153005315,0,8
B136,1.0,8,-0.13390568296428695,-0.0015316619166771128,0.01641156614989092,0.0314947834689158,0.004444586556688415,0,8
U56,0.75,1,-0.07052095156906492,0.0006472561988473957,0.023153382198337624,0.03005674156632434,0.0023276425463668545,8,8
U56,0.75,2,-0.1032500497406384,-0.00024886110892391455,0.044263905931327896,0.034394822744868186,0.0023907871526101234,7,8
U56,0.75,3,-0.12673189497091397,-0.002346489752052594,0.023048818185800624,0.06208201968046411,0.005099705785460104,7,8
U56,0.75,5,-0.1394748724727815,-0.0028084676553214727,0.03186869000829384,0.05055134706558398,0.00529019347301483,6,8
U56,0.75,8,-0.15681779899861847,-0.0020460334195392393,0.06767111383843183,0.0430849110356724,0.0058066665383896664,6,8
U56,1.0,1,-0.06467869393508846,-0.00041871754282871154,0.0032671882776120764,0.023590181594727613,0.0024717635558403795,8,8
U56,1.0,2,-0.08022533587650005,0.0008397183695320054,0.060146864108280074,0.06626962751516075,0.004914554415909873,5,8
U56,1.0,3,-0.09793351782763904,-0.0009599245505223786,0.03521332436533364,0.04545787091779679,0.004260314810230231,4,8
U56,1.0,5,-0.10937573387797239,-0.0013235206402579802,0.08882212381356713,0.041719133972808665,0.0056563889836781355,0,8
U56,1.0,8,-0.1353250649915677,-0.002999528273981006,0.10840972413125494,0.06845135926427061,0.005762294011816532,0,8
