dial,n,sharpe4a,4a_NONE,4a_VOL,4a_SEMIVOL,4a_SQRTVOL,4a_GROSS
band,60,12,2,4,4,3,4
cadence,24,2,0,0,0,0,0
gross,30,0,0,0,0,0,0
n,46,1,0,0,0,0,0
quantile,42,0,0,0,0,0,0
volcap,42,0,0,0,0,0,0
