panel,arm,bps,val,dS,dC,rev,dS_small,dial
B136,EWall,0,0.55,0.0007047078024071673,-0.03115815348946671,False,True,g
B136,EWall,0,0.65,0.0003556687760206678,-0.015584601379598606,False,True,g
B136,EWall,0,0.85,-0.0003625195327816577,0.015589474619047916,False,True,g
B136,EWall,0,1.0,-0.0009196799366599784,0.038968986669712935,False,True,g
B136,EWall,10,0.55,-3.566551872702384e-05,-0.028580723721480572,False,True,g
B136,EWall,10,0.65,-1.2271405160468873e-05,-0.014284503402724136,False,True,g
B136,EWall,10,0.85,8.444482364478034e-07,0.014266751573676073,False,True,g
B136,EWall,10,1.0,-2.054563620168537e-05,0.03561999510940317,False,True,g
B136,TOP20,0,0.55,-0.001278213034579867,-0.0390543952117246,False,True,g
B136,TOP20,0,0.65,-0.0006368502141977928,-0.019519768036036167,False,True,g
B136,TOP20,0,0.85,0.0006323302617738946,0.0194919686260151,False,True,g
B136,TOP20,0,1.0,0.0015722979540533366,0.04864883076640569,False,True,g
B136,TOP20,10,0.55,-0.0016015714274225656,-0.034356889259196555,False,True,g
B136,TOP20,10,0.65,-0.0007831446536212816,-0.017136943138339022,False,True,g
B136,TOP20,10,0.85,0.0007453343606915741,0.017038853493080763,False,True,g
B136,TOP20,10,1.0,0.001791999967579616,0.04238007119305376,False,True,g
BSTK100,EWall,0,0.55,0.0014813756020863877,-0.03659958637652361,False,True,g
BSTK100,EWall,0,0.65,0.000754137853689052,-0.018288692355583835,False,True,g
BSTK100,EWall,0,0.85,-0.0007821864182906424,0.018253632485292437,False,True,g
BSTK100,EWall,0,1.0,-0.0020108507064124925,0.0455390451165556,False,True,g
BSTK100,EWall,10,0.55,0.0008010095884327662,-0.033823743455208,False,True,g
BSTK100,EWall,10,0.65,0.00041575190474740786,-0.016886081223480343,False,True,g
BSTK100,EWall,10,0.85,-0.0004477337454020791,0.01682193453304892,False,True,g
BSTK100,EWall,10,1.0,-0.0011832514198453215,0.04190580947513389,False,True,g
BSTK100,TOP20,0,0.55,-0.0002777873813464282,-0.041034409093723356,False,True,g
BSTK100,TOP20,0,0.65,-0.0001287113775199078,-0.02048812564656788,False,True,g
BSTK100,TOP20,0,0.85,0.00010750082592170251,0.020411316486304454,False,True,g
BSTK100,TOP20,0,1.0,0.00022690270032232895,0.05084205706996192,False,True,g
BSTK100,TOP20,10,0.55,-0.0005833399807114725,-0.0365485778803194,False,True,g
