Sharpe,id_err,mu,sbar,D,Gbar,G_sd,k_eff,cv,rhobar,D_pred,D_resid,beta,alpha,mu_beta,mu_spy,vol_ann,CAGR,MaxDD,panel,conv,window,etf_share,seed
0.7285302911315213,0.0,0.00032742526189019497,0.012098498100306738,0.3477496960949841,0.7500911400300903,0.00185177668833784,33.96816172387628,0.46770804790337694,0.425959225915659,0.4465553555711277,-0.09880565947614361,0.43772752662277953,5.3830844785731106e-05,0.00027359441710446387,0.0006250336121544381,0.11325701484309789,0.0790288835988664,-0.2643060686282318,MIX~s1.000~ETF36,GATED,FULL,1.0,-1
0.682852301843077,0.0,0.000296349743725691,0.011498832798383304,0.3589620851314811,0.7500815121226171,0.0017647585028837955,31.711687748795107,0.48940376316774603,0.4386535508234164,0.4605949225716917,-0.10163283744021062,0.420774524193998,3.8916623296095135e-05,0.0002574331204295959,0.0006118077631308933,0.10936499037537992,0.07109234823840493,-0.18272467620119948,MIX~s1.000~ETF36,GATED,IS,1.0,-1
0.7645799797944635,0.0,0.000353069630223526,0.01264316626555724,0.33617369198812297,0.7500990854290616,0.0019205848040733068,34.45151503056578,0.4609459229276462,0.42387341815924995,0.44414935827610524,-0.10797566628798227,0.45019513164675673,6.676884635413351e-05,0.0002863007838693925,0.000635948200555036,0.11636918199224452,0.08562260944915212,-0.26430356381239395,MIX~s1.000~ETF36,GATED,OOS,1.0,-1
0.8300577199440661,0.0,0.0004382235102626403,0.013121426053782633,0.4079559077500833,0.7501165497620284,0.0021906422065675877,35.55087004565779,0.47976730123779654,0.37642042834465145,0.3979983260388258,0.00995758171125749,0.7070040071599278,-3.6777581401916293e-06,0.00044190126840283194,0.0006250336121544381,0.13304174147507106,0.10687096863200196,-0.28823637669510893,MIX~s1.000~ETF36,UNGATED,FULL,1.0,-1
0.7688538067672133,1.1102230246251565e-16,0.0004023411882994517,0.012737065446982292,0.42536644790057004,0.750085137288552,0.0021142544789246416,34.27865772674512,0.47055241937968784,0.4027277508741103,0.4240097982961695,0.0013566496044005172,0.7306055986335968,-4.464898873147641e-05,0.0004469901770309281,0.0006118077631308933,0.13187159712166163,0.09710011821919728,-0.1612945546773451,MIX~s1.000~ETF36,UNGATED,IS,1.0,-1
0.8798202601596359,0.0,0.00046783301511749533,0.013474942560150967,0.3924104030259545,0.7501424728024342,0.0022514000415916526,35.97610960525243,0.4931937411302173,0.37244745496891,0.39413402631432914,-0.001723623288374665,0.6896350594052214,2.9260840049079426e-05,0.0004385721750684159,0.000635948200555036,0.13399773243255161,0.11499922512914451,-0.28822759452795566,MIX~s1.000~ETF36,UNGATED,OOS,1.0,-1
0.9606446745630051,0.0,0.0006163929827777633,0.017320658063257468,0.3458291341085916,0.741050607180563,0.0822774662255183,34.69029699169282,0.24289225824295219,0.38170702151261293,0.4005817573658654,-0.05475262325727376,0.7880851946778842,0.00012381324686281173,0.0004925797359149515,0.0006250336121544381,0.16169457425104247,0.1527074907779833,-0.35868480557078175,MIX~s0.000~0,GATED,FULL,0.0,0
0.9861005923874643,0.0,0.000620038663176269,0.016198769253617445,0.37969213896640747,0.7371058126150577,0.09822885693760335,33.757226098952096,0.3098299477758502,0.40666486118782674,0.42592865093668053,-0.046236511970273064,0.810317545675115,0.00012428009813106127,0.0004957585650452077,0.0006118077631308933,0.15845213391680554,0.15446675604142168,-0.15201124074245997,MIX~s0.000~0,GATED,IS,0.0,0
0.9410207386724457,1.1102230246251565e-16,0.0006134135012985818,0.018028237971952504,0.3294596618645478,0.7443060359194485,0.06610587411703468,34.97441477992582,0.23717805582363286,0.37326537921438463,0.3921932325372507,-0.06273357067270291,0.7715147714536605,0.00012277007069099648,0.0004906434306075853,0.000635948200555036,0.1642686457105272,0.15127876384925698,-0.35734450137914797,MIX~s0.000~0,GATED,OOS,0.0,0
1.106104060536581,0.0,0.0008026838062028232,0.017880705550080766,0.4150766158255703,0.7502300808759949,0.0029267471580876657,35.49528735394692,0.2434641380838659,0.38096790796521546,0.39944148955954106,0.015635126266029253,0.9934261170686747,0.00018175909184283182,0.0006209247143599914,0.0006250336121544381,0.18287277515732595,0.20376310440949252,-0.36235577168315514,MIX~s0.000~0,UNGATED,FULL,0.0,0
1.093976642760471,2.220446049250313e-16,0.0007856083588408235,0.01704992859346258,0.4470452698912628,0.750229742297891,0.0028367656401327938,34.729752521073436,0.3182411483125861,0.4128889088290478,0.4315061504095658,0.015539119481697006,1.028291189702345,0.00015649182622182666,0.0006291165326189969,0.0006118077631308933,0.1809666666450339,0.19905869879094684,-0.23716040530332405,MIX~s0.000~0,UNGATED,IS,0.0,0
1.1160149765926501,0.0,0.0008167752513614984,0.018511292721846494,0.3939055848733412,0.7502303602864613,0.0029989714313717595,35.84766427145347,0.2504350980091295,0.36753193754384184,0.3862816955141266,0.007623889359214597,0.9677754217109824,0.00020132021338300804,0.0006154550379784904,0.000635948200555036,0.1844306462369505,0.20765929458894128,-0.36235565625778265,MIX~s0.000~0,UNGATED,OOS,0.0,0
1.1275973027894397,0.0,0.0007914892623156684,0.01873068101133906,0.3538957957817752,0.7448727593205302,0.06354111842288077,34.39154199718405,0.23182524029695364,0.3481479288482267,0.36812041275970003,-0.01422461697792482,0.8585790360740261,0.0002548485060782442,0.0005366407562374241,0.0006250336121544381,0.17688521745319702,0.20158259978546655,-0.32893547554260605,MIX~s0.000~1,GATED,FULL,0.0,1
1.1663123149222527,0.0,0.0008516591453655814,0.018338981426918803,0.39953241973644754,0.7435764524500743,0.07079710063858191,32.43556332322613,0.3100845220187296,0.37601469664138054,0.3971021366146455,0.002430283121802046,0.9347192960306682,0.000279790623705775,0.0005718685216598064,0.0006118077631308933,0.1840142660642601,0.2184280943508845,-0.2851952328702132,MIX~s0.000~1,GATED,IS,0.0,1
1.0946577140153755,0.0,0.0007419917665907115,0.01892875378631889,0.3231454051605958,0.7459425323012067,0.0568377392557778,35.06567051985048,0.2206284297934674,0.34182755948613097,0.3615109200780036,-0.038365514917407806,0.8026176937710705,0.00023156848850336626,0.0005104232780873452,0.000635948200555036,0.17081314349394242,0.18789618944262698,-0.3285210715927124,MIX~s0.000~1,GATED,OOS,0.0,1
1.1298863066214457,0.0,0.0008617964776504416,0.019235551283992174,0.39621526571863097,0.7502730553889779,0.0030085441925297154,35.50452101106373,0.23875801216701742,0.350398984483092,0.3697382616833278,0.026477004035303175,1.0438750897001285,0.00020933945969713215,0.0006524570179533095,0.0006250336121544381,0.19220757973188918,0.21968894144075635,-0.33476957514129835,MIX~s0.000~1,UNGATED,FULL,0.0,1
1.1396341376276604,0.0,0.000910317237429943,0.019094972698770973,0.440978169233688,0.7502801003441882,0.0031094396958663987,34.32052947833367,0.32454492673561247,0.3851525276424961,0.4049543489973783,0.03602382023630968,1.1300690900673884,0.00021893219525245008,0.0006913850421774929,0.0006118077631308933,0.20129262213036203,0.23253663368991528,-0.23307224643438695,MIX~s0.000~1,UNGATED,IS,0.0,1
1.123183532533043,2.220446049250313e-16,0.000821754193979844,0.019344849067964475,0.3604559951348173,0.7502672415628648,0.002922645639361766,35.93905451159168,0.22686793204139633,0.3412215527416236,0.36049543635294395,-3.9441218126656796e-05,0.9804718249292531,0.0001982249012211732,0.0006235292927586708,0.000635948200555036,0.18437063123237032,0.20918719848916822,-0.33477184475663624,MIX~s0.000~1,UNGATED,OOS,0.0,1
1.320343269810017,2.220446049250313e-16,0.0009223491985121038,0.019007722143556147,0.34037482299847055,0.7453963236381499,0.060509439946253914,35.12032427793513,0.2845274782111526,0.3538748884620258,0.37376174192015044,-0.03338691892167989,0.8173918606580657,0.0004114518112993559,0.0005108973872127479,0.0006250336121544381,0.1760390675210505,0.24220746909493585,-0.26069036367377996,MIX~s0.000~2,GATED,FULL,0.0,2
1.4240399103850754,0.0,0.0010668455891306183,0.018591014470927078,0.40921653406389613,0.7484759172704968,0.03752477040011589,34.227591437266675,0.3463979614659923,0.3602720003658006,0.381205110828321,0.02801142323557515,0.9108316898325398,0.0005095916903854404,0.0005572538987451778,0.0006118077631308933,0.18879041696817142,0.28538667128869366,-0.18161554885272668,MIX~s0.000~2,GATED,IS,0.0,2
