leg,window,population,rung_set,decomposition,target,n,n_fam,spearman,iid_p,cl_lo,cl_hi,cl_excl0,cost_bps
cost,OOSLOC,ALL39,R11,RAW,cost_surv(R11),39,14,0.4636545863571296,0.003,0.03261352396964465,0.7656671592886787,True,
cost,OOSLOC,ALL39,R11,MECHPRED,D_star/turn_yr,39,14,0.48708029482201975,0.0018,0.04146378023319064,0.8001202193394882,True,
cost,OOSLOC,ALL39,R11,DRAGFREE,D_star (bps/yr),39,14,-0.11370650637714376,0.4914,-0.38754103052961264,0.23084971081040428,False,
cost,OOSLOC,ALL39,R11,DIVTURN,cost_surv(R11) x turn_yr,29,13,-0.5739623149829857,0.0014,-0.7575899273170517,-0.01439273849235385,True,
cost,OOSLOC,ALL39,R11,PARTIAL,cost_surv(R11) | D_star,39,14,0.8091991848030549,,0.5403902250795144,0.9211728446163907,True,
cost,OOSLOC,ALL39,FINE,RAW,cost_surv(FINE),39,14,0.48273300463586827,0.00175,0.02879895967801716,0.8012361265586729,True,
cost,OOSLOC,ALL39,FINE,MECHPRED,D_star/turn_yr,39,14,0.48708029482201975,0.0018,0.04146378023319064,0.8001202193394882,True,
cost,OOSLOC,ALL39,FINE,DRAGFREE,D_star (bps/yr),39,14,-0.11370650637714376,0.4914,-0.38754103052961264,0.23084971081040428,False,
cost,OOSLOC,ALL39,FINE,DIVTURN,cost_surv(FINE) x turn_yr,29,13,-0.5251231527093596,0.00365,-0.7423192969492846,0.018062017947586235,False,
cost,OOSLOC,ALL39,FINE,PARTIAL,cost_surv(FINE) | D_star,39,14,0.7946742290987496,,0.536187820442382,0.9183482231299549,True,
cost,OOSLOC,ALL39,COARSE,RAW,cost_surv(COARSE),39,14,0.44041937936088316,0.0052,0.05470680442523725,0.7064929275847595,True,
cost,OOSLOC,ALL39,COARSE,MECHPRED,D_star/turn_yr,39,14,0.48708029482201975,0.0018,0.04146378023319064,0.8001202193394882,True,
cost,OOSLOC,ALL39,COARSE,DRAGFREE,D_star (bps/yr),39,14,-0.11370650637714376,0.4914,-0.38754103052961264,0.23084971081040428,False,
cost,OOSLOC,ALL39,COARSE,DIVTURN,cost_surv(COARSE) x turn_yr,29,13,-0.33890237161934195,0.07215,-0.7228314544557142,0.08318334373336478,False,
cost,OOSLOC,ALL39,COARSE,PARTIAL,cost_surv(COARSE) | D_star,39,14,0.8294232696354062,,0.5071260681967874,0.9248437681224555,True,
cost,OOSLOC,ALL39,CONT,RAW,cost_surv(CONT),39,14,0.47850637513110406,0.00215,0.013404160637069812,0.8108709731647834,True,
cost,OOSLOC,ALL39,CONT,MECHPRED,D_star/turn_yr,39,14,0.48708029482201975,0.0018,0.04146378023319064,0.8001202193394882,True,
cost,OOSLOC,ALL39,CONT,DRAGFREE,D_star (bps/yr),39,14,-0.11370650637714376,0.4914,-0.38754103052961264,0.23084971081040428,False,
cost,OOSLOC,ALL39,CONT,DIVTURN,cost_surv(CONT) x turn_yr,29,13,-0.548768472906404,0.00255,-0.748891483369637,-0.03124721372848679,True,
cost,OOSLOC,ALL39,CONT,PARTIAL,cost_surv(CONT) | D_star,39,14,0.7876865017621099,,0.5092722830842553,0.9187912733919693,True,
cost,OOSLOC,PASS0,R11,RAW,cost_surv(R11),29,13,0.5655316808558719,0.00175,-0.0030180398635777095,0.8763108265946723,False,
cost,OOSLOC,PASS0,R11,MECHPRED,D_star/turn_yr,29,13,0.6054187192118227,0.0005,0.025580942516153442,0.890220695566833,True,
cost,OOSLOC,PASS0,R11,DRAGFREE,D_star (bps/yr),29,13,-0.46798029556650245,0.0107,-0.7150776544009642,0.1524272447970003,False,
cost,OOSLOC,PASS0,R11,DIVTURN,cost_surv(R11) x turn_yr,29,13,-0.5739623149829857,0.0014,-0.7575899273170517,-0.01439273849235385,True,
cost,OOSLOC,PASS0,R11,PARTIAL,cost_surv(R11) | D_star,29,13,0.8853616204156918,,0.6928981759838223,0.9650591534422066,True,
cost,OOSLOC,PASS0,FINE,RAW,cost_surv(FINE),29,13,0.5993100475635357,0.00055,-0.028600083828559632,0.9083239479790123,False,
cost,OOSLOC,PASS0,FINE,MECHPRED,D_star/turn_yr,29,13,0.6054187192118227,0.0005,0.025580942516153442,0.890220695566833,True,
cost,OOSLOC,PASS0,FINE,DRAGFREE,D_star (bps/yr),29,13,-0.46798029556650245,0.0107,-0.7150776544009642,0.1524272447970003,False,
cost,OOSLOC,PASS0,FINE,DIVTURN,cost_surv(FINE) x turn_yr,29,13,-0.5251231527093596,0.00365,-0.7423192969492846,0.018062017947586235,False,
cost,OOSLOC,PASS0,FINE,PARTIAL,cost_surv(FINE) | D_star,29,13,0.8653290976501912,,0.6763557943320647,0.9629223485300485,True,
cost,OOSLOC,PASS0,COARSE,RAW,cost_surv(COARSE),29,13,0.5322383680561907,0.0036,0.06813470068350076,0.8283332211609947,True,
cost,OOSLOC,PASS0,COARSE,MECHPRED,D_star/turn_yr,29,13,0.6054187192118227,0.0005,0.025580942516153442,0.890220695566833,True,
cost,OOSLOC,PASS0,COARSE,DRAGFREE,D_star (bps/yr),29,13,-0.46798029556650245,0.0107,-0.7150776544009642,0.1524272447970003,False,
cost,OOSLOC,PASS0,COARSE,DIVTURN,cost_surv(COARSE) x turn_yr,29,13,-0.33890237161934195,0.07215,-0.7228314544557142,0.08318334373336478,False,
cost,OOSLOC,PASS0,COARSE,PARTIAL,cost_surv(COARSE) | D_star,29,13,0.9135789823976699,,0.6766034470970372,0.9624545967011852,True,
cost,OOSLOC,PASS0,CONT,RAW,cost_surv(CONT),29,13,0.5916256157635468,0.00065,-0.061574419169575366,0.9144644099627608,False,
cost,OOSLOC,PASS0,CONT,MECHPRED,D_star/turn_yr,29,13,0.6054187192118227,0.0005,0.025580942516153442,0.890220695566833,True,
cost,OOSLOC,PASS0,CONT,DRAGFREE,D_star (bps/yr),29,13,-0.46798029556650245,0.0107,-0.7150776544009642,0.1524272447970003,False,
cost,OOSLOC,PASS0,CONT,DIVTURN,cost_surv(CONT) x turn_yr,29,13,-0.548768472906404,0.00255,-0.748891483369637,-0.03124721372848679,True,
cost,OOSLOC,PASS0,CONT,PARTIAL,cost_surv(CONT) | D_star,29,13,0.8552491474366739,,0.6344764713270663,0.964024414753683,True,
cost,FIXED,ALL39,R11,RAW,cost_surv(R11),39,14,0.5018192330853196,0.001,0.10366138151160442,0.7587737714434043,True,
cost,FIXED,ALL39,R11,MECHPRED,D_star/turn_yr,39,14,0.5138227586198758,0.00055,0.11741541582414962,0.7703199770817987,True,
cost,FIXED,ALL39,R11,DRAGFREE,D_star (bps/yr),39,14,-0.04695241735501448,0.7744,-0.23705293672430142,0.2610962443897642,False,
cost,FIXED,ALL39,R11,DIVTURN,cost_surv(R11) x turn_yr,29,13,-0.40344827586206894,0.0316,-0.7067941014392201,0.1457199492671877,False,
cost,FIXED,ALL39,R11,PARTIAL,cost_surv(R11) | D_star,39,14,0.8207518817366563,,0.5209057618464689,0.9325322320744224,True,
cost,FIXED,ALL39,FINE,RAW,cost_surv(FINE),39,14,0.5145185087472444,0.00055,0.10948199646880259,0.7697580788459087,True,
cost,FIXED,ALL39,FINE,MECHPRED,D_star/turn_yr,39,14,0.5138227586198758,0.00055,0.11741541582414962,0.7703199770817987,True,
cost,FIXED,ALL39,FINE,DRAGFREE,D_star (bps/yr),39,14,-0.04695241735501448,0.7744,-0.23705293672430142,0.2610962443897642,False,
cost,FIXED,ALL39,FINE,DIVTURN,cost_surv(FINE) x turn_yr,29,13,-0.3901477832512315,0.03705,-0.7048613554744245,0.15237279290183156,False,
cost,FIXED,ALL39,FINE,PARTIAL,cost_surv(FINE) | D_star,39,14,0.8222764925053457,,0.5195940622141897,0.9317862974547714,True,
