panel,dial,rung,CHOOSER,how,n_IS_pass,n_IS_flip,pick,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,CAGR,Sharpe,MaxDD,H1,H2,pass4a,pass4b,FLIP1,thin,base_OOS_Sharpe,base_OOS_CAGR,base_OOS_MaxDD,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,d_base,d_spy
B136,band,0.0,PLAIN,argmax IS Sharpe,0,0,0.09,0.08467097557785142,1.1143821426932987,-0.14956305075279175,0.08760162716365372,1.139391000644279,-0.14956305075279186,1.2999768312946136,0.9849329297267355,0,0,0,13.490815403804548,1.1503932124286342,0.08211485095926929,-0.1214852144781885,0.8820239235972316,0.1545044425578177,-0.3371595330739301,-0.03601106973533552,0.23235821909606713
B136,band,0.0,ROBUST,argmax IS Sharpe among non-flip non-thin,0,0,0.09,0.08467097557785142,1.1143821426932987,-0.14956305075279175,0.08760162716365372,1.139391000644279,-0.14956305075279186,1.2999768312946136,0.9849329297267355,0,0,0,13.490815403804548,1.1503932124286342,0.08211485095926929,-0.1214852144781885,0.8820239235972316,0.1545044425578177,-0.3371595330739301,-0.03601106973533552,0.23235821909606713
B136,band,0.0,WINDOW,ABSTAIN to RULES v2 (no IS-4b point),0,0,,0.08211485095926929,1.1503932124286342,-0.1214852144781885,,,,,,0,0,0,,1.1503932124286342,0.08211485095926929,-0.1214852144781885,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.0,0.26836928883140265
B136,band,2.5,PLAIN,argmax IS Sharpe,0,0,0.09,0.0843325829172965,1.1102174293992384,-0.1495971882881063,0.08728492539043597,1.1355455004326456,-0.14959718828810653,1.2964979608739653,0.9807361657274621,0,0,0,12.667258249609857,1.1429483763937474,0.08154447136124232,-0.12155923606659669,0.8820239235972316,0.1545044425578177,-0.3371595330739301,-0.03273094699450896,0.2281935058020068
B136,band,2.5,ROBUST,argmax IS Sharpe among non-flip non-thin,0,0,0.09,0.0843325829172965,1.1102174293992384,-0.1495971882881063,0.08728492539043597,1.1355455004326456,-0.14959718828810653,1.2964979608739653,0.9807361657274621,0,0,0,12.667258249609857,1.1429483763937474,0.08154447136124232,-0.12155923606659669,0.8820239235972316,0.1545044425578177,-0.3371595330739301,-0.03273094699450896,0.2281935058020068
B136,band,2.5,WINDOW,ABSTAIN to RULES v2 (no IS-4b point),0,0,,0.08154447136124232,1.1429483763937474,-0.12155923606659669,,,,,,0,0,0,,1.1429483763937474,0.08154447136124232,-0.12155923606659669,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.0,0.26092445279651577
B136,band,5.0,PLAIN,argmax IS Sharpe,0,0,0.09,0.0839942919496901,1.106052355363867,-0.14963132505397914,0.0869683124897056,1.1316996592170547,-0.14963132505397925,1.2930187445957657,0.9765391046015822,0,0,0,12.472291624874446,1.135501953936341,0.08097438397979895,-0.12163325526829605,0.8820239235972316,0.1545044425578177,-0.3371595330739301,-0.029449598572473867,0.22402843176663545
B136,band,5.0,ROBUST,argmax IS Sharpe among non-flip non-thin,0,0,0.09,0.0839942919496901,1.106052355363867,-0.14963132505397914,0.0869683124897056,1.1316996592170547,-0.14963132505397925,1.2930187445957657,0.9765391046015822,0,0,0,12.472291624874446,1.135501953936341,0.08097438397979895,-0.12163325526829605,0.8820239235972316,0.1545044425578177,-0.3371595330739301,-0.029449598572473867,0.22402843176663545
B136,band,5.0,WINDOW,ABSTAIN to RULES v2 (no IS-4b point),0,0,,0.08097438397979895,1.135501953936341,-0.12163325526829605,,,,,,0,0,0,,1.135501953936341,0.08097438397979895,-0.12163325526829605,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.0,0.2534780303391093
B136,band,7.5,PLAIN,argmax IS Sharpe,0,0,0.09,0.08365610264542855,1.1018869275971803,-0.14966546105041645,0.08665178843732302,1.12785348245789,-0.1496654610504169,1.2895391863140324,0.9723417534976122,0,0,0,12.843990903590308,1.1280539749084415,0.08040458866940225,-0.12170727208330478,0.8820239235972316,0.1545044425578177,-0.3371595330739301,-0.026167047311261182,0.21986300399994874
B136,band,7.5,ROBUST,argmax IS Sharpe among non-flip non-thin,0,0,0.09,0.08365610264542855,1.1018869275971803,-0.14966546105041645,0.08665178843732302,1.12785348245789,-0.1496654610504169,1.2895391863140324,0.9723417534976122,0,0,0,12.843990903590308,1.1280539749084415,0.08040458866940225,-0.12170727208330478,0.8820239235972316,0.1545044425578177,-0.3371595330739301,-0.026167047311261182,0.21986300399994874
B136,band,7.5,WINDOW,ABSTAIN to RULES v2 (no IS-4b point),0,0,,0.08040458866940225,1.1280539749084415,-0.12170727208330478,,,,,,0,0,0,,1.1280539749084415,0.08040458866940225,-0.12170727208330478,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.0,0.24603005131120992
B136,band,10.0,PLAIN,argmax IS Sharpe,0,0,0.09,0.08331801497492242,1.097721153109627,-0.14969959627742302,0.08633535320916041,1.1240069756161217,-0.14969959627742302,1.2860592898834748,0.9681441195642116,0,0,0,13.22231299440528,1.1206044691812702,0.07983508528458483,-0.12178128651163966,0.8820239235972316,0.1545044425578177,-0.3371595330739301,-0.02288331607164329,0.21569722951239534
B136,band,10.0,ROBUST,argmax IS Sharpe among non-flip non-thin,0,0,0.09,0.08331801497492242,1.097721153109627,-0.14969959627742302,0.08633535320916041,1.1240069756161217,-0.14969959627742302,1.2860592898834748,0.9681441195642116,0,0,0,13.22231299440528,1.1206044691812702,0.07983508528458483,-0.12178128651163966,0.8820239235972316,0.1545044425578177,-0.3371595330739301,-0.02288331607164329,0.21569722951239534
B136,band,10.0,WINDOW,ABSTAIN to RULES v2 (no IS-4b point),0,0,,0.07983508528458483,1.1206044691812702,-0.12178128651163966,,,,,,0,0,0,,1.1206044691812702,0.07983508528458483,-0.12178128651163966,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.0,0.23858054558403863
