panel,q,floor,n,survive,n_survive
B136,0.5,0.20274793067541605,11680,0.5900684931506849,6892
B136,0.75,0.3090999569031611,11680,0.4267123287671233,4984
B136,0.9,0.5077961533277388,11680,0.15633561643835617,1826
B136,0.95,0.6323438109895173,11680,0.07945205479452055,928
B136,0.99,0.8532920437292354,11680,0.021746575342465754,254
U56,0.5,0.2888237954427705,22533,0.4915013535703191,11075
U56,0.75,0.43094638363927484,22533,0.1856388408112546,4183
U56,0.9,0.5872604841387438,22533,0.07708693915590467,1737
U56,0.95,0.6685005339987283,22533,0.04424621666000976,997
U56,0.99,0.9076049270875104,22533,0.007056317401144987,159
