panel,dial,rung,points,n_4a,n_4b,best_m_min,bind_at_best,best_Sharpe
B136,band,0.0,13,0,0,-0.017865115809812024,CAGR,1.151709855109903
B136,band,2.5,13,0,0,-0.018143151927857468,CAGR,1.1434181684013003
B136,band,5.0,13,0,0,-0.01842111953412222,CAGR,1.1355951584287227
B136,band,7.5,13,0,0,-0.018699018644953422,CAGR,1.1318972889382055
B136,band,10.0,13,0,0,-0.018976849276696447,CAGR,1.128264555679354
B136,band,15.0,13,0,0,-0.019532305168267913,CAGR,1.1209982629633577
B136,band,20.0,13,0,0,-0.0200874873395092,CAGR,1.1137308992654744
B136,band,25.0,13,0,0,-0.020642395921033826,CAGR,1.106462501328114
B136,band,40.0,13,0,0,-0.022305481432523686,CAGR,1.0846514695436307
B136,gross,0.0,15,0,1,0.003669697062170088,CAGR,1.1362340695780122
B136,gross,2.5,15,0,1,0.002927420471233691,CAGR,1.1290881026506254
B136,gross,5.0,15,0,1,0.0021856256634986276,CAGR,1.1219406717501046
B136,gross,7.5,15,0,1,0.0014443123353169024,CAGR,1.114836907214143
B136,gross,10.0,15,0,1,0.0007034801832277032,CAGR,1.1078070907834154
B136,gross,15.0,15,0,0,-0.0007767418055911052,CAGR,1.0938249166520233
B136,gross,20.0,15,0,0,-0.0022550427269377032,CAGR,1.0798791425530292
B136,gross,25.0,15,0,0,-0.0037314250018234824,CAGR,1.0659460989042122
B136,gross,40.0,15,0,0,-0.008149084113429336,CAGR,1.0241439896415516
B136,n,0.0,19,0,0,-0.10387204463298336,DD,1.0749706841797688
B136,n,2.5,19,0,0,-0.12966329763924744,H2,1.036802641889718
B136,n,5.0,19,0,0,-0.17668764362500275,DD,0.9986032138642738
B136,n,7.5,19,0,0,-0.17752419005221728,DD,0.960375435748923
B136,n,10.0,19,0,0,-0.1809809314983888,H2,0.9221223504012053
B136,n,15.0,19,0,0,-0.28514619946074493,H2,0.8455524582298135
B136,n,20.0,19,0,0,-0.37564288770743737,H2,0.7701836227177808
B136,n,25.0,19,0,0,-0.421592676072296,H2,0.7095284120515697
B136,n,40.0,19,0,0,-0.5885956281759871,DD,0.5381614348618046
SMALL439,band,0.0,13,2,0,-0.21523130904630616,OOS,0.6751526555658095
SMALL439,band,2.5,13,2,0,-0.22123204594286516,OOS,0.6693356339103762
SMALL439,band,5.0,13,2,0,-0.22723317471821025,OOS,0.6635183829520143
SMALL439,band,7.5,13,2,0,-0.2332346833787513,OOS,0.6577009137251943
SMALL439,band,10.0,13,2,0,-0.2392365599289591,OOS,0.6518832372644878
SMALL439,band,15.0,13,2,0,-0.25124136870727154,OOS,0.6407134076413641
SMALL439,band,20.0,13,2,0,-0.263247505054657,OOS,0.6295569909445095
SMALL439,band,25.0,13,2,0,-0.2752548729492539,OOS,0.6183999933611429
SMALL439,band,40.0,13,5,0,-0.31128340542774613,OOS,0.5849262994593301
SMALL439,gross,0.0,15,0,0,-0.28015340376145403,H1,0.6116081229437712
SMALL439,gross,2.5,15,0,0,-0.29043800604162096,H1,0.6014611661743533
SMALL439,gross,5.0,15,0,0,-0.3007224242423474,H1,0.5913132171056632
SMALL439,gross,7.5,15,0,0,-0.31100660216507925,H1,0.5811643303314057
SMALL439,gross,10.0,15,0,0,-0.3212904836367192,H1,0.5710351391098027
SMALL439,gross,15.0,15,0,0,-0.3418571326707215,H1,0.5509155749529094
SMALL439,gross,20.0,15,0,0,-0.36242192252637606,H1,0.5308450135497893
SMALL439,gross,25.0,15,0,0,-0.3829844048900275,H1,0.5107757322180285
SMALL439,gross,40.0,15,0,0,-0.44465353247021056,H1,0.4505585095502063
SMALL439,n,0.0,19,0,0,-0.30281204465608325,H2,0.7600258338492458
SMALL439,n,2.5,19,0,0,-0.35632787612736894,H2,0.7042647192592764
SMALL439,n,5.0,19,0,0,-0.40986908702342156,H2,0.6484765610687855
SMALL439,n,7.5,19,0,0,-0.4634263943756735,H2,0.5941482619390155
SMALL439,n,10.0,19,0,0,-0.5153845481867676,H2,0.5554617270748518
SMALL439,n,15.0,19,0,0,-0.6176635257861756,H2,0.4819642988725446
SMALL439,n,20.0,19,0,0,-0.7096464282848536,H2,0.4084856980684182
SMALL439,n,25.0,19,0,0,-0.7724763449893924,H2,0.355423443579554
SMALL439,n,40.0,19,0,0,-0.7975665376960206,DD,0.19799946622340572
U56,band,0.0,13,0,0,-0.01661449452738052,CAGR,1.2345372767685492
U56,band,2.5,13,0,0,-0.01688963694916802,CAGR,1.228211849091826
U56,band,5.0,13,0,0,-0.01716471275774746,CAGR,1.2218850210558592
U56,band,7.5,13,0,0,-0.017439721968634428,CAGR,1.215556815064212
U56,band,10.0,13,0,0,-0.01771466459734096,CAGR,1.2092272535344055
U56,band,15.0,13,0,0,-0.018264350170242874,CAGR,1.1965641535977922
U56,band,20.0,13,0,0,-0.018813769600483102,CAGR,1.1838959008502086
U56,band,25.0,13,0,0,-0.0193629230120327,CAGR,1.1712226750936956
U56,band,40.0,13,0,0,-0.02100878837342869,CAGR,1.1442660749569538
U56,gross,0.0,15,0,3,0.012360713246275287,CAGR,1.235061644605479
U56,gross,2.5,15,0,2,0.011697862039067738,CAGR,1.2286000456218484
U56,gross,5.0,15,0,2,0.011035390429178657,CAGR,1.222136990529491
U56,gross,7.5,15,0,2,0.010373298206461476,CAGR,1.2156750746487814
U56,gross,10.0,15,0,2,0.009711585160881095,CAGR,1.20926851139608
U56,gross,15.0,15,0,2,0.008389295761556323,CAGR,1.1965641535977922
U56,gross,20.0,15,0,2,0.0070685205531772904,CAGR,1.1839126352802438
U56,gross,25.0,15,0,2,0.0057492578595126215,CAGR,1.1712793173459843
U56,gross,40.0,15,0,1,0.0018005281313919624,CAGR,1.1334021178732108
U56,n,0.0,19,0,0,-0.0008981604143140087,H2,1.173232430715114
U56,n,2.5,19,0,0,-0.02849292737378542,DD,1.154781692965282
U56,n,5.0,19,0,0,-0.033310726998217716,DD,1.1363180225827607
U56,n,7.5,19,0,0,-0.0506354402989492,DD,1.1178418726828818
U56,n,10.0,19,0,0,-0.0513361150546128,DD,1.0993536975375302
U56,n,15.0,19,0,0,-0.11670942279730478,H2,1.0623430940464311
U56,n,20.0,19,0,0,-0.1388048331756524,H2,1.025289867293606
U56,n,25.0,19,0,0,-0.20982517869207484,H2,0.9881976873786797
U56,n,40.0,19,0,0,-0.32823909712712496,H2,0.8767243151751657
