tol,tol_label,n_IS,share_IS,n_OOS,share_OOS,picked_on_IS
0.0,exact,18,1.0,18,1.0,0
1e-12,1e-12,18,0.9444,18,1.0,1
1e-09,1e-9,18,0.9444,18,1.0,0
1e-06,1e-6,18,0.9444,18,1.0,0
5.094e-05,1 RESTATEMENT STEP (5.094e-05),18,0.9444,18,1.0,0
0.001,1e-3,18,0.9444,18,1.0,0
0.01,1e-2,18,0.8889,18,0.9444,0
