check,field,n,maxabsdiff,verdict
[a] idea168 grid 352 books,CAGR,352,9.71445146547012e-17,MATCH
[a] idea168 grid 352 books,Sharpe,352,2.220446049250313e-16,MATCH
[a] idea168 grid 352 books,MaxDD,352,8.326672684688674e-17,MATCH
[a] idea168 grid 352 books,H1,352,2.220446049250313e-16,MATCH
[a] idea168 grid 352 books,H2,352,2.220446049250313e-16,MATCH
[a] idea168 grid 352 books,OOS_CAGR,352,9.71445146547012e-17,MATCH
[a] idea168 grid 352 books,OOS_Sharpe,352,2.220446049250313e-16,MATCH
[a] idea168 grid 352 books,OOS_MaxDD,352,8.326672684688674e-17,MATCH
[a] idea168 grid 352 books,IS_CAGR,352,9.8879238130678e-17,MATCH
[a] idea168 grid 352 books,IS_Sharpe,352,2.220446049250313e-16,MATCH
[a] idea168 grid 352 books,turnover,352,3.552713678800501e-15,MATCH
[a] idea168 grid 352 books,pass4a,352,,352/352 identical
[a] idea168 grid 352 books,pass4b,352,,352/352 identical
[a] idea168 grid 352 books,failing,352,,352/352 identical
[b] idea168 walkforward OOS_4b_fail under SWAPPED,string,16,,16/16 identical
[b] idea168 walkforward OOS_Sharpe,OOS_Sharpe,16,1.1102230246251565e-16,MATCH
[c] monotonicity M1/M2/M3,counts,352,,0/0/0 all zero
