panel,definition,form,q_star,reach_star,interior,monotone_improving_downward,book_star,n_distinct_books,reach_q010,reach_q040,reach_q100,n_keep4b
U56,NEARHI_EXP,QRESID,0.4,0.12636190650980098,True,False,"('MADIST', 40, 1.0)",5,-0.24811929585105427,0.12636190650980098,-0.09646170494726676,2
U56,NEARHI_EXP,QRAW,0.1,-0.6634858939807583,False,False,"('MOM', 40, 0.25)",6,-0.6634858939807583,-0.7696837237208457,-0.9343467820637664,0
U56,NEARHI_252,QRESID,0.4,0.12636190650980098,True,False,"('MADIST', 40, 1.0)",5,-0.24811929585105427,0.12636190650980098,-0.09646170494726676,2
U56,NEARHI_252,QRAW,0.1,-0.6634858939807583,False,False,"('MOM', 40, 0.25)",6,-0.6634858939807583,-0.7696837237208457,-0.9343467820637664,0
U56,VOL60,QRESID,0.8,0.10161365754164643,True,False,"('MOMVS', 40, 1.0)",5,-0.4726756291207072,-0.08102579839041427,-0.09646170494726676,1
U56,VOL60,QRAW,0.1,-0.9343467820637664,False,True,"('LOWVOL', 5, 0.25)",1,-0.9343467820637664,-0.9343467820637664,-0.9343467820637664,0
B136,NEARHI_EXP,QRESID,0.5,-0.3935260494034984,True,False,"('MADIST', 'ALL', 1.0)",3,-0.45092266769066214,-0.5189908009391647,-0.45092266769066214,0
B136,NEARHI_EXP,QRAW,0.6,-0.6381711298272259,True,False,"('MADIST', 'ALL', 0.25)",4,-0.852222303775983,-0.771986160661215,-0.9400291064844262,0
B136,NEARHI_252,QRESID,0.5,-0.3935260494034984,True,False,"('MADIST', 'ALL', 1.0)",3,-0.45092266769066214,-0.5189908009391647,-0.45092266769066214,0
B136,NEARHI_252,QRAW,0.6,-0.6381711298272259,True,False,"('MADIST', 'ALL', 0.25)",4,-0.852222303775983,-0.771986160661215,-0.9400291064844262,0
B136,VOL60,QRESID,0.6,-0.19473779640331243,True,False,"('MOMVS', 20, 1.0)",6,-0.7693239439425421,-0.2967869558353139,-0.45092266769066214,0
B136,VOL60,QRAW,0.4,-0.852222303775983,True,False,"('LOWVOL', 20, 0.25)",3,-0.9400291064844262,-0.852222303775983,-0.9400291064844262,0
SMALL,NEARHI_EXP,QRESID,0.3,-1.3737346586017138,True,False,"('MADIST', 40, 1.0)",4,-1.489267570736141,-1.4838806941195657,-1.3737346586017138,0
SMALL,NEARHI_EXP,QRAW,0.9,-0.8297089140919967,True,False,"('LOWVOL', 20, 0.25)",3,-0.8423704044133223,-0.8737131253124479,-0.8737131253124479,0
SMALL,NEARHI_252,QRESID,0.3,-1.3737346586017138,True,False,"('MADIST', 40, 1.0)",4,-1.489267570736141,-1.4838806941195657,-1.3737346586017138,0
SMALL,NEARHI_252,QRAW,0.9,-0.8297089140919967,True,False,"('LOWVOL', 20, 0.25)",3,-0.8423704044133223,-0.8737131253124479,-0.8737131253124479,0
SMALL,VOL60,QRESID,0.8,-1.1353381596714804,True,False,"('LOWVOL', 40, 1.0)",6,-1.489267570736141,-1.4774402296863705,-1.3737346586017138,0
SMALL,VOL60,QRAW,0.1,-0.8297089140919967,False,False,"('LOWVOL', 20, 0.25)",3,-0.8297089140919967,-0.8297089140919967,-0.8737131253124479,0
