family,point,n,mean_d,t,wins,losses,sign_p
ALL,D,115,-0.058331599382881336,-9.676095486891713,16,99,8.564981783013103e-16
ALL,2D,115,-0.01776179510666871,-3.1913823876797567,36,79,7.516458966444587e-05
ALL,W,115,0.0,,0,0,1.0
ALL,2W,115,0.008914995879274582,1.650873043475374,67,48,0.09281592098218937
ALL,M,115,0.07609970989035277,6.707476396603264,94,21,3.240204200619262e-12
ALL,6W,115,0.09992513755376652,8.48802816861743,92,23,5.787079262982775e-11
ALL,Q,115,-0.14121833350213447,-7.75252712436674,26,89,2.952378329881734e-09
SMALL,D,49,-0.07445742835663502,-6.057890521281,7,42,3.6245783263666453e-07
SMALL,2D,49,-0.015579711570084873,-1.3166714149282952,18,31,0.08543313315739454
SMALL,W,49,0.0,,0,0,1.0
SMALL,2W,49,0.00952446052530098,0.879799740928447,23,26,0.7754496546815659
SMALL,M,49,0.09783196504588904,3.912353333132283,35,14,0.003801654409748778
SMALL,6W,49,0.01631496689265622,0.8050688306272323,28,21,0.3916029105474905
SMALL,Q,49,0.03127173657360908,1.2933680500162092,26,23,0.7754496546815659
U56,D,33,-0.04278110406837038,-6.316854529702887,5,28,6.618769839406013e-05
U56,2D,33,-0.013962701703191117,-2.4344773139316542,9,24,0.013530986849218607
U56,W,33,0.0,,0,0,1.0
U56,2W,33,0.01431044848126088,2.0922192651118916,26,7,0.0013187271542847157
U56,M,33,0.04689478969823471,7.240686639063599,30,3,1.4011748135089874e-06
U56,6W,33,0.16399889114265231,15.686748759644683,32,1,7.916241884231567e-09
U56,Q,33,-0.24718381418591084,-18.94205219683828,0,33,2.3283064365386963e-10
ETF,D,33,-0.04993768197878838,-7.2830840076318095,4,29,1.0928604751825333e-05
ETF,2D,33,-0.024800951943255614,-4.044991589992445,9,24,0.013530986849218607
ETF,W,33,0.0,,0,0,1.0
ETF,2W,33,0.0026145806210672675,0.36237115812088794,18,15,0.7283324808813632
ETF,M,33,0.07303552394243217,6.824755057587596,29,4,1.0928604751825333e-05
ETF,6W,33,0.15999981918895356,13.972569957980514,32,1,7.916241884231567e-09
ETF,Q,33,-0.29137447202173483,-20.059691461481844,0,33,2.3283064365386963e-10
