panel,cost,pool,N,grid,K,distinct_rand_scores,pct_step_at_one_end,min_attainable_p,rand_mean,exact_pool_mean,mc_se,rand_median,rand_sd,median_atom_mass,G7,G8
U56,0.0,GRID18,18,REC1,1,18,0.05555555555555555,0.027777777777777776,1.33694455997048,1.3403321714078196,0.002544929138242691,1.3007859478672301,0.11381269102061235,0.053,True,True
U56,0.0,GRID18,18,Q8,8,2000,0.05555555555555555,0.027777777777777776,1.2905109692793582,1.2908714364744809,0.0008883208037717149,1.29101630381207,0.039726914061216125,0.0,True,True
U56,0.0,GRID18,18,Q16,16,2000,0.05555555555555555,0.027777777777777776,1.3060001189621315,1.3064169845361537,0.0006071761783725692,1.3057929260206613,0.027153744183192045,0.0,True,True
U56,0.0,GRID18,18,Q32,32,2000,0.05555555555555555,0.027777777777777776,1.2913937307753334,1.2916776848407363,0.00033372864276420963,1.2912948251947884,0.014924798625190321,0.0,True,True
U56,0.0,GRIDSHELF,24,REC1,1,21,0.041666666666666664,0.020833333333333332,1.3192971032429932,1.3218622371736448,0.002509280169787612,1.2999518507857042,0.11221842068474629,0.0805,True,True
U56,0.0,GRIDSHELF,24,Q8,8,2000,0.041666666666666664,0.020833333333333332,1.273699626593535,1.2729610941409641,0.0008927387269823845,1.2721144411747543,0.03992448959358475,0.0,True,True
U56,0.0,GRIDSHELF,24,Q16,16,2000,0.041666666666666664,0.020833333333333332,1.289765598892007,1.2899797624836806,0.0006019712148964659,1.2894746978278304,0.026920971140132637,0.0,True,True
U56,0.0,GRIDSHELF,24,Q32,32,2000,0.041666666666666664,0.020833333333333332,1.2793268451273097,1.2794738363757021,0.00035928063127306183,1.2790473349737608,0.01606751829051206,0.0,True,True
U56,0.0,WIDE10,10,REC1,1,10,0.1,0.05,1.3143783242091323,1.3123622620305961,0.0022492966437790904,1.3004473806456884,0.10059160394104351,0.099,True,False
U56,0.0,WIDE10,10,Q8,8,2000,0.1,0.05,1.2585351849454842,1.2585653471975484,0.000741391555186926,1.2565534152668478,0.03315603830684507,0.0,True,True
U56,0.0,WIDE10,10,Q16,16,2000,0.1,0.05,1.2776273602683854,1.2775743135268236,0.0005219980353299321,1.2769069351861275,0.023344461822381302,0.0,True,True
U56,0.0,WIDE10,10,Q32,32,2000,0.1,0.05,1.268935764589727,1.2697835515478597,0.00032924197855090705,1.2685204232493852,0.014724148901727118,0.0,True,True
U56,0.0,WIDE20,20,REC1,1,20,0.05,0.025,1.3055136170568762,1.3062486756550205,0.0023669179494027336,1.287071067637265,0.10585178864057841,0.0495,True,False
U56,0.0,WIDE20,20,Q8,8,2000,0.05,0.025,1.2547983435921606,1.2540789526261709,0.0008205405272377077,1.2539520694980153,0.036695687943940646,0.0,True,True
U56,0.0,WIDE20,20,Q16,16,2000,0.05,0.025,1.2715981951823665,1.271149918986723,0.0005514582063082884,1.2724206257117459,0.024661960721108725,0.0,True,True
U56,0.0,WIDE20,20,Q32,32,2000,0.05,0.025,1.2619976137238222,1.2618114283543458,0.0003205957129322188,1.2616597635393068,0.014337476148228993,0.0,True,True
U56,0.0,WIDE40,40,REC1,1,40,0.025,0.0125,1.292760205622841,1.2934301248729674,0.00201290349367703,1.2886893988694734,0.09001978088017315,0.028,True,True
U56,0.0,WIDE40,40,Q8,8,2000,0.025,0.0125,1.2429742997228859,1.24256683318947,0.0007172909420356172,1.2423361360373115,0.03207822612073003,0.0,True,True
U56,0.0,WIDE40,40,Q16,16,2000,0.025,0.0125,1.2595571490204278,1.2595706285305805,0.00048082811439551415,1.2593263233069072,0.021503286985628298,0.0,True,True
U56,0.0,WIDE40,40,Q32,32,2000,0.025,0.0125,1.2528159148028135,1.2525714819593976,0.000293401884766231,1.252747650598611,0.01312133118127705,0.0,True,True
U56,0.0,WIDE80,80,REC1,1,80,0.0125,0.00625,1.3025945706837605,1.3049477076684106,0.0021515175816468886,1.299076205704882,0.09621879134696794,0.0095,True,True
U56,0.0,WIDE80,80,Q8,8,2000,0.0125,0.00625,1.2541753237086246,1.2538531954732712,0.0007715345960169147,1.2532358803588772,0.034504076073733195,0.0,True,True
U56,0.0,WIDE80,80,Q16,16,2000,0.0125,0.00625,1.2716143750305113,1.2705452773351027,0.0005223644146277033,1.2717809457006135,0.0233608468026886,0.0,True,True
