window,arm,char,outcome,strata,resid,b,t,ctrl_t,n,r2,sig
full,EWall,breadth,Sharpe,3,none,0.08123919410762122,8.113990545694652,,168,0.2839792064289657,True
full,EWall,breadth,Sharpe,3,partial,0.04124764211317515,3.3974014993620667,-5.142339196040627,168,0.3828814408117871,True
full,EWall,breadth,Sharpe,3,residx,0.04124764211317517,2.736691075897766,,168,0.04316963846626032,True
full,EWall,breadth,Sharpe,3,ratio,0.08333741450181718,8.4112869597951,,168,0.29883769179084985,True
full,EWall,breadth,Sharpe,3,logx,0.5419268738851655,4.191059077296425,-3.6365471444982895,168,0.38495765744837607,True
full,EWall,breadth,Sharpe,3,loglog,,,,0,,False
full,EWall,breadth,Sharpe,5,none,0.04153041165043746,4.318041238909407,,168,0.1009798892812972,True
full,EWall,breadth,Sharpe,5,partial,0.013500574749087406,1.2336463026621225,-4.592741640498246,168,0.2028819007579391,False
full,EWall,breadth,Sharpe,5,residx,0.013500574749087424,1.108833878137353,,168,0.007352246325513456,False
full,EWall,breadth,Sharpe,5,ratio,0.04415192389017298,4.6245556356328175,,168,0.11413049037600476,True
full,EWall,breadth,Sharpe,5,logx,0.3415486410507853,2.335801508475195,-3.3892708521033046,168,0.19553472478729927,True
full,EWall,breadth,Sharpe,5,loglog,,,,0,,False
full,EWall,breadth,Sharpe,7,none,0.026234798234288162,2.7906616118386336,,168,0.04481207875293569,True
full,EWall,breadth,Sharpe,7,partial,0.0033706880539527764,0.3339044798616235,-4.712590535222781,168,0.1581258384976192,False
full,EWall,breadth,Sharpe,7,residx,0.003370688053952753,0.30738415034663463,,168,0.0005688630533111638,False
full,EWall,breadth,Sharpe,7,ratio,0.03255780574917436,3.507986260594329,,168,0.06901601651276812,True
full,EWall,breadth,Sharpe,7,logx,0.19560887936509602,1.2221024898024753,-3.7499222658395213,168,0.14397326084306272,False
full,EWall,breadth,Sharpe,7,loglog,,,,0,,False
full,EWall,breadth,Sharpe,21,none,0.015256048423587248,1.7144186095645857,,168,0.01739815641687259,False
full,EWall,breadth,Sharpe,21,partial,-0.0004769689674554373,-0.05016764694608998,-3.8003762521037405,168,0.09648506214947195,False
full,EWall,breadth,Sharpe,21,residx,-0.0004769689674554388,-0.047830670020190105,,168,1.3781575092908227e-05,False
full,EWall,breadth,Sharpe,21,ratio,0.021833524199914807,2.47666084817379,,168,0.035634182318281526,True
full,EWall,breadth,Sharpe,21,logx,0.13439142204037058,0.7403447077777319,-3.0989788615306617,168,0.08476109930241982,False
full,EWall,breadth,Sharpe,21,loglog,,,,0,,False
full,EWall,breadth,CAGR,3,none,0.009471623923054803,6.467759921542666,,168,0.20127764168377826,True
full,EWall,breadth,CAGR,3,partial,0.005324038502707617,2.885363290140377,-3.509129280259314,168,0.25674680051154064,True
full,EWall,breadth,CAGR,3,residx,0.005324038502707623,2.543203065832772,,168,0.037501949726988726,True
full,EWall,breadth,CAGR,3,ratio,0.00868199681906185,5.81268664671203,,168,0.16911646359351196,True
full,EWall,breadth,CAGR,3,logx,0.08519701508474209,4.376573731956429,-1.5778638036967727,168,0.2731533708788151,True
full,EWall,breadth,CAGR,3,loglog,,,,0,,False
full,EWall,breadth,CAGR,5,none,0.004906897268422122,3.456541949060897,,168,0.06714154460931132,True
full,EWall,breadth,CAGR,5,partial,0.0024160462277409023,1.4382845499479153,-2.658890014001816,168,0.1054691870662472,False
full,EWall,breadth,CAGR,5,residx,0.0024160462277409045,1.3721563968395154,,168,0.011215044242784855,False
full,EWall,breadth,CAGR,5,ratio,0.0037367054179459403,2.593316517064379,,168,0.03893633952483111,True
full,EWall,breadth,CAGR,5,logx,0.06620167556326315,2.9780677959478528,-1.1046176287087623,168,0.11444033113065866,True
full,EWall,breadth,CAGR,5,loglog,,,,0,,False
full,EWall,breadth,CAGR,7,none,0.002537733963376972,1.8449121206031267,,168,0.020092245435169076,False
full,EWall,breadth,CAGR,7,partial,0.0005667448365104812,0.36787590203031756,-2.661948903144425,168,0.060441838117949565,False
full,EWall,breadth,CAGR,7,residx,0.000566744836510479,0.3578019062742004,,168,0.0007706237781854863,False
full,EWall,breadth,CAGR,7,ratio,0.0018556622936214797,1.3426617385122157,,168,0.01074321276410417,False
full,EWall,breadth,CAGR,7,logx,0.04079924234028158,1.6799686683694894,-1.3773113864668542,168,0.055669650978956375,False
full,EWall,breadth,CAGR,7,loglog,,,,0,,False
full,EWall,breadth,CAGR,21,none,0.0010856628855607652,0.8351261494663059,,168,0.0041838417169063336,False
full,EWall,breadth,CAGR,21,partial,0.0001242470373937784,0.08638942716746954,-1.5352064786119037,168,0.01820775577832856,False
full,EWall,breadth,CAGR,21,residx,0.0001242470373937779,0.0858602419372042,,168,4.4407552854730525e-05,False
full,EWall,breadth,CAGR,21,ratio,0.0002696610731427712,0.20702414108530184,,168,0.0002581200736457845,False
full,EWall,breadth,CAGR,21,logx,0.03230419941981624,1.1835667022792298,-0.5743672797936096,168,0.017442529250917826,False
full,EWall,breadth,CAGR,21,loglog,,,,0,,False
full,EWall,breadth,MaxDD,3,none,0.028522646775721916,6.369257468984061,,168,0.19638835901494422,True
full,EWall,breadth,MaxDD,3,partial,-0.0022050937841520506,-0.4898122045106619,-10.655599263791311,168,0.5239640053179551,False
full,EWall,breadth,MaxDD,3,residx,-0.0022050937841520397,-0.3390876135890865,,168,0.0006921736342256901,False
full,EWall,breadth,MaxDD,3,ratio,0.0360514558046322,8.71170690529146,,168,0.3137485356428963,True
full,EWall,breadth,MaxDD,3,logx,-0.002141543275042651,-0.04384847034389685,-9.307416887582331,168,0.5077374631994731,False
full,EWall,breadth,MaxDD,3,loglog,0.1135690232445895,0.6722063552787528,8.780817928165728,168,0.4535697401783879,False
full,EWall,breadth,MaxDD,5,none,0.026164550464258182,5.990178116970352,,168,0.17773844277747497,True
full,EWall,breadth,MaxDD,5,partial,0.0022507445428670164,0.5505270598246105,-10.488519885330836,168,0.5066592999571075,False
full,EWall,breadth,MaxDD,5,residx,0.0022507445428670263,0.3880262276905903,,168,0.0009061922477469064,False
full,EWall,breadth,MaxDD,5,ratio,0.035816596497382086,9.104846430155353,,168,0.33306074137504893,True
full,EWall,breadth,MaxDD,5,logx,0.06693787963029052,1.2120188869608026,-9.448672729362979,168,0.491077592362156,False
full,EWall,breadth,MaxDD,5,loglog,-0.05648284485059252,-0.2940297850707652,9.028205932899379,168,0.4395986460429204,False
full,EWall,breadth,MaxDD,7,none,0.022711894862535248,5.206240594949296,,168,0.14036378858840293,True
full,EWall,breadth,MaxDD,7,partial,0.0030318790084562144,0.789823444940221,-10.667074230931457,168,0.4912236109034599,False
full,EWall,breadth,MaxDD,7,residx,0.0030318790084561953,0.5656185742669393,,168,0.0019235480821949702,False
full,EWall,breadth,MaxDD,7,ratio,0.033035891526978445,8.373923163695215,,168,0.2969753525211769,True
full,EWall,breadth,MaxDD,7,logx,0.09297249269127739,1.515275464647784,-9.569974634351087,168,0.4742734185082136,False
full,EWall,breadth,MaxDD,7,loglog,-0.1523823780371285,-0.7156152720725469,9.194838607818896,168,0.4321590437583128,False
full,EWall,breadth,MaxDD,21,none,0.019186326397650277,4.87222321362509,,168,0.1251119390969916,True
full,EWall,breadth,MaxDD,21,partial,0.0048930481734271725,1.3719101891171956,-9.203626860586793,168,0.42189575748963204,False
full,EWall,breadth,MaxDD,21,residx,0.004893048173427167,1.0497297949813937,,168,0.006594374014987303,False
full,EWall,breadth,MaxDD,21,ratio,0.029933776768357317,8.525810395517299,,168,0.30453564270402067,True
full,EWall,breadth,MaxDD,21,logx,0.11346150544651279,1.6674105292573074,-8.812667865042854,168,0.41525392818522844,False
full,EWall,breadth,MaxDD,21,loglog,-0.26462148562822696,-1.0985218627046858,8.778014414402781,168,0.39730899291185273,False
