claimset,edge_rule,claims,edge,share,null_share,excess,mono_edge,spread_lt_floor
CS_ALL32,E_END,32,16,0.5,0.3555555555555555,0.1444444444444445,15,8
CS_ALL32,E_OUTER2,32,28,0.875,0.711111111111111,0.16388888888888897,17,19
CS_RESOLVED,E_END,13,8,0.6153846153846154,0.23162393162393166,0.38376068376068373,8,0
CS_RESOLVED,E_OUTER2,13,9,0.6923076923076923,0.4632478632478633,0.22905982905982897,9,0
CS_DECIDED,E_END,6,6,1.0,0.19999999999999998,0.8,6,0
CS_DECIDED,E_OUTER2,6,6,1.0,0.39999999999999997,0.6000000000000001,6,0
