resolution_source,claim_set,n_claims,n_cited,n_script_exists,n_cell_stated,n_rescorable,share_cell_stated,share_rescorable,n28,n28_cell_stated,n28_rescorable
R_PROSE,NARROW,59,58,58,3,1,0.05084745762711865,0.01694915254237288,10,0,0
R_PROSE,PROX,125,124,124,8,2,0.064,0.016,28,0,0
R_PROSE,WIDE,2088,2074,2074,124,82,0.05938697318007663,0.039272030651340994,28,0,0
R_SCRIPT,NARROW,59,58,58,3,1,0.05084745762711865,0.01694915254237288,10,1,1
R_SCRIPT,PROX,125,124,124,8,3,0.064,0.024,28,4,3
R_SCRIPT,WIDE,2088,2074,2074,59,38,0.02825670498084291,0.018199233716475097,28,4,3
R_UNION,NARROW,59,58,58,7,3,0.11864406779661017,0.05084745762711865,10,1,1
R_UNION,PROX,125,124,124,24,12,0.192,0.096,28,10,9
R_UNION,WIDE,2088,2074,2074,366,291,0.1752873563218391,0.13936781609195403,28,10,9
R_LOOSE,NARROW,59,58,58,12,10,0.2033898305084746,0.1694915254237288,10,5,5
R_LOOSE,PROX,125,124,124,24,18,0.192,0.144,28,11,11
R_LOOSE,WIDE,2088,2074,2074,473,425,0.22653256704980843,0.203544061302682,28,11,11
R_UNION_G,NARROW,59,58,58,7,3,0.11864406779661017,0.05084745762711865,10,1,1
R_UNION_G,PROX,125,124,124,17,7,0.136,0.056,28,5,5
R_UNION_G,WIDE,2088,2074,2074,305,238,0.1460727969348659,0.11398467432950192,28,5,5
