k,H,n_IS,IS_share,n_OOS,OOS_share
1,756,720,0.18055555555555555,960,0.63125
1,1260,432,0.2523148148148148,672,0.8363095238095238
2,756,720,0.09027777777777778,960,0.4239583333333333
2,1260,432,0.19212962962962962,672,0.7589285714285714
3,756,720,0.015277777777777777,960,0.12291666666666666
3,1260,432,0.06712962962962964,672,0.49255952380952384
4,756,720,0.009722222222222222,960,0.053125
4,1260,432,0.009259259259259259,672,0.2113095238095238
