panel,family,state,side,level,w,prior,on_D,on_W
U56,BREADTH-LO,BREADTH,LO,0.07,252,True,0.11093609360936094,0.11566156615661566
U56,BREADTH-LO,BREADTH,LO,0.07,504,True,0.10621062106210621,0.10553555355535553
U56,BREADTH-LO,BREADTH,LO,0.07,1008,True,0.05963096309630963,0.059180918091809184
U56,BREADTH-LO,BREADTH,LO,0.07,2016,True,0.04477947794779478,0.04207920792079208
U56,BREADTH-LO,BREADTH,LO,0.12,252,True,0.16111611161116113,0.15729072907290728
U56,BREADTH-LO,BREADTH,LO,0.12,504,True,0.14063906390639064,0.14153915391539154
U56,BREADTH-LO,BREADTH,LO,0.12,1008,True,0.09653465346534654,0.09518451845184518
U56,BREADTH-LO,BREADTH,LO,0.12,2016,True,0.06773177317731773,0.06683168316831684
U56,BREADTH-LO,BREADTH,LO,0.17,252,True,0.19666966696669666,0.19756975697569756
U56,BREADTH-LO,BREADTH,LO,0.17,504,True,0.17394239423942395,0.17664266426642664
U56,BREADTH-LO,BREADTH,LO,0.17,1008,True,0.12218721872187219,0.12331233123312331
U56,BREADTH-LO,BREADTH,LO,0.17,2016,True,0.09158415841584158,0.09608460846084609
U56,BREADTH-HI,BREADTH,HI,0.07,252,False,0.12016201620162016,0.12376237623762376
U56,BREADTH-HI,BREADTH,HI,0.07,504,False,0.06930693069306931,0.06885688568856886
U56,BREADTH-HI,BREADTH,HI,0.07,1008,False,0.061656165616561655,0.06008100810081008
U56,BREADTH-HI,BREADTH,HI,0.07,2016,False,0.06480648064806481,0.06885688568856886
U56,BREADTH-HI,BREADTH,HI,0.12,252,False,0.17056705670567057,0.17641764176417643
U56,BREADTH-HI,BREADTH,HI,0.12,504,False,0.11611161116111611,0.11341134113411341
U56,BREADTH-HI,BREADTH,HI,0.12,1008,False,0.10171017101710171,0.10666066606660667
U56,BREADTH-HI,BREADTH,HI,0.12,2016,False,0.10148514851485149,0.10441044104410441
U56,BREADTH-HI,BREADTH,HI,0.17,252,False,0.21669666966696668,0.22074707470747074
U56,BREADTH-HI,BREADTH,HI,0.17,504,False,0.15346534653465346,0.15729072907290728
U56,BREADTH-HI,BREADTH,HI,0.17,1008,False,0.13456345634563457,0.13388838883888388
U56,BREADTH-HI,BREADTH,HI,0.17,2016,False,0.1395139513951395,0.14063906390639064
U56,VOL20-LO,VOL20,LO,0.07,252,False,0.1311881188118812,0.13456345634563457
U56,VOL20-LO,VOL20,LO,0.07,504,False,0.0855085508550855,0.08820882088208822
U56,VOL20-LO,VOL20,LO,0.07,1008,False,0.06233123312331233,0.06030603060306031
U56,VOL20-LO,VOL20,LO,0.07,2016,False,0.04635463546354635,0.04635463546354635
U56,VOL20-LO,VOL20,LO,0.12,252,False,0.1995949594959496,0.20837083708370838
U56,VOL20-LO,VOL20,LO,0.12,504,False,0.1422142214221422,0.14918991899189918
U56,VOL20-LO,VOL20,LO,0.12,1008,False,0.1224122412241224,0.1278127812781278
U56,VOL20-LO,VOL20,LO,0.12,2016,False,0.07425742574257425,0.07763276327632763
U56,VOL20-LO,VOL20,LO,0.17,252,False,0.24887488748874886,0.2481998199819982
U56,VOL20-LO,VOL20,LO,0.17,504,False,0.204995499549955,0.21714671467146715
U56,VOL20-LO,VOL20,LO,0.17,1008,False,0.16831683168316833,0.17686768676867687
U56,VOL20-LO,VOL20,LO,0.17,2016,False,0.09473447344734473,0.09518451845184518
U56,VOL20-HI,VOL20,HI,0.07,252,True,0.08235823582358236,0.08078307830783078
U56,VOL20-HI,VOL20,HI,0.07,504,True,0.0846084608460846,0.08078307830783078
U56,VOL20-HI,VOL20,HI,0.07,1008,True,0.06278127812781278,0.06255625562556255
U56,VOL20-HI,VOL20,HI,0.07,2016,True,0.0594059405940594,0.06030603060306031
U56,VOL20-HI,VOL20,HI,0.12,252,True,0.13051305130513052,0.12736273627362737
U56,VOL20-HI,VOL20,HI,0.12,504,True,0.1278127812781278,0.12848784878487848
U56,VOL20-HI,VOL20,HI,0.12,1008,True,0.10283528352835283,0.10328532853285328
U56,VOL20-HI,VOL20,HI,0.12,2016,True,0.09608460846084609,0.09675967596759676
U56,VOL20-HI,VOL20,HI,0.17,252,True,0.16561656165616562,0.16336633663366337
U56,VOL20-HI,VOL20,HI,0.17,504,True,0.1692169216921692,0.16561656165616562
U56,VOL20-HI,VOL20,HI,0.17,1008,True,0.13996399639963997,0.13793879387938793
U56,VOL20-HI,VOL20,HI,0.17,2016,True,0.13276327632763277,0.13636363636363635
U56,DISP-LO,DISP,LO,0.07,252,False,0.12106210621062106,0.12196219621962197
