panel,book,sleeve,cost,dS_at_0,dS_at_600,phi_star,kind,phi_4b,kind_4b
broad,EWall,S3,0.0,0.22797873401296975,0.0729848181043311,,above-all,,above-all
broad,EWall,S3,10.0,0.16988739609695713,0.014952261340292816,,above-all,,above-all
broad,EWall,S3,25.0,0.08231923143944675,-0.07245906106561706,319.11189815318136,interior,,above-all
broad,EWall,S3,50.0,-0.06428638089221184,-0.21862223757678245,,below-all,,below-all
broad,EWall,S4,0.0,0.18239954528130764,0.03877423479566988,,above-all,,above-all
broad,EWall,S4,10.0,0.12854249463890888,-0.015037776622283117,537.1595542867428,interior,,above-all
broad,EWall,S4,25.0,0.04746642800921408,-0.09599950882131036,198.51332650022795,interior,,above-all
broad,EWall,S4,50.0,-0.0880994351752169,-0.231251191843176,,below-all,50.0,interior
broad,TOP20,S3,0.0,0.1268557497602394,0.009869289990755092,,above-all,,above-all
broad,TOP20,S3,10.0,0.09159726778261068,-0.02538646510260234,469.7953393162889,interior,,above-all
broad,TOP20,S3,25.0,0.03834532244083777,-0.07854936047676386,196.8204213168378,interior,,below-all
broad,TOP20,S3,50.0,-0.05051595595422531,-0.16703786917332059,,below-all,,below-all
broad,TOP20,S4,0.0,0.12025529849097483,0.007196426418013768,,above-all,,above-all
broad,TOP20,S4,10.0,0.08709053335587513,-0.025956496306343002,462.23565423244236,interior,,above-all
broad,TOP20,S4,25.0,0.037077773832055794,-0.07587807025694882,196.95062340247142,interior,150.0,interior
broad,TOP20,S4,50.0,-0.04627294906362389,-0.1588829759178027,,below-all,,below-all
u56,EWall,S3,0.0,0.19391574830386493,0.035256707833984935,,above-all,,above-all
u56,EWall,S3,10.0,0.13561314959306925,-0.02299593276483325,513.009237737477,interior,,above-all
u56,EWall,S3,25.0,0.04771370469372771,-0.11074777993112606,180.66396605005718,interior,450.0,interior
u56,EWall,S3,50.0,-0.09946058234008337,-0.25748437045732997,,below-all,,below-all
u56,EWall,S4,0.0,0.1531762665768197,0.005955901772237038,,above-all,,above-all
u56,EWall,S4,10.0,0.0989903688771534,-0.04819034814044465,403.5465583680886,interior,,above-all
u56,EWall,S4,25.0,0.0174106245856267,-0.12966094050819033,71.0293441600373,interior,550.0,interior
u56,EWall,S4,50.0,-0.11900594496360173,-0.26576422295957447,,below-all,,below-all
u56,TOP20,S3,0.0,0.09104886327297601,-0.0403276083552484,415.82307380524105,interior,,above-all
u56,TOP20,S3,10.0,0.05164806338992167,-0.07973261501026974,235.87100243682505,interior,,above-all
u56,TOP20,S3,25.0,-0.007895007600715376,-0.1391915210971646,,below-all,,above-all
u56,TOP20,S3,50.0,-0.10745734231517445,-0.23837434784336375,,below-all,,below-all
u56,TOP20,S4,0.0,0.07953577609000595,-0.04603905481927173,380.02447097809346,interior,,above-all
u56,TOP20,S4,10.0,0.04333592063554925,-0.08223293653126285,207.07039905058502,interior,,above-all
u56,TOP20,S4,25.0,-0.011267360324368036,-0.13675383624436077,,below-all,450.0,interior
u56,TOP20,S4,50.0,-0.10242188659548068,-0.22757689261394043,,below-all,,below-all
