stat,fit_corpus,held_corpus,lo,hi,IS_contrast,IS_inside,IS_outside,held_cells_in,held_cells_out,held_inside,held_outside,OOS_contrast,transfer
SHARE,A,B,0.875,1.0,0.007312248111844045,0.0014039495594505,0.008716197671294544,131,254,0.0019659854968107605,0.00726925393376484,0.005303268436954079,0.7252582729467408
SHARE,B,A,0.3,0.4,0.014806103303092729,-0.006956978617247981,0.007849124685844748,27,148,0.006836704765798503,0.005649989487045586,-0.0011867152787529162,-0.08015041192540057
ENT,A,B,0.0,0.1,0.008584059865219065,0.00019212907576636462,0.00877618894098543,102,283,0.001420635044474992,0.006922366871809293,0.005501731827334301,0.6409242146162383
ENT,B,A,0.575,0.675,0.014908949506833349,-0.007662855281968901,0.007246094224864448,25,150,0.0032657289574134964,0.0062609749921597934,0.002995246034746297,0.2009025540916521
ENTn,A,B,0.0,0.125,0.008763181828317406,2.434503242563975e-05,0.008787526860743047,92,293,0.0005106506658722128,0.007020323337877936,0.006509672672005723,0.7428435013148217
ENTn,B,A,0.575,0.725,0.0118911230033178,-0.004079019243549926,0.007812103759767875,27,148,0.005481140609720108,0.005897288353357185,0.0004161477436370768,0.03499650483145834
ENT_MM,A,B,0.0,0.125,0.008584059865219065,0.00019212907576636462,0.00877618894098543,103,282,0.0014060392513187989,0.006947207646711499,0.0055411683953927,0.6455183773641227
ENT_MM,B,A,0.65,0.775,0.016229926542330533,-0.008488756068189425,0.00774117047414111,13,162,0.004066544458326367,0.005974841943216441,0.001908297484890074,0.11757893542604121
DIST,A,B,0.0,0.15,0.007826322919182775,0.00024285204492262402,0.0080691749641054,89,296,0.0014930906795398828,0.006658951110741315,0.005165860431201433,0.6600622648139916
DIST,B,A,0.375,0.5,0.00992327225936741,-0.0022161052832026205,0.007707166976164788,30,145,0.0032456526886857767,0.0063684130489567795,0.0031227603602710027,0.3146905857917147
DISTn,A,B,0.0,0.275,0.010267807427626412,-0.00038627494039482075,0.009881532487231592,116,269,0.0011725978119554558,0.007315662650823963,0.006143064838868507,0.5982839941407614
DISTn,B,A,0.0,0.85,0.015282198333707857,0.0044327206300833095,0.019714918963791166,164,11,0.006047973816478001,0.002629251532446736,-0.0034187222840312654,-0.22370618476339293
