universe,sleeve,book,n_assets,corr_uncond,corr_crisis_q05,corr_crisis_q10,corr_crisis_q20,corr_uncond_IS,corr_crisis_IS
u56,SCASH,v1,0,0.0,0.0,0.0,0.0,0.0,0.0
u56,SCASH,top20,0,0.0,0.0,0.0,0.0,0.0,0.0
u56,SCASH,ewall,0,0.0,0.0,0.0,0.0,0.0,0.0
u56,S4,v1,4,0.21232063489677283,0.5501341579208654,0.4441952607370806,0.37387520560666365,0.2140443363238432,0.4771793125082072
u56,S4,top20,4,0.11982166171076838,0.47052595283232973,0.38068925379720664,0.30563497762859976,0.07523555671773843,0.32222057798045595
u56,S4,ewall,4,0.10690258293692233,0.4546315196290607,0.3528236073863729,0.2833642620449588,0.06401428003064091,0.26486207688227387
u56,S5f,v1,5,0.5378457981175893,0.6991918852845409,0.6127979083173511,0.5528735010017662,0.5534370473077103,0.6618918318686052
u56,S5f,top20,5,0.5153868951150763,0.6650655426639341,0.5877163548875463,0.5331331591313794,0.4744806684989927,0.5376081031488652
u56,S5f,ewall,5,0.5006444648756418,0.6027767013287385,0.521089843271217,0.4859127533701177,0.46402475258053,0.45337483364634085
u56,S6f,v1,6,0.6829873558741307,0.7460511237472033,0.6760798575608707,0.6371242774848659,0.7221861346453019,0.7463919012293424
u56,S6f,top20,6,0.7332000454293461,0.7663614845081196,0.7089059455422462,0.6851203240783094,0.7118001310366452,0.6647242206973175
u56,S6f,ewall,6,0.7047749858815151,0.6669512699534008,0.6089388699461085,0.606541221577335,0.6961692911443358,0.5577120720203352
u56,S7f,v1,7,0.7215083548105399,0.7544153455259256,0.694860357441167,0.6594655375380506,0.7705458350668267,0.7765811062965863
u56,S7f,top20,7,0.7929576101327578,0.7925918905736049,0.7449155996506776,0.7234123667724262,0.800228731616696,0.7357126676736687
u56,S7f,ewall,7,0.7694155308623386,0.6760922843884033,0.6319526298750147,0.6404457769203085,0.7822661763504299,0.6171311021239472
u56,S8f,v1,8,0.7340168403717179,0.7480122961516987,0.6991507119259962,0.66808841925209,0.7855179321396762,0.7890586349593978
u56,S8f,top20,8,0.8164161670945326,0.8075464722880207,0.7630515531738185,0.742870764213887,0.8269016010802736,0.7653471838017766
u56,S8f,ewall,8,0.7972738044774258,0.6773603989544659,0.6397674107032422,0.65442341576585,0.8095285662618933,0.6375529445770092
u56,S5r,v1,5,0.3919152441862508,0.6254277851097818,0.5212056505854693,0.45785417132169115,0.40253168861268884,0.5604364932144974
u56,S5r,top20,5,0.3537868754296302,0.5783318661695647,0.4935183364343449,0.42716610038835323,0.3190275831074218,0.44432284007568373
u56,S5r,ewall,5,0.3359121622670532,0.5155185563078672,0.4249010381496983,0.37733343395135716,0.30674737004513136,0.3572822293261328
u56,S6r,v1,6,0.5222524602374574,0.6639491128893774,0.577388127928999,0.5226670942481134,0.5494493241340842,0.6391838742366954
u56,S6r,top20,6,0.5212016414718744,0.656077040690143,0.575453171110387,0.517098224426301,0.49953079590242916,0.5464828385577826
u56,S6r,ewall,6,0.5066400331650902,0.5606149607357906,0.48183021075888366,0.4515067382631738,0.48550280384100125,0.43816226120187485
u56,S7r,v1,7,0.6120013040329028,0.6919357677495181,0.618773657911504,0.5689916390234916,0.6651015761481961,0.6952965129612607
u56,S7r,top20,7,0.643257849784086,0.706004561231601,0.6380994458834793,0.5860453070556984,0.6640635617571659,0.6435014920941164
u56,S7r,ewall,7,0.6307992784751675,0.5913092446699306,0.5291720212366847,0.5135308269735476,0.6463140734906005,0.5218527337669696
u56,S8r,v1,8,0.6917940451038077,0.7208584191080701,0.6603030240418702,0.6263767429791546,0.7451524050321048,0.745053788227953
u56,S8r,top20,8,0.7670862911359763,0.7709403394748868,0.7194841046352014,0.6916252880212748,0.7836972706904578,0.7229755258157032
u56,S8r,ewall,8,0.7445076035192035,0.6355679336786908,0.5909706082987244,0.598497152128657,0.7638966983394373,0.5892643508097019
u56,S9,v1,9,0.7264725381171879,0.7332004960065306,0.6842042047431771,0.6553791750801783,0.7766423051100657,0.7687631404665153
u56,S9,top20,9,0.819532760904903,0.8004278027512699,0.7591839933797392,0.7407536609612008,0.8350035900166292,0.7661831950617136
u56,S9,ewall,9,0.80022302456046,0.6603636912769111,0.6272368385650201,0.6466688397742095,0.8189112938246493,0.6324238929724779
broad,SCASH,v1,0,0.0,0.0,0.0,0.0,0.0,0.0
broad,SCASH,top20,0,0.0,0.0,0.0,0.0,0.0,0.0
broad,SCASH,ewall,0,0.0,0.0,0.0,0.0,0.0,0.0
broad,S4,v1,4,0.13016056857876102,0.4983442161612597,0.3919374341731431,0.30340278483132205,0.10973235381553205,0.4226309460041572
broad,S4,top20,4,0.03515875843561145,0.35652960526569855,0.23673697142180058,0.16647271964215007,-0.036878850899661246,0.14421447659608477
broad,S4,ewall,4,-0.011297463674116168,0.31089190865468086,0.20026982933147242,0.12257057511303902,-0.07334886562116522,0.0666302954488516
