file,stem,n,suf,has_panel_col,label_cols,sibling,script,script_why,L0_DECLARED,L1_ALIAS,L2_LABEL,L3_SIBLING,L4_SCRIPT,l0_vals,l4_vals,L5_TRANSITIVE
2026-09-04_drawdown-control_C.grid.csv,2026-09-04_drawdown-control_C,722,,True,book|arm,,,ambiguous(none),722,722,722,722,722,B136|U56,B136|U56,722
2026-09-04_drawdown-insurance-price-list_B.grid.csv,2026-09-04_drawdown-insurance-price-list_B,204,,True,book|arm|kind,,,ambiguous(none),204,204,204,204,204,B136|U56,B136|U56,204
2026-09-04_gross-matched-turnover-constraints_B.grid.csv,2026-09-04_gross-matched-turnover-constraints_B,368,,True,book|arm,,,ambiguous(B136|U56),368,368,368,368,368,B136|U56,B136|U56,368
2026-09-04_turnover-budget_B.grid.csv,2026-09-04_turnover-budget_B,176,,True,book|arm,,,ambiguous(B136|U56),176,176,176,176,176,B136|U56,B136|U56,176
2026-09-04_which-4b-bar-binds_B.gladder.csv,2026-09-04_which-4b-bar-binds_B,312,,True,book,,,ambiguous(none),312,312,312,312,312,B136|U56,B136|U56,312
2026-09-04_which-4b-bar-binds_B.grid.csv,2026-09-04_which-4b-bar-binds_B,480,,True,book|arm,,,ambiguous(none),480,480,480,480,480,B136|U56,B136|U56,480
2026-09-05_absorbing-state-audit_B.ddctl.csv,2026-09-05_absorbing-state-audit_B,1340,,True,book|arm,,,ambiguous(none),1340,1340,1340,1340,1340,B136|U56,B136|U56,1340
2026-09-05_absorbing-state-audit_B.stop.csv,2026-09-05_absorbing-state-audit_B,396,,True,book|arm,,,ambiguous(none),396,396,396,396,396,B136|U56,B136|U56,396
2026-09-05_band-width-at-g085_cloud.grid.csv,2026-09-05_band-width-at-g085_cloud,200,,True,book,,,ambiguous(none),200,200,200,200,200,B136|U56,B136|U56,200
2026-09-05_cagr-floor-calibration_B.grid.csv,2026-09-05_cagr-floor-calibration_B,306,,True,book|arm|kind,,,ambiguous(B136|SMALL439|U56),306,306,306,306,306,B136|SMALL439|U56,B136|SMALL439|U56,306
2026-09-05_crisis-depth-as-the-price-denominator_B.grid.csv,2026-09-05_crisis-depth-as-the-price-denominator_B,306,,True,book|arm|kind,,,ambiguous(B136|SMALL439|U56),306,306,306,306,306,B136|SMALL439|U56,B136|SMALL439|U56,306
