panel,n,g_hi_DD,g_lo_CAGR,width,empty,out_of_grid,r2_dd,r2_cagr
B136,10,0.704512989599841,0.5584277902298805,0.14608519936996045,False,False,0.9998899457703594,0.9999824287162167
B136,20,0.7555504419257832,0.6143426949275991,0.14120774699818417,False,False,0.9999135449576181,0.9999947773739353
B136,40,0.7945032966972294,0.6637488471883951,0.1307544495088343,False,False,0.9999608925257489,0.9999982791075792
B136,80,0.824106944016392,0.7137616864640199,0.11034525755237201,False,False,0.9998952848175789,0.9999996938245468
B136,ALL,0.8599687074884361,0.7469592524422444,0.11300945504619175,False,False,0.9999067886103183,0.999999920105741
U56,10,0.8670150207633415,0.6099426407899907,0.25707237997335075,False,False,0.9999415027643449,0.9999902664024015
U56,20,0.8297585235153818,0.625353039235631,0.2044054842797508,False,False,0.9999335678133925,0.999999982912636
U56,40,0.9132430883055955,0.7450955996611167,0.16814748864447882,False,False,0.9999539701348312,0.9999999847197452
U56,80,0.9591646517676427,0.769071549754729,0.19009310201291363,False,True,0.9999619890030237,0.9999999956322565
U56,ALL,0.9591646517676427,0.769071549754729,0.19009310201291363,False,True,0.9999619890030237,0.9999999956322565
SMALL439,10,0.4611327361586603,0.9752723618164081,-0.5141396256577477,True,True,0.9995815279951059,0.9987247211671009
SMALL439,20,0.433445099819181,1.195958641798724,-0.762513541979543,True,True,0.9996820344035247,0.9989129492044653
SMALL439,40,0.4474155909695499,1.4926444928807765,-1.0452289019112266,True,True,0.9996984482200342,0.9988121589897929
SMALL439,80,0.38037872438781417,1.5463893773153425,-1.1660106529275285,True,True,0.9993835060727715,0.9991235383080631
SMALL439,ALL,0.3325952845323811,2.1883793780037797,-1.8557840934713985,True,True,0.9990851286843009,0.9985198432931771
