panel,H,split,rho_EDGE,rho_Sharpe,argmax_EDGE_IS,argmax_EDGE_OOS,argmax_EDGE_FULL,argmax_Sharpe_IS,argmax_Sharpe_OOS,EDGE_IS_spread,EDGE_OOS_spread,mean_EDGE_se_IS,mean_EDGE_se_OOS
U56,63,2014-12-31,0.8166666666666668,0.11666666666666668,12,8,8,12,8,4.894416634591071,10.3259762037198,0.4245903363668495,0.2886985422730752
U56,63,2016-12-31,0.8333333333333334,-0.03333333333333333,5,8,8,5,8,7.199966212991683,10.220921949150597,0.35585355115384193,0.33578949812432046
U56,63,2018-12-31,0.8833333333333335,0.4,5,8,8,8,25,8.058660769038283,9.47761816885534,0.2765767497755176,0.3916524219853947
U56,126,2014-12-31,0.5833333333333334,-0.38333333333333336,5,12,12,5,15,9.46806640413016,6.942407582918397,0.38365983144561927,0.3346576687621724
U56,126,2016-12-31,0.6333333333333334,0.21666666666666667,5,12,12,40,15,7.757744211424644,7.071273090159613,0.3404656025084278,0.3789700239425751
U56,126,2018-12-31,0.43333333333333335,-0.21666666666666667,5,15,12,10,20,7.661565354994227,6.749637034493073,0.28280118517334896,0.4542466144832074
B136,63,2014-12-31,0.9500000000000001,0.25000000000000006,5,5,5,5,10,11.263748807695585,10.166780929265297,0.5021480304239555,0.28888399997957526
B136,63,2016-12-31,0.9000000000000001,0.23333333333333336,5,8,5,5,10,13.188990248082355,9.015090319774965,0.4189316158086901,0.3293215025549465
B136,63,2018-12-31,0.9333333333333335,-0.08333333333333334,5,8,5,5,8,13.667891550366784,8.987112143597932,0.3500433863224111,0.3955188556790896
B136,126,2014-12-31,-0.11666666666666668,-0.9166666666666667,5,15,10,10,30,11.171079413072526,4.687425825698732,0.4743522856380093,0.3179633839154868
B136,126,2016-12-31,-0.3166666666666667,-0.6833333333333333,5,15,10,8,30,8.236745049094695,5.696754851312457,0.4007149493836286,0.3545488233500682
B136,126,2018-12-31,0.1,-0.8,5,15,10,10,30,7.706847954992812,6.481222789910458,0.3072434166169352,0.41468846669081844
