n,g,cost_bps,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe
5,0.75,0.0,-0.02448227494325217,0.06777999999782369,-0.8080311616555085,0.15431585233833947,0.011778917108078806,0.10187364858544808
5,0.75,10.0,-0.0450558153233368,-0.003177708250115494,-0.8262592016644289,0.06940433034896366,-0.05204042666765192,0.03625621326638494
5,0.75,25.0,-0.07512572839329701,-0.1096353423209958,-0.8504245396441529,-0.05804096253973953,-0.14777035061085853,-0.06219247269942284
5,0.75,50.0,-0.123204268119808,-0.28692670431786876,-0.9142554261379096,-0.2703161332440835,-0.30718516500281534,-0.22618318075060614
20,0.25,0.0,-0.00010606348164654555,0.03265746670843554,-0.31811371297865587,0.416837641328697,-0.23819032671911544,-0.09907377317568494
20,0.25,10.0,-0.005301547649279481,-0.04355304476689798,-0.33453473533253497,0.33373937118225444,-0.3115055654346578,-0.1736624319640133
20,0.25,25.0,-0.01304529162017165,-0.1578238384905141,-0.35843143286510704,0.20910804725843443,-0.42141772714711156,-0.2854916835233369
20,0.25,50.0,-0.025820669840927457,-0.34795947789910553,-0.3963767243740415,0.0016898554724215072,-0.6042745751840412,-0.4715507310520322
20,1.0,0.0,-0.027305810543503117,0.03716421114521344,-0.8166176320729792,0.42538081924065346,-0.23614663921882445,-0.09683022359953779
20,1.0,10.0,-0.047249762026245645,-0.038256758611965314,-0.833645975489691,0.3432716892860899,-0.3088056487372923,-0.1707466503616877
20,1.0,25.0,-0.07641782414647302,-0.15134075536587163,-0.8562832734486825,0.22012365757114385,-0.41772948901944035,-0.28156399718905945
20,1.0,50.0,-0.12310162598147922,-0.33949691614691446,-0.8965651392909999,0.015168330689790881,-0.598932244357591,-0.46593101679794063
