panel,cap,gross,max_name_w,p99_name_w,med_name_w,mean_gross,mean_sweep_w,turnover_yr,max_row_sum
U56,DG,0.75,0.015,0.015,0.013888888888888888,1.0,0.47957765475777236,2.790612170919641,1.0000000000000009
U56,0.015,0.75,0.015,0.015,0.015,0.9999999999999996,0.43739352251608715,3.001199312052771,1.0000000000000002
U56,0.020,0.75,0.02,0.02,0.017045454545454544,1.0,0.3436435069043627,3.5072924970681947,1.0000000000000004
U56,0.030,0.75,0.03,0.03,0.017045454545454544,0.9999999999999998,0.30602845936102885,3.964924910007405,1.0000000000000004
U56,0.040,0.75,0.04,0.04,0.017045454545454544,1.0,0.29035052449470306,4.158559695941166,1.0000000000000004
U56,0.060,0.75,0.06,0.057692307692307696,0.017045454545454544,1.0,0.27799048526768133,4.295647922418273,1.0000000000000004
U56,0.100,0.75,0.1,0.057692307692307696,0.017045454545454544,1.0,0.27085392746846615,4.384178994174473,1.0000000000000004
U56,INF,0.75,0.15,0.057692307692307696,0.017045454545454544,1.0,0.26946887479631815,4.395881376445808,1.0000000000000004
U56,DG,1.0,0.02,0.02,0.018518518518518517,0.9999999999999998,0.3061035396770296,3.7136057265827653,1.0000000000000009
U56,0.015,1.0,0.015,0.015,0.015,0.9999999999999996,0.43646807553956796,3.0169277298045674,1.0
U56,0.020,1.0,0.02,0.02,0.02,0.9999999999999996,0.24985803002144974,3.992911470443411,1.0000000000000009
U56,0.030,1.0,0.03,0.03,0.022727272727272728,1.0,0.10631896728468676,4.747547431941025,1.0000000000000009
U56,0.040,1.0,0.04,0.04,0.022727272727272728,1.0,0.0747046124813721,5.133801396056648,1.0000000000000009
U56,0.060,1.0,0.06,0.06,0.022727272727272728,1.0,0.047788861737518534,5.442063294528563,1.0000000000000009
U56,0.100,1.0,0.1,0.07692307692307693,0.022727272727272728,1.0,0.03175457715219981,5.627548667247739,1.0000000000000009
U56,INF,1.0,0.2,0.07692307692307693,0.022727272727272728,1.0,0.02595849972842454,5.68071567313605,1.0000000000000009
B136,DG,0.75,0.006097560975609756,0.006097560975609756,0.005681818181818182,1.0000000000000004,0.4728799136995806,3.0323229820692053,1.0000000000000016
B136,0.015,0.75,0.015,0.015,0.007142857142857143,1.0000000000000004,0.2827388634971371,4.5180146454634285,1.0000000000000002
B136,0.020,0.75,0.02,0.02,0.007142857142857143,1.0000000000000004,0.27187870380698675,4.675125426436814,1.0000000000000002
