panel,family,con,pick_level,pick_cad,pick_gross,is_Sharpe,oCAGR,oSharpe,oMaxDD,spy_oCAGR,spy_oSharpe,spy_oMaxDD,live_oSharpe,live_oCAGR,beats_SPY_oos,beats_LIVE_oos,p4a,p4b,f4b
B136,MA-THRESH,DEGROSS,-0.25,Q,0.75,1.2156044088420448,0.13580129917386707,1.1384051662705015,-0.24163593668050243,0.1545044425578177,0.8820239235972316,-0.3371595330739301,1.2850855590004044,0.09534821724270381,True,False,False,False,DD
B136,MA-THRESH,RESPREAD,0.2,Q,1.0,1.4595851994892841,0.2799130683816031,1.0692531803569685,-0.37761807599139086,0.1545044425578177,0.8820239235972316,-0.3371595330739301,1.2850855590004044,0.09534821724270381,True,False,False,False,DD
B136,QUANTILE,DEGROSS,0.9,M,1.0,1.1725283105201814,0.16376013234532238,1.1064577711683732,-0.2865963615310686,0.1545044425578177,0.8820239235972316,-0.3371595330739301,1.2850855590004044,0.09534821724270381,True,False,False,False,DD
B136,QUANTILE,RESPREAD,0.9,M,1.0,1.172898431619861,0.18178800489376878,1.1051302844840118,-0.3146159570380601,0.1545044425578177,0.8820239235972316,-0.3371595330739301,1.2850855590004044,0.09534821724270381,True,False,False,False,DD
SMALL439,MA-THRESH,DEGROSS,-0.4,Q,0.5,0.74168800998544,0.05568480069935888,0.5956501642850824,-0.217168255072004,0.15450723909089636,0.8820106885412021,-0.33717256775620263,1.2850855590004044,0.09534821724270381,False,False,False,False,"H1,H2,OOS,DD,CAGR"
SMALL439,MA-THRESH,RESPREAD,0.3,M,1.0,0.893418804179229,0.31897387623849016,1.101945706666426,-0.40435000548175715,0.15450723909089636,0.8820106885412021,-0.33717256775620263,1.2850855590004044,0.09534821724270381,True,False,False,False,DD
SMALL439,QUANTILE,DEGROSS,0.8,Q,0.5,0.7304997154759564,0.05241220541992453,0.6279113180332524,-0.1884258864932209,0.15450723909089636,0.8820106885412021,-0.33717256775620263,1.2850855590004044,0.09534821724270381,False,False,False,False,"H1,H2,OOS,CAGR"
SMALL439,QUANTILE,RESPREAD,0.95,Q,0.5,0.728774966084037,0.06995486648399996,0.6480145837975132,-0.22587488602667427,0.15450723909089636,0.8820106885412021,-0.33717256775620263,1.2850855590004044,0.09534821724270381,False,False,False,False,"H1,H2,OOS,DD,CAGR"
U56,MA-THRESH,DEGROSS,0.3,Q,1.0,1.2403261305041868,0.013876060893064146,0.5677593847258939,-0.04468069584740564,0.15237187725667578,0.872122672456382,-0.33717256775620263,1.2746660728287855,0.09447597045404743,False,False,False,False,"H2,OOS,CAGR"
U56,MA-THRESH,RESPREAD,0.2,Q,1.0,1.4098482019087262,0.2780195127588696,0.9420626406749079,-0.4064968619926702,0.15237187725667578,0.872122672456382,-0.33717256775620263,1.2746660728287855,0.09447597045404743,True,False,False,False,DD
U56,QUANTILE,DEGROSS,0.5,M,1.0,1.2623664670938084,0.10693324215123035,1.2178288759359244,-0.13572856874817474,0.15237187725667578,0.872122672456382,-0.33717256775620263,1.2746660728287855,0.09447597045404743,True,False,False,False,CAGR
U56,QUANTILE,RESPREAD,0.5,M,1.0,1.2699430008960855,0.21443642795292206,1.218035037379097,-0.2569400746103422,0.15237187725667578,0.872122672456382,-0.33717256775620263,1.2746660728287855,0.09447597045404743,True,False,False,False,DD
