gate,check,value,pass_
G2,fast runner == engine.backtest (U56 W/H126/N=20),1.3877787807814457e-17,True
G3,CROSS-RUN the committed U56 W/H126/N=20 triple,0.0016222226940012519,True
G4,SPY OOS triple,0.0028937770933026297,True
G5,live RULES v2 MaxDD == committed -12.05%,4.9488215128346e-05,True
G6,determinism of the SMALL pipeline,0.0,True
G9,HAC at maxlag 0 == iid SE of the mean (relative),0.0,True
G11,t-ratio across denominators == denominator ratio (algebraic identity),1.1102230246251565e-16,True
G1,the inherited t harvest reproduces 1212's 210 at its own commit (0743d51),210.0,True
G10,the headline null pairs are EXCHANGEABLE (|mean dSharpe| <= 0.05),0.00251533508241108,True
G7,1219's committed S_NW band (2.0161-2.4754) reproduces on ITS OWN pairs (P_1219),3.254364902005591e-05,True
G8,1219's committed S_NW_DIFFSD band (0.9219-1.2778) reproduces on P_1219,4.692511543624711e-05,True
G12,P_OWN vs P_1219 deviation is within 3x the crit95's own Monte-Carlo SE,0.4035441983409238,True
